TF,rho,pvalue,n,qvalue
ATF3,0.7596491228070175,0.0001612592789551345,19,0.00322518557910269
CEBPB,0.7070175438596492,0.0007119266564509043,19,0.007119266564509042
ATF4,0.6526315789473683,0.0024541583572159926,19,0.016361055714773285
EGR2,0.6192982456140351,0.004690234476412313,19,0.023451172382061562
MAFG,0.4929824561403509,0.031981574415356324,19,0.1279262976614253
RELA,0.47719298245614034,0.03882943217779468,19,0.12827464740923844
FOSB,0.46491228070175433,0.04489612659323345,19,0.12827464740923844
CEBPD,0.4280701754385965,0.0674881686246779,19,0.16728841703895575
JUNB,0.38421052631578945,0.1043577484973007,19,0.2087154969946014
EGR1,0.3175438596491228,0.1852467926295408,19,0.33059905637489156
JUN,0.30877192982456136,0.19835943382493493,19,0.33059905637489156
JUND,0.26491228070175443,0.2730511755617616,19,0.39007310794537375
FOS,0.22456140350877193,0.35534598974510767,19,0.4441824871813846
MAFF,0.19649122807017544,0.4201015343407333,19,0.4942370992243921
JDP2,0.15087719298245614,0.5375272100958033,19,0.5972524556620037
MAFK,-0.08421052631578947,0.7317826946411556,19,0.7317826946411556
FOSL1,-0.11754385964912278,0.6317641585079941,19,0.6650149036926254
STAT3,-0.2421052631578947,0.31797476682653447,19,0.4239663557687126
FOSL2,-0.2771929824561403,0.25058889481209123,19,0.3855213766339865
NFKB1,-0.41754385964912283,0.07527978766753009,19,0.16728841703895575
