TF,rho,pvalue,n,qvalue
EGR2,0.9030625911900807,8.817780044086646e-09,22,2.292622811462528e-07
KLF6,0.8669343920145138,1.7932637584332285e-07,22,1.9921745283273915e-06
RELA,0.85918477853178,3.05401486674883e-07,22,1.9921745283273915e-06
KLF4,0.8591314783533687,3.0648838897344485e-07,22,1.9921745283273915e-06
CEBPD,0.8383272740521418,1.1096041016259509e-06,22,5.1297847599617465e-06
ZFP36L1,0.837196691079718,1.1837964830680954e-06,22,5.1297847599617465e-06
JUND,0.8340916782739249,1.4105892369324401e-06,22,5.23933145146335e-06
CEBPB,0.8030131258952699,6.844186585675744e-06,22,2.2243606403446165e-05
JDP2,0.7984429575400098,8.434682313080638e-06,22,2.436686001556629e-05
FOSB,0.7947611682956042,9.943361998339116e-06,22,2.4434222374921293e-05
JUNB,0.7938804263540669,1.0337555620159009e-05,22,2.4434222374921293e-05
ZFP36L2,0.7897122062379245,1.2395176237341753e-05,22,2.6856215180907128e-05
MAFF,0.7704974540261096,2.725126329477724e-05,22,5.450252658955448e-05
ATF3,0.7661412360520166,3.2246143958317376e-05,22,5.757433285877607e-05
ZFP36,0.7653646064419237,3.32159612646785e-05,22,5.757433285877607e-05
FOSL2,0.7570811770890955,4.525576238967217e-05,22,7.354061388321728e-05
MAFG,0.7511009370043196,5.6163325725482066e-05,22,8.58968511095608e-05
ATF4,0.7421632603207339,7.672013275847729e-05,22,0.00011081796954002276
FOSL1,0.7192481438697097,0.00016174148209126813,22,0.00022133044917752482
KLF2,0.7134796433300377,0.00019298663572721685,22,0.0002508826264453819
EGR1,0.7104032768957416,0.0002116887291308972,22,0.00026209080749539654
JUN,0.664215572719154,0.0007482375834231702,22,0.0008842807804092012
FOS,0.6444575300144365,0.001206067431120983,22,0.0013633805743106765
STAT3,0.6348489380521345,0.001503545468838628,22,0.0016288409245751804
NFKB1,0.6032194535940211,0.002959337633714761,22,0.0030777111390633514
MAFK,0.4490257168607179,0.036055536669152254,22,0.036055536669152254
