TF,rho,pvalue,n,qvalue
KLF6,0.9308300395256918,1.2116318314691535e-10,23,3.150242761819799e-09
ZFP36L1,0.9219367588932808,4.146041386732718e-10,23,5.389853802752533e-09
ATF3,0.8959908604519884,7.505142196294308e-09,23,6.504456570121733e-08
MAFK,0.891197270771997,1.178609585791673e-08,23,7.660962307645873e-08
EGR1,0.880845018959242,2.9197161098690567e-08,23,1.5182523771319093e-07
JUND,0.8774703557312253,3.8547407420742e-08,23,1.67038765489882e-07
JUN,0.8725296442687748,5.7073251911847e-08,23,2.1198636424400314e-07
MAFF,0.869780110565817,7.05131126837067e-08,23,2.291676162220468e-07
CEBPD,0.8527667984189724,2.3668578861607444e-07,23,6.837589448908817e-07
ZFP36,0.8507905138339922,2.6977559195331056e-07,23,7.014165390786074e-07
FOSL2,0.8409090909090908,5.052487730888583e-07,23,1.1942243727554831e-06
CEBPB,0.8391364611280265,5.629278470293418e-07,23,1.2196770018969071e-06
JUNB,0.8360600179341936,6.770440866059451e-07,23,1.3540881732118902e-06
ZFP36L2,0.8290513833992096,1.0169680365766296e-06,23,1.8886549250708836e-06
EGR2,0.8263459074786043,1.184172866863825e-06,23,2.0471541343736338e-06
FOSB,0.8252324335820057,1.259787159614544e-06,23,2.0471541343736338e-06
KLF2,0.8142292490118577,2.271363155213143e-06,23,3.473849531502454e-06
FOS,0.8009275472365002,4.409323090250308e-06,23,6.369022241472668e-06
STAT3,0.7865612648221343,8.56022972038219e-06,23,1.1713998564733523e-05
KLF4,0.7786561264822135,1.207628965263544e-05,23,1.5699176548426072e-05
ATF4,0.7697628458498025,1.7500674778246468e-05,23,2.1667502106400387e-05
RELA,0.7539525691699605,3.256970518157274e-05,23,3.849146976004051e-05
FOSL1,0.7445622414064036,4.6114510521008734e-05,23,5.2129446675922915e-05
JDP2,0.5780632411067194,0.0038638302419369743,23,0.004096962407856458
MAFG,0.5770750988142292,0.00393938693063121,23,0.004096962407856458
NFKB1,0.274703557312253,0.2046059794466687,23,0.2046059794466687
