dataset,compartment,note,tf,n_donors,detected_sasp_genes,rho,p_value,ci_95_low,ci_95_high,rank_in_dataset
HLMA,Vascular,,JUNB,23,12,0.929,1.654839197862362e-10,0.837,0.97,1
HLMA,Vascular,,JUN,23,12,0.752,3.508655077670055e-05,0.492,0.889,16
HLMA,Vascular,,JUND,23,12,0.867,8.952091237266232e-08,0.707,0.942,8
HLMA,Vascular,,FOS,23,12,0.853,2.2902205586743017e-07,0.68,0.936,9
HLMA,Vascular,,FOSB,23,12,0.877,3.942818997213872e-08,0.728,0.947,6
HLMA,Vascular,,FOSL1,23,12,0.845,3.9690449878614274e-07,0.664,0.932,10
HLMA,Vascular,,FOSL2,23,12,0.875,4.887795734906625e-08,0.723,0.946,7
HLMA,Vascular,,KLF2,23,12,0.711,0.00014095644321725223,0.423,0.869,17
HLMA,Vascular,,KLF4,23,12,0.828,1.0630867694644241e-06,0.632,0.925,12
HLMA,Vascular,,KLF6,23,12,0.666,0.0005220897957366164,0.35,0.846,19
HLMA,Vascular,,KLF10,23,12,0.829,1.0169680365766296e-06,0.633,0.925,11
HLMA,Vascular,,ATF3,23,12,0.892,1.142700475379089e-08,0.758,0.953,4
HLMA,Vascular,,EGR1,23,12,0.908,2.165264629407547e-09,0.793,0.961,3
HLMA,Vascular,,EGR2,23,12,0.883,2.4651510793566375e-08,0.74,0.95,5
HLMA,Vascular,,IRF1,23,12,0.71,0.00014539755630507575,0.422,0.868,18
HLMA,Vascular,,CEBPB,23,12,0.797,5.396032928435787e-06,0.572,0.91,14
HLMA,Vascular,,CEBPD,23,12,0.786,8.640706658835543e-06,0.554,0.905,15
HLMA,Vascular,,RELA,23,12,0.797,5.206894722871639e-06,0.574,0.91,13
HLMA,Vascular,,NFKB1,23,12,0.404,0.05579175689820351,-0.01,0.7,21
HLMA,Vascular,,STAT3,23,12,0.653,0.0007271754110956572,0.33,0.839,20
HLMA,Vascular,,CDKN1A,23,12,0.913,1.2984763223723933e-09,0.802,0.963,2
HLMA,MuSC,,JUNB,23,12,0.934,8.019906330773877e-11,0.848,0.972,1
HLMA,MuSC,,JUN,23,12,0.869,7.334347426082075e-08,0.712,0.943,10
HLMA,MuSC,,JUND,23,12,0.88,3.070811584946556e-08,0.735,0.948,9
HLMA,MuSC,,FOS,23,12,0.849,3.036908538853331e-07,0.672,0.934,13
HLMA,MuSC,,FOSB,23,12,0.881,2.8144251956022332e-08,0.737,0.949,8
HLMA,MuSC,,FOSL1,23,12,0.553,0.0061707867957878386,0.183,0.786,21
HLMA,MuSC,,FOSL2,23,12,0.894,8.89613006348e-09,0.763,0.955,7
HLMA,MuSC,,KLF2,23,12,0.799,4.743102022443785e-06,0.577,0.911,18
HLMA,MuSC,,KLF4,23,12,0.912,1.3518226774362686e-09,0.801,0.963,4
HLMA,MuSC,,KLF6,23,12,0.911,1.5325629052608272e-09,0.799,0.962,5
HLMA,MuSC,,KLF10,23,12,0.902,4.308246573974352e-09,0.779,0.958,6
HLMA,MuSC,,ATF3,23,12,0.803,3.913868931237102e-06,0.585,0.913,16
HLMA,MuSC,,EGR1,23,12,0.917,7.616038366590345e-10,0.812,0.965,3
HLMA,MuSC,,EGR2,23,12,0.8,4.506146054232626e-06,0.579,0.912,17
HLMA,MuSC,,IRF1,23,12,0.683,0.00033140013268588656,0.376,0.854,19
HLMA,MuSC,,CEBPB,23,12,0.851,2.688718383395486e-07,0.676,0.935,12
HLMA,MuSC,,CEBPD,23,12,0.856,1.9485434372482574e-07,0.685,0.937,11
HLMA,MuSC,,RELA,23,12,0.822,1.4681809443756533e-06,0.621,0.922,15
HLMA,MuSC,,NFKB1,23,12,0.652,0.000747002562711081,0.328,0.839,20
HLMA,MuSC,,STAT3,23,12,0.84,5.352164766244218e-07,0.654,0.93,14
HLMA,MuSC,,CDKN1A,23,12,0.929,1.6605727716360202e-10,0.837,0.97,2
HLMA,FAP,,JUNB,12,12,0.573,0.05126558978649144,-0.001,0.863,4
HLMA,FAP,,JUN,12,12,0.455,0.13765791634772945,-0.161,0.816,7
HLMA,FAP,,JUND,12,12,-0.084,0.7954145018538977,-0.628,0.515,20
HLMA,FAP,,FOS,12,12,0.455,0.13765791634772945,-0.161,0.816,8
HLMA,FAP,,FOSB,12,12,0.552,0.06251148327961512,-0.031,0.855,5
HLMA,FAP,,FOSL1,12,12,0.014,0.9655902689187795,-0.564,0.583,21
