gene,d,log2fc,p_raw,is_surface,mean_junb_plus,mean_junb_minus,p_bh
7SK,-0.6485,-0.0918,0.087604,False,0.0517,0.1435,0.143545
7SK.4,0.419,0.0444,0.244165,False,0.0603,0.016,0.329087
A1BG,0.2861,0.0186,0.41573,False,0.0043,-0.0143,0.504883
A1BG-AS1,-0.2346,-0.0232,0.501514,False,-0.0371,-0.0138,0.586549
A1CF,-1.7218,-0.0364,0.000858,False,-0.0495,-0.0131,0.004624
A2M,1.5363,0.1467,0.001735,False,-0.0065,-0.1532,0.007315
A2M-AS1,0.732,0.0582,0.059376,False,0.0535,-0.0046,0.104983
A2ML1,-0.6222,-0.0507,0.098914,False,-0.0504,0.0003,0.158374
A2ML1-AS1,-1.4962,-0.1353,0.002032,False,-0.0796,0.0556,0.008164
A2MP1,-1.1857,-0.1919,0.007431,False,0.0811,0.273,0.020667
A3GALT2,-0.8775,-0.0543,0.030068,False,-0.0716,-0.0172,0.060923
A4GALT,1.012,0.0579,0.016165,False,0.0212,-0.0367,0.037372
A4GNT,-2.5267,-0.0212,6.4e-05,False,-0.0363,-0.0151,0.001755
AAAS,0.1616,0.0175,0.640713,False,0.0099,-0.0076,0.711859
AACS,-0.5176,-0.0665,0.159069,False,-0.0232,0.0434,0.232586
AACSP1,-1.6336,-0.0563,0.001193,False,-0.0648,-0.0085,0.005704
AADAC,0.1739,0.0023,0.616067,False,-0.01,-0.0123,0.689416
AADACL2,-2.68,-0.0256,4.2e-05,False,-0.0434,-0.0178,0.001659
AADACL2-AS1,-3.1346,-0.0961,1.3e-05,False,-0.1007,-0.0046,0.001236
AADACL3,-2.5886,-0.0173,5.4e-05,False,-0.0337,-0.0164,0.00172
AADACL4,-1.4198,-0.0165,0.002764,False,-0.0331,-0.0166,0.010104
AADACP1,0.6264,0.0075,0.097023,False,-0.017,-0.0246,0.155893
AADAT,0.0067,0.0007,0.984396,False,0.0103,0.0096,0.98813
AAGAB,-0.0981,-0.0144,0.775941,False,0.0275,0.0419,0.825434
AAK1,-2.0098,-0.173,0.000313,False,-0.0455,0.1275,0.002715
AAMDC,-0.868,-0.0862,0.03142,False,-0.1284,-0.0422,0.063169
AAMP,2.8661,0.1621,2.6e-05,False,0.0416,-0.1205,0.001577
AANAT,-0.4966,-0.0193,0.174641,False,-0.0362,-0.0169,0.250724
AAR2,0.8614,0.0465,0.032403,False,0.0023,-0.0442,0.064794
AARD,0.4383,0.017,0.224984,False,-0.0057,-0.0227,0.307897
AARS,0.2565,0.0146,0.463676,False,-0.0225,-0.0371,0.55092
AARS2,-0.2775,-0.0207,0.429298,False,-0.0153,0.0055,0.51787
AARSD1,-1.2494,-0.111,0.005639,False,0.01,0.121,0.016851
AASDH,-0.4313,-0.0475,0.231797,False,-0.0098,0.0377,0.315462
AASDHPPT,6.2078,0.1495,0.0,False,0.031,-0.1185,0.0
AASS,0.0668,0.0136,0.846094,False,0.0016,-0.012,0.881696
AATBC,-1.6508,-0.0024,0.001117,False,-0.0136,-0.0113,0.00546
AATF,-0.0528,-0.0048,0.878013,False,0.0044,0.0092,0.906471
AATK,-0.7376,-0.0248,0.05782,False,-0.0374,-0.0126,0.102746
ABALON,0.9754,0.0162,0.019105,False,-0.0059,-0.0222,0.042564
ABAT,-0.4333,-0.0417,0.229884,False,-0.0273,0.0144,0.313276
ABBA01000935.2,-1.4891,-0.0835,0.00209,False,-0.0947,-0.0113,0.008331
ABCA1,0.1463,0.0247,0.672302,False,-0.0492,-0.0738,0.73865
ABCA10,-1.1485,-0.2543,0.008752,False,-0.1518,0.1025,0.023367
ABCA11P,-1.8239,-0.3336,0.000593,False,-0.0656,0.268,0.003711
ABCA12,-0.8954,-0.0604,0.027655,False,-0.0651,-0.0047,0.056896
ABCA13,-1.2179,-0.1029,0.006459,False,-0.0726,0.0303,0.018581
ABCA17P,-0.5721,-0.0698,0.124447,False,-0.0581,0.0117,0.190563
ABCA2,-0.027,-0.002,0.937394,False,-0.004,-0.002,0.951909
ABCA3,-1.1663,-0.0962,0.008093,False,-0.0614,0.0348,0.022005
ABCA4,-1.2997,-0.0597,0.004551,False,-0.0794,-0.0198,0.014429
ABCA5,-2.7738,-0.2247,3.3e-05,False,-0.2355,-0.0108,0.001634
ABCA6,-1.0859,-0.2033,0.011567,False,-0.1328,0.0705,0.028884
ABCA7,-1.4682,-0.0472,0.002272,False,-0.0816,-0.0344,0.008849
ABCA8,-0.7211,-0.1469,0.062471,False,-0.0594,0.0875,0.109311
ABCA9,-1.0791,-0.2433,0.011926,False,-0.1223,0.121,0.029566
ABCA9-AS1,-2.0249,-0.3826,0.000298,False,-0.4193,-0.0367,0.002656
ABCB1,-0.2352,-0.0235,0.500476,True,0.0042,0.0276,0.58548
ABCB10,-0.7401,-0.0495,0.057148,False,-0.0265,0.023,0.101747
ABCB11,0.0073,0.0007,0.983034,False,-0.0176,-0.0183,0.986999
ABCB4,-0.2353,-0.0223,0.500313,False,-0.027,-0.0047,0.58534
ABCB5,-0.7375,-0.0694,0.057844,False,-0.0434,0.026,0.102774
ABCB6,-0.4291,-0.0712,0.233945,False,0.0899,0.1612,0.317837
ABCB7,-1.4155,-0.1122,0.002812,False,-0.058,0.0542,0.010231
ABCB8,-0.3634,-0.0397,0.3074,False,0.0071,0.0468,0.396237
ABCB9,-0.9874,-0.161,0.018083,False,-0.0882,0.0728,0.04076
ABCC1,-1.2389,-0.1572,0.0059,True,-0.0326,0.1245,0.017391
ABCC10,-0.4765,-0.041,0.190692,False,-0.032,0.009,0.269514
ABCC11,-2.3549,-0.0707,0.000106,False,-0.088,-0.0173,0.001908
ABCC12,-2.1135,-0.0391,0.000223,False,-0.0585,-0.0194,0.002362
ABCC13,-1.4204,-0.077,0.002757,False,-0.0928,-0.0158,0.010083
ABCC2,0.1251,0.0062,0.717254,False,0.0484,0.0422,0.776984
ABCC3,0.0429,0.004,0.900725,False,-0.0115,-0.0155,0.924421
ABCC4,-0.6327,-0.0729,0.09425,False,0.035,0.1079,0.152301
ABCC5,-2.1099,-0.1637,0.000225,False,-0.0413,0.1225,0.002366
ABCC5-AS1,-2.2134,-0.0216,0.000162,False,-0.0398,-0.0182,0.002139
ABCC6,-0.803,-0.0791,0.042576,False,-0.0934,-0.0143,0.080455
ABCC6P1,-0.2772,-0.0165,0.429721,False,-0.0319,-0.0154,0.518281
ABCC6P2,0.4749,0.0136,0.192105,False,-0.0157,-0.0293,0.271093
ABCC8,-0.9772,-0.0334,0.018953,False,-0.0531,-0.0198,0.042288
ABCC9,0.603,0.071,0.108073,False,0.0339,-0.0371,0.170102
ABCD1,0.2546,0.0158,0.46689,False,0.0087,-0.0071,0.554121
ABCD2,0.0242,0.0013,0.943874,False,-0.0187,-0.02,0.957153
ABCD3,-0.8071,-0.0754,0.041775,False,-0.0454,0.03,0.079294
ABCD4,-0.1651,-0.0136,0.633621,False,-0.0354,-0.0218,0.705534
ABCE1,1.1137,0.1295,0.010215,False,0.0488,-0.0807,0.026265
ABCF1,0.6841,0.1022,0.074256,False,0.0299,-0.0722,0.125622
ABCF2,-0.3569,-0.0627,0.315524,False,0.0227,0.0854,0.404902
ABCF2.1,0.6664,0.0829,0.080619,False,-0.0274,-0.1102,0.134132
ABCF2P1,1.0754,0.0278,0.012123,False,-0.0017,-0.0295,0.029948
ABCF3,0.1737,0.0128,0.616385,False,-0.0268,-0.0396,0.68971
ABCG1,-0.3761,-0.0297,0.29188,False,-0.0524,-0.0227,0.380189
ABCG2,-0.7071,-0.064,0.066702,True,-0.0671,-0.0031,0.115218
ABCG4,-0.5688,-0.0063,0.126329,False,-0.0168,-0.0105,0.192894
ABCG5,-2.4739,-0.0433,7.5e-05,False,-0.0598,-0.0165,0.001799
ABCG8,-1.0224,-0.0217,0.015416,False,-0.0334,-0.0117,0.035994
ABHD1,-1.3138,-0.0467,0.004288,False,-0.0557,-0.009,0.013808
ABHD10,0.1725,0.0157,0.618795,False,0.0246,0.0089,0.691834
