gene,d,log2fc,p_raw,is_surface,mean_junb_plus,mean_junb_minus,p_bh
GPC5,-2.5357,-0.2386,6.3e-05,True,-0.0959,0.1428,0.001755
ITGB6,-2.5325,-0.1885,6.3e-05,True,-0.2354,-0.0468,0.001755
ITGB1,2.3888,0.314,9.6e-05,True,-0.0233,-0.3373,0.001874
ITGA11,-2.2092,-0.1581,0.000165,True,-0.144,0.0142,0.002147
CD63,2.0186,0.517,0.000304,True,0.2734,-0.2436,0.002687
ITGA3,-1.7904,-0.0775,0.000669,True,-0.0826,-0.0052,0.003983
SDC2,1.4575,0.0994,0.002372,True,-0.0023,-0.1017,0.009118
CD151,1.4421,0.1687,0.002524,True,0.0742,-0.0945,0.009512
CD9,1.4259,0.2452,0.002696,True,0.0422,-0.203,0.009931
ITGA8,-1.3842,-0.222,0.003197,True,-0.2826,-0.0606,0.011206
NT5E,1.3507,0.1712,0.003673,True,0.0451,-0.1261,0.012377
CD82,1.337,0.0877,0.003889,True,0.0123,-0.0754,0.012905
SDC3,1.2966,0.0956,0.004611,True,-0.0088,-0.1044,0.014566
IGF1R,-1.2749,-0.2359,0.005055,True,-0.0572,0.1787,0.015553
ABCC1,-1.2389,-0.1572,0.0059,True,-0.0326,0.1245,0.017391
ICAM1,1.2036,0.1015,0.006872,True,0.0987,-0.0028,0.019451
CD44,1.1545,0.2391,0.008523,True,0.1704,-0.0687,0.022892
VCAM1,1.14,0.0859,0.009088,True,0.0126,-0.0733,0.024004
PDGFRB,1.1244,0.1473,0.009738,True,0.0988,-0.0485,0.025326
GPC2,-1.0964,-0.0817,0.011036,True,-0.0595,0.0222,0.027856
THY1,1.0507,0.286,0.013553,True,0.0313,-0.2547,0.032585
MET,-1.0304,-0.0948,0.014863,True,-0.1189,-0.0241,0.034992
GPC6,-1.0198,-0.1765,0.015597,True,0.2101,0.3865,0.036323
FGFR3,-0.9124,-0.045,0.025556,True,-0.046,-0.001,0.053524
SLC2A1,0.905,0.0744,0.02645,True,0.0363,-0.038,0.05494
ITGA4,0.8379,0.053,0.036169,True,-0.0107,-0.0637,0.070659
SDC4,0.8365,0.1135,0.036392,True,0.0284,-0.0852,0.070963
CD81,0.7605,0.1579,0.051941,True,0.0649,-0.093,0.094314
ITGA1,-0.7523,-0.0761,0.053994,True,-0.0973,-0.0212,0.097281
CD47,0.7481,0.1241,0.055047,True,0.0986,-0.0255,0.098717
ITGA7,-0.7398,-0.063,0.057238,True,-0.1282,-0.0653,0.101888
GPC4,0.7221,0.0655,0.062166,True,0.0082,-0.0573,0.108919
ABCG2,-0.7071,-0.064,0.066702,True,-0.0671,-0.0031,0.115218
EGFR,-0.6924,-0.1598,0.071438,True,-0.1303,0.0295,0.121759
SDC1,0.6792,0.0211,0.075957,True,-0.0157,-0.0368,0.127996
CD59,0.5776,0.1569,0.121342,True,0.0541,-0.1028,0.186882
ITGB2,0.5768,0.0436,0.121801,True,0.0002,-0.0434,0.187414
ITGA2,-0.5735,-0.0487,0.123634,True,-0.0399,0.0088,0.189651
GPC3,0.5249,0.0502,0.153985,True,0.0034,-0.0468,0.22658
ITGA5,0.5217,0.0481,0.15617,True,0.1173,0.0692,0.229198
ITGA10,-0.5087,-0.0451,0.165483,True,-0.0221,0.023,0.240091
FGFR2,-0.5017,-0.049,0.170681,True,-0.0281,0.0209,0.246098
CD99,0.469,0.2312,0.197077,True,0.1312,-0.1,0.276899
CD55,0.4572,0.0716,0.207386,True,-0.0247,-0.0962,0.288274
ENG,0.429,0.0431,0.234082,True,0.0474,0.0042,0.317977
DPP4,0.411,0.0687,0.252597,True,-0.1011,-0.1698,0.338247
ITGA9,-0.3748,-0.0477,0.293387,True,0.0086,0.0563,0.381711
ITGB4,0.2847,0.0153,0.417874,True,-0.0006,-0.016,0.507096
ABCB1,-0.2352,-0.0235,0.500476,True,0.0042,0.0276,0.58548
GPC1,0.2333,0.0152,0.503805,True,-0.0149,-0.0301,0.588613
ITGB7,-0.2285,-0.0077,0.512484,True,-0.0282,-0.0205,0.596962
ITGA6,0.2274,0.0199,0.514298,True,-0.0514,-0.0713,0.598635
ERBB2,0.2015,0.0156,0.562263,True,-0.0183,-0.0338,0.642041
CD46,0.1918,0.0231,0.580895,True,0.0008,-0.0223,0.658626
ITGB5,-0.1915,-0.0165,0.581331,True,-0.0582,-0.0417,0.659022
CD24,-0.1751,-0.0056,0.613637,True,-0.041,-0.0355,0.68753
ITGAV,0.1283,0.0117,0.710289,True,0.0594,0.0477,0.771279
FGFR1,0.1201,0.0118,0.728006,True,-0.0306,-0.0424,0.78582
ITGB8,-0.0631,-0.0094,0.854475,True,0.0366,0.046,0.88779
ITGB3,0.0357,0.0042,0.917457,True,0.0546,0.0503,0.936817
FGFR4,0.0333,0.005,0.922912,True,-0.0009,-0.0059,0.940914
PDGFRA,-0.0204,-0.002,0.952662,True,-0.0015,0.0005,0.963818
