pair,d_ligand,d_receptor,p_ligand,p_receptor,n_young,n_old,mean_ligand_young,mean_ligand_old,mean_receptor_young,mean_receptor_old,p_ligand_bh,p_receptor_bh
HGF->MET,-0.4802,0.389,0.628571,0.857143,3,4,0.1554,0.0101,0.3699,0.4291,0.887394,0.89441
FGF7->FGFR2,1.6904,1.6253,0.228571,0.043597,3,4,-0.566,-0.0461,0.0,0.009,0.887394,0.342858
FGF7->FGFR1,1.6904,-0.0462,0.228571,1.0,3,4,-0.566,-0.0461,0.6959,0.6876,0.887394,1.0
IGF2->IGF1R,-0.4371,1.9043,0.857143,0.057143,3,4,0.4821,0.0533,0.1582,0.2783,1.0,0.342858
IGF1->IGF1R,-0.7779,1.9043,0.4,0.057143,3,4,0.2641,-0.0679,0.1582,0.2783,0.887394,0.342858
PDGFA->PDGFRA,0.1252,0.8671,0.857143,0.628571,3,4,-0.0215,-0.011,0.2049,0.2737,1.0,0.793984
PDGFB->PDGFRB,0.7554,2.3208,0.4,0.057143,3,4,-0.0392,-0.0176,0.0517,0.2678,0.887394,0.342858
CCL2->CCR2,0.6316,0.8798,0.628571,0.270289,3,4,-0.1343,0.2891,0.0,0.0007,0.887394,0.793984
CCL7->CCR2,-0.9117,0.8798,0.628571,0.270289,3,4,-0.0117,-0.0214,0.0,0.0007,0.887394,0.793984
CXCL8->CXCR1,-0.5216,0.6455,1.0,0.563703,3,4,0.2288,0.0251,0.0,0.0006,1.0,0.793984
CXCL8->CXCR2,-0.5216,0.1179,1.0,0.58208,3,4,0.2288,0.0251,0.0024,0.0029,1.0,0.793984
CXCL6->CXCR1,0.2309,0.6455,1.0,0.563703,3,4,-0.0415,-0.0315,0.0,0.0006,1.0,0.793984
CXCL6->CXCR2,0.2309,0.1179,1.0,0.58208,3,4,-0.0415,-0.0315,0.0024,0.0029,1.0,0.793984
IL6->IL6R,-0.2502,-0.6802,0.628571,0.857143,3,4,0.0838,-0.0447,0.2842,0.1538,0.887394,0.89441
TNF->TNFRSF1A,1.3946,0.0974,0.114286,0.857143,3,4,-0.0504,0.0049,0.3815,0.3995,0.887394,0.89441
TNF->TNFRSF1B,1.3946,-1.0167,0.114286,0.4,3,4,-0.0504,0.0049,0.0732,0.0414,0.887394,0.793984
TGFB1->TGFBR1,-0.1649,0.7986,0.857143,0.4,3,4,-0.0116,-0.0197,0.1469,0.1856,1.0,0.793984
TGFB2->TGFBR1,-2.1567,0.7986,0.057143,0.4,3,4,0.2537,-0.0043,0.1469,0.1856,0.887394,0.793984
WNT5A->FZD2,0.5275,0.7703,0.628571,0.4,3,4,0.0595,0.1872,0.0086,0.0158,0.887394,0.793984
WNT5A->FZD7,0.5275,1.3283,0.628571,0.114286,3,4,0.0595,0.1872,0.081,0.1247,0.887394,0.548573
JAG1->NOTCH2,1.3127,-0.3877,0.228571,0.628571,3,4,-0.0853,0.0676,0.6381,0.5957,0.887394,0.793984
DLL1->NOTCH2,-1.0061,-0.3877,0.628571,0.628571,3,4,0.093,-0.0103,0.6381,0.5957,0.887394,0.793984
BMP4->BMPR1A,-1.2038,0.6113,0.628571,0.857143,3,4,0.762,0.109,0.166,0.2062,0.887394,0.89441
GDF15->GFRAL,1.0098,0.6455,0.4,0.563703,3,4,-0.1175,-0.0023,0.0,0.0005,0.887394,0.793984
