subtype,gene,rho,p_value,n_donors,p_value_bh
Inter_FB,CCL2,0.5874125874125874,0.0446092964633631,12,0.4204542869670466
Inter_FB,CXCL1,0.4545454545454546,0.1376579163477294,12,0.4204542869670466
Inter_FB,CXCL2,0.4475524475524475,0.1445863013033475,12,0.4204542869670466
Inter_FB,CXCL3,0.3636363636363637,0.2452650007307772,12,0.4204542869670466
Inter_FB,CXCL6,0.4125874125874127,0.1825639785731667,12,0.4204542869670466
Inter_FB,IL6,0.1611210877178196,0.6168988561548572,12,0.6729805703507533
Inter_FB,CXCL8,0.3846153846153847,0.2170202257599774,12,0.4204542869670466
Inter_FB,SERPINE1,0.0279720279720279,0.9312343512018808,12,0.9312343512018808
Inter_FB,MMP1,0.4444858262549693,0.1476939847666925,12,0.4204542869670466
Inter_FB,MMP3,-0.273205322651955,0.3902336739236368,12,0.5203115652315157
Inter_FB,PLAU,0.3286713286713286,0.2969041156887641,12,0.4453561735331462
Inter_FB,PLAUR,0.2307692307692307,0.470531995381542,12,0.5646383944578504
Par_FB,CCL2,0.6083916083916086,0.0358059970520292,12,0.08593439292487008
Par_FB,CXCL1,0.8741258741258742,0.0002007130733242,12,0.0024085568798904
Par_FB,CXCL2,0.6433566433566434,0.0240031912007136,12,0.0720095736021408
Par_FB,CXCL3,0.2324001290173195,0.4673126442064679,12,0.5097956118616014
Par_FB,CXCL6,0.6690306744437988,0.0173521925054072,12,0.0694087700216288
Par_FB,IL6,0.4133106163196243,0.1817214774016019,12,0.2725822161024029
Par_FB,CXCL8,0.2755432378485742,0.3860267218630416,12,0.4632320662356499
Par_FB,SERPINE1,-0.1258741258741259,0.6966831093957659,12,0.6966831093957659
Par_FB,MMP1,-0.3816652737747715,0.2208674673107697,12,0.2944899564143596
Par_FB,MMP3,-0.5160959424271852,0.085853443578498,12,0.171706887156996
Par_FB,PLAU,0.7202797202797203,0.0082397687123384,12,0.0494386122740304
Par_FB,PLAUR,0.4545454545454546,0.1376579163477294,12,0.23598499945325038
Adv_FB,CCL2,0.1958041958041958,0.5419358857313175,12,
Adv_FB,CXCL1,0.4615384615384615,0.1309480695071727,12,
Adv_FB,CXCL2,0.3356643356643357,0.2861229029149875,12,
Adv_FB,CXCL3,0.3006993006993007,0.3422595289400246,12,
Adv_FB,CXCL6,0.4448343073948498,0.1473386987123887,12,
Adv_FB,IL6,0.2587412587412587,0.4167747688991383,12,
Adv_FB,CXCL8,0.5113843218869928,0.0892571722151938,12,
Adv_FB,SERPINE1,0.0699300699300699,0.8290236405313092,12,
Adv_FB,MMP1,,,12,
Adv_FB,MMP3,0.3873335483621993,0.2135115526743914,12,
Adv_FB,PLAU,0.2447552447552448,0.4432619364501832,12,
Adv_FB,PLAUR,0.7762237762237763,0.0029928636801859,12,
