gene,mean_JUNB_neg,mean_JUNB_pos,log2FC,p_value,p_value_corrected,significant
IL6,-0.30384179949760437,-0.06632475554943085,,1.6798558774654514e-90,1.595863083592179e-89,False
CCL2,-0.32212039828300476,0.26618051528930664,,2.2025018474885463e-287,4.184753510228238e-286,False
CXCL1,-0.07538988441228867,0.008686807937920094,2.1428535023045567,4.083105754247783e-09,8.61988992563421e-09,True
CXCL2,-0.23158447444438934,0.01094874832779169,,4.024576082050699e-64,2.548898185298776e-63,False
CXCL3,-0.09909581393003464,-0.01695055514574051,6.521207022831138,1.397908114560311e-10,3.320031772080739e-10,True
CXCL8,-0.06035304814577103,-0.03125041723251343,0.7941410054258813,0.027669247175217446,0.04380964136076096,True
TNF,-0.03876607120037079,0.0023796693421900272,0.7415260967338839,0.003571129480497279,0.00678514601294483,True
IL1B,-0.018952317535877228,-0.028375297784805298,-0.17831369709573552,0.2938356372809785,0.2938356372809785,False
SERPINE1,-0.1605335921049118,0.008455092087388039,,4.553661080497049e-26,2.1629890132360985e-25,False
MMP3,-0.06382417678833008,-0.041094325482845306,0.7033807719488081,0.08570517878523409,0.10177489980746549,False
PLAU,-0.1362518072128296,0.030179623514413834,,5.014932293184909e-24,1.588061892841888e-23,False
PLAUR,-0.17808692157268524,-0.02301550842821598,,2.706241114238087e-23,7.345511595789093e-23,False
FGF7,-0.17385868728160858,-0.005659706890583038,,1.7498451503400974e-24,6.649411571292371e-24,False
CXCL10,-0.03616989031434059,-0.01128370501101017,0.4749619893360877,0.04547926077826407,0.06646968882977057,False
CXCL6,-0.04111397638916969,-0.022830739617347717,0.39010102238896005,0.06777089567794933,0.08584313452540249,False
HGF,-0.010474570095539093,0.008107326924800873,0.2720948578342903,0.2611162169646769,0.2756226734627145,False
MMP1,-0.04731415584683418,-0.03814347833395004,0.23151032490183976,0.05573142695057868,0.07563550800435678,False
IL1RN,-0.015033458359539509,-0.027093611657619476,-0.22084960997418923,0.09762881406656523,0.10911455689792585,False
PDGFA,0.0002034991921391338,-0.036183204501867294,-0.6509248176209796,0.019518115386568724,0.03371310839498234,False
