gene,mean_junb_pos,mean_junb_neg,log2FC,p_value,bh_p_value,significant
JUNB,0.9868974685668945,-1.1105248928070068,2.0974223613739014,0.0,0.0,True
FOS,0.7065919041633606,-0.5224692225456238,1.2290611267089844,0.0,0.0,True
JUN,0.6349919438362122,-0.5378700494766235,1.1728620529174805,0.0,0.0,True
FOSB,0.541124165058136,-0.5986460447311401,1.139770269393921,0.0,0.0,True
EGR1,0.5741118788719177,-0.5277754068374634,1.1018872261047363,0.0,0.0,True
IER2,0.49038511514663696,-0.5779250264167786,1.0683101415634155,0.0,0.0,True
SOCS3,0.425387442111969,-0.580129861831665,1.0055172443389893,0.0,0.0,True
GADD45B,0.3991560637950897,-0.5635762214660645,0.9627323150634766,0.0,0.0,True
DNAJB1,0.31725308299064636,-0.5984095335006714,0.9156626462936401,0.0,0.0,True
HSPA1A,0.3343803286552429,-0.5003318786621094,0.8347122073173523,0.0,0.0,True
UBC,0.3702681362628937,-0.4408642053604126,0.8111323118209839,0.0,0.0,True
NR4A1,0.28941577672958374,-0.516590416431427,0.8060061931610107,0.0,0.0,True
HSP90AA1,0.3358299136161804,-0.45244139432907104,0.7882713079452515,0.0,0.0,True
HSPA1B,0.3468436896800995,-0.43395549058914185,0.780799150466919,0.0,0.0,True
FTH1,0.3642381429672241,-0.40782010555267334,0.7720582485198975,0.0,0.0,True
H3F3B,0.3661380708217621,-0.39353737235069275,0.7596754431724548,0.0,0.0,True
CCN1,0.35279959440231323,-0.39996853470802307,0.7527681589126587,0.0,0.0,True
FTL,0.3530021607875824,-0.3913690745830536,0.744371235370636,0.0,0.0,True
EIF1,0.33151116967201233,-0.4075484871864319,0.7390596866607666,0.0,0.0,True
ACTB,0.3456999957561493,-0.3817674517631531,0.72746741771698,0.0,0.0,True
ATF3,0.26040351390838623,-0.46675965189933777,0.7271631956100464,0.0,0.0,True
IFITM3,0.30847853422164917,-0.41566115617752075,0.7241396903991699,0.0,0.0,True
B2M,0.3427998125553131,-0.37765607237815857,0.7204558849334717,0.0,0.0,True
MYC,0.29763263463974,-0.41496291756629944,0.7125955820083618,0.0,0.0,True
TMSB4X,0.3820083439350128,-0.32950249314308167,0.7115108370780945,0.0,0.0,True
VIM,0.402406245470047,-0.29937154054641724,0.7017778158187866,0.0,0.0,True
PPP1R15A,0.28960341215133667,-0.4065628945827484,0.6961662769317627,0.0,0.0,True
HLA-E,0.391099750995636,-0.3024797737598419,0.6935795545578003,0.0,0.0,True
S100A6,0.3814007639884949,-0.3068605065345764,0.6882612705230713,1.4468989238257506e-305,1.8003722633290454e-303,True
IFITM2,0.27664074301719666,-0.41148895025253296,0.6881296634674072,0.0,0.0,True
UBB,0.23710428178310394,-0.4304457902908325,0.6675500869750977,1.4478574355173208e-289,1.692791204703138e-287,True
BTG2,0.2678561210632324,-0.3925129175186157,0.6603690385818481,0.0,0.0,True
EEF1A1,0.25089144706726074,-0.39066949486732483,0.6415609121322632,1.0508876816498807e-263,1.1344826843400087e-261,True
CDKN1A,0.24691271781921387,-0.39458006620407104,0.6414927840232849,0.0,0.0,True
PNRC1,0.2734561860561371,-0.3650621473789215,0.6385183334350586,1.5440158002225542e-287,1.791694439636532e-285,True
HSPA8,0.1734265387058258,-0.46442607045173645,0.6378526091575623,4.874099432444197e-308,6.266150320141848e-306,True
PTMA,0.27870890498161316,-0.3559058904647827,0.6346148252487183,7.90164091756705e-280,8.902419656326541e-278,True
KLF4,0.2608914077281952,-0.37165382504463196,0.6325452327728271,8.633127474060553e-287,9.906673649215485e-285,True
DNAJA1,0.19249297678470612,-0.4309617578983307,0.623454749584198,1.7703316076874306e-290,2.077658492461351e-288,True
TMSB10,0.23199595510959625,-0.3788420259952545,0.610837996006012,1.797456693249915e-250,1.862561897222813e-248,True
CST3,0.28143203258514404,-0.3248156011104584,0.6062476634979248,4.4644214519334306e-236,4.405132797619538e-234,True
