gene,mean_junb_neg,mean_junb_pos,log2FC,p_value,bh_p_value
PDGFRA,-0.031872738152742386,0.08124413341283798,0.11311687529087067,2.7750763052290338e-11,1.9532073867540016e-10
PDGFRB,0.025186458602547646,0.17164497077465057,0.14645850658416748,4.317521864358621e-18,5.0289390948655324e-17
CD29,,,,,
ITGB1,-0.2278449833393097,0.028662841767072678,0.2565078139305115,2.8893351015514884e-49,8.73368482452388e-48
CD34,0.06082991883158684,0.20429426431655884,0.1434643417596817,3.4190183722601053e-17,3.783265936704816e-16
THY1,-0.30592623353004456,-0.15367631614208221,0.15224991738796234,5.528888675034761e-33,1.1887686177557392e-31
NT5E,0.00906631350517273,0.11314721405506134,0.10408090054988861,1.216799757277867e-09,7.2250109006784506e-09
ENG,-0.06054987385869026,-0.02607695385813713,0.03447292000055313,0.03536688665003346,0.05694098155674426
CD51,,,,,
ITGAV,0.027323706075549126,0.0227618720382452,-0.0045618340373039246,0.788506078949355,0.8318108220663216
LY6A,,,,,
LY6E,-0.26665329933166504,0.10179906338453293,0.36845237016677856,3.4849824565704305e-107,1.8909844387376818e-105
SCA1,,,,,
CD9,-0.07725802809000015,0.14460590481758118,0.22186392545700073,5.584170338145111e-41,1.4674669176145036e-39
CD81,-0.02772131934762001,0.06823286414146423,0.09595417976379395,3.878076987973791e-08,1.8993749497058483e-07
CD63,-0.2878374755382538,0.23957379162311554,0.5274112820625305,1.6354141146505618e-189,1.3195321748494364e-187
PDPN,-0.24981637299060822,-0.09680783003568649,0.15300855040550232,3.859131518832993e-24,6.087956815071416e-23
MCAM,-0.009141537360846996,-0.023924710229039192,-0.014783172868192196,0.33823241955606675,0.4124795345629228
VCAM1,0.009128352627158165,0.0008026406285353005,-0.008325711823999882,0.6209746729363462,0.6852706329814366
ICAM1,-0.11984499543905258,0.04830498620867729,0.16814997792243958,2.319310359426823e-26,4.059841404865608e-25
CD90,,,,,
CD73,,,,,
CD105,,,,,
CD146,,,,,
CD106,,,,,
CD54,,,,,
