gene,compartment,rho_p21,p_value,note
CCL2,FAP,0.6131868131868132,0.019706331926038816,EXPLORATORY
CCL2,MuSC,0.8967590638830791,2.5415388542592597e-06,EXPLORATORY
CCL7,FAP,0.01098901098901099,0.970258390096969,EXPLORATORY
CCL7,MuSC,,,EXPLORATORY
CCL8,FAP,0.18681318681318684,0.5225040123791591,EXPLORATORY
CCL8,MuSC,0.6013597581722137,0.013735181730957826,EXPLORATORY
CXCL6,FAP,0.3802197802197802,0.17990614630608154,EXPLORATORY
CXCL6,MuSC,0.459079290210616,0.0736540865847912,EXPLORATORY
CXCL8,FAP,0.2967032967032967,0.30296672383870205,EXPLORATORY
CXCL8,MuSC,0.7736412024053343,0.0004379809735072827,EXPLORATORY
IL6,FAP,0.6131868131868132,0.019706331926038816,EXPLORATORY
IL6,MuSC,0.7944819938790861,0.00023648977127769502,EXPLORATORY
IL1B,FAP,-0.059340659340659345,0.8403017626906826,EXPLORATORY
IL1B,MuSC,0.6474204308053327,0.006701253314540165,EXPLORATORY
MMP1,FAP,0.178021978021978,0.5425969526062153,EXPLORATORY
MMP1,MuSC,0.38559519865429154,0.140207789883929,EXPLORATORY
MMP3,FAP,-0.2,0.49300373503999984,EXPLORATORY
MMP3,MuSC,0.3263766828841098,0.21729956546149312,EXPLORATORY
SERPINE1,FAP,-0.04175824175824176,0.8872869731890637,EXPLORATORY
SERPINE1,MuSC,0.8461538461538461,3.605134292102723e-05,EXPLORATORY
PLAU,FAP,-0.1164835164835165,0.6916912502331573,EXPLORATORY
PLAU,MuSC,0.7159763313609467,0.0018122434778385932,EXPLORATORY
