TF,N,rho_raw,p_raw,rho_age_adj,p_age_adj,delta_age,rho_age_tech_adj,p_age_tech_adj,delta_age_tech,is_top5
JUNB,13,0.7143,0.006088305245824148,0.6758,0.011225245577668611,-0.0385,0.7527,0.0029822333891698486,0.0385,False
JUN,13,0.6319,0.020516042572872466,0.6319,0.020516042572872466,0.0,0.6923,0.008730317796749324,0.0604,False
JUND,13,0.8022,0.0009687789139250084,0.8187,0.0006209883849300375,0.0165,0.8571,0.0001809340887252406,0.0549,False
FOS,13,0.8132,0.0007236077236996977,0.8736,9.5288972903705e-05,0.0604,0.8846,5.9057452171910124e-05,0.0714,True
FOSB,13,0.7857,0.0014541896038438224,0.8297,0.0004502862955462125,0.044,0.7802,0.001652500657442955,-0.0055,False
FOSL1,13,0.5912,0.03335277382275234,0.6044,0.02867270567140696,0.0132,0.456,0.11728306543614495,-0.1351,False
ATF3,13,0.8352,0.0003802080801851202,0.8571,0.0001809340887252406,0.022,0.8956,3.480972994482087e-05,0.0604,True
EGR1,13,0.8681,0.00011910255980042727,0.8901,4.565437440744702e-05,0.022,0.9176,9.906225317564678e-06,0.0495,True
EGR2,13,0.8626,0.00014744785947619764,0.8681,0.00011910255980042727,0.0055,0.8187,0.0006209883849300375,-0.044,True
KLF10,13,0.6813,0.010340409451492895,0.6813,0.010340409451492895,0.0,0.7033,0.007318569842104322,0.022,False
CDKN1A,13,0.6868,0.009509496050393583,0.6813,0.010340409451492895,-0.0055,0.8022,0.0009687789139250084,0.1154,False
IRF1,13,0.5989,0.030554114172937866,0.5989,0.030554114172937866,0.0,0.6484,0.016536698804267252,0.0495,False
CEBPB,13,0.8736,9.5288972903705e-05,0.8736,9.5288972903705e-05,0.0,0.8187,0.0006209883849300375,-0.0549,True
CEBPD,13,0.6154,0.02516711655189929,0.6374,0.0191181137774633,0.022,0.522,0.06729171199351018,-0.0934,False
RELA,13,0.2033,0.5053147342962486,0.3901,0.1875741161338378,0.1868,0.2418,0.42617551959450883,0.0385,False
NFKB1,13,0.3187,0.2885831614447202,0.2857,0.34400021825867,-0.033,0.3407,0.2547064607541252,0.022,False
