subtype,N_cells,TF,cell_rho,cell_p
CCL20+ TC,176,JUNB,-0.0937,0.2160562105154363
CCL20+ TC,176,CEBPB,0.509,5.433744095088845e-13
CD14+ Mono,567,JUNB,0.2907,1.6590199476228086e-12
CD14+ Mono,567,CEBPB,0.3719,4.911532126461869e-20
CD16+ Mono,591,JUNB,0.6056,1.9632564871413858e-60
CD16+ Mono,591,CEBPB,0.5041,2.074737856430389e-39
CD4+ TC,154,JUNB,0.0315,0.698476010170962
CD4+ TC,154,CEBPB,0.308,0.00010172220320069667
CD4+ naive TC,1120,JUNB,0.5195,2.03509831150647e-78
CD4+ naive TC,1120,CEBPB,0.29,3.77608315821415e-23
CD8+ TC,1449,JUNB,0.2429,6.729507358995559e-21
CD8+ TC,1449,CEBPB,0.1907,2.466374479512243e-13
CD8+ naive TC,761,JUNB,0.21,4.948256891671691e-09
CD8+ naive TC,761,CEBPB,0.2229,5.091898578298223e-10
DC,149,JUNB,0.2387,0.0033777841586534437
DC,149,CEBPB,0.4621,2.9964121987666657e-09
LAM MΦ,873,JUNB,0.4169,5.031973239954729e-38
LAM MΦ,873,CEBPB,0.4707,2.4966082518179692e-49
LYVE1+ M2,4683,JUNB,0.6017,0.0
LYVE1+ M2,4683,CEBPB,0.5356,0.0
Mast cell,592,JUNB,-0.0612,0.1369195712543785
Mast cell,592,CEBPB,0.0682,0.09737444988286441
Mem BC,206,JUNB,0.2968,1.4819667729299197e-05
Mem BC,206,CEBPB,0.5093,5.360364480083775e-15
NK,1663,JUNB,0.0956,9.366974363781916e-05
NK,1663,CEBPB,0.2649,4.262525049754166e-28
NKT,439,JUNB,0.2275,1.4615468308341622e-06
NKT,439,CEBPB,0.2451,1.9805276075112696e-07
Naive BC,208,JUNB,0.1877,0.00663332235074901
Naive BC,208,CEBPB,0.1722,0.01288306255544852
reg TC,142,JUNB,0.4784,1.7355182959483373e-09
reg TC,142,CEBPB,0.0598,0.47994981769824885
