TF,rho_sasp12,rho_ext,delta_rho,p_ext,ci_95_low_ext,ci_95_high_ext
JUNB,0.7142857142857143,0.7857,0.0714,0.0014541896038438224,0.4139,0.9329
JUN,0.6318681318681317,0.7308,0.0989,0.004547733743967149,0.301,0.9138
JUND,0.8021978021978022,0.8297,0.0275,0.0004502862955462125,0.5134,0.9475
FOS,0.8131868131868131,0.7967,-0.0165,0.0011136526522685867,0.438,0.9366
FOSB,0.7857142857142857,0.8297,0.044,0.0004502862955462125,0.5134,0.9475
FOSL1,0.5911692435175179,0.5912,0.0,0.03335277382275234,0.0596,0.8615
ATF3,0.8351648351648352,0.8077,-0.0275,0.0008391600097274243,0.4626,0.9402
EGR1,0.8681318681318682,0.9121,0.044,1.3975552674444554e-05,0.7259,0.9737
EGR2,0.8626373626373626,0.8571,-0.0055,0.0001809340887252406,0.5801,0.9564
KLF10,0.6813186813186813,0.8022,0.1209,0.0009687789139250084,0.4502,0.9384
CDKN1A,0.6868131868131868,0.7308,0.044,0.004547733743967149,0.301,0.9138
IRF1,0.5989010989010989,0.6813,0.0824,0.010340409451492895,0.2087,0.896
CEBPB,0.8736263736263737,0.8187,-0.0549,0.0006209883849300375,0.4877,0.9439
CEBPD,0.6153846153846153,0.5604,-0.0549,0.04634590589406461,0.0137,0.8492
RELA,0.20329670329670327,0.2967,0.0934,0.3249215884859752,-0.304,0.7286
NFKB1,0.3186813186813187,0.3187,0.0,0.2885831614447202,-0.2818,0.7398
