subtype,gene,n_cells,pct_expressing,mean_expression
CCL20+ TC,CXCL1,176,5.11,0.110741
CCL20+ TC,CXCL2,176,17.05,0.512952
CCL20+ TC,CXCL3,176,15.34,0.485044
CCL20+ TC,CXCL8,176,16.48,0.552871
CCL20+ TC,IL1B,176,12.5,0.392638
CCL20+ TC,CCL2,176,10.8,0.176507
CCL20+ TC,CCL20,176,93.75,3.327938
CCL20+ TC,CXCL6,176,0.0,0.0
CCL20+ TC,PLAU,176,10.8,0.144775
CCL20+ TC,PLAUR,176,26.14,0.627622
CCL20+ TC,TIMP1,176,31.82,0.815148
CCL20+ TC,MMP1,176,0.0,0.0
CCL20+ TC,IL6,176,3.98,0.055797
CCL20+ TC,TNF,176,55.68,1.476274
CCL20+ TC,IL1A,176,3.41,0.050746
CCL20+ TC,S100A8,176,7.39,0.137689
CCL20+ TC,S100A9,176,15.34,0.302975
CCL20+ TC,NLRP3,176,9.09,0.1487
CD14+ Mono,CXCL1,567,13.4,0.238526
CD14+ Mono,CXCL2,567,76.19,2.158005
CD14+ Mono,CXCL3,567,58.91,1.57772
CD14+ Mono,CXCL8,567,77.78,2.720666
CD14+ Mono,IL1B,567,73.54,2.33099
CD14+ Mono,CCL2,567,43.74,0.820319
CD14+ Mono,CCL20,567,8.47,0.131867
CD14+ Mono,CXCL6,567,0.53,0.007273
CD14+ Mono,PLAU,567,14.64,0.209045
CD14+ Mono,PLAUR,567,88.36,2.556096
CD14+ Mono,TIMP1,567,85.71,2.763058
CD14+ Mono,MMP1,567,0.0,0.0
CD14+ Mono,IL6,567,11.99,0.18748
CD14+ Mono,TNF,567,14.64,0.262816
CD14+ Mono,IL1A,567,9.7,0.159284
CD14+ Mono,S100A8,567,80.78,2.875757
CD14+ Mono,S100A9,567,82.01,3.106414
CD14+ Mono,NLRP3,567,46.21,0.833559
CD16+ Mono,CXCL1,591,14.55,0.286252
CD16+ Mono,CXCL2,591,46.87,1.322171
CD16+ Mono,CXCL3,591,40.61,1.098257
CD16+ Mono,CXCL8,591,49.07,1.565096
CD16+ Mono,IL1B,591,47.04,1.397859
CD16+ Mono,CCL2,591,47.55,1.025326
CD16+ Mono,CCL20,591,1.52,0.016684
CD16+ Mono,CXCL6,591,0.17,0.002134
