TF,N,observed_rho,observed_p,power,power_pct,min_n_for_80pct,adequacy
CEBPB,13,0.8736,9.5288972903705e-05,0.9894,98.9%,8,ADEQUATE
EGR1,13,0.8681,0.00011910255980042727,0.9872,98.7%,8,ADEQUATE
EGR2,13,0.8626,0.00014744785947619764,0.9847,98.5%,8,ADEQUATE
ATF3,13,0.8352,0.0003802080801851202,0.9679,96.8%,9,ADEQUATE
FOS,13,0.8132,0.0007236077236996977,0.9488,94.9%,10,ADEQUATE
JUND,13,0.8022,0.0009687789139250084,0.9374,93.7%,10,ADEQUATE
FOSB,13,0.7857,0.0014541896038438224,0.9181,91.8%,10,ADEQUATE
JUNB,13,0.7143,0.006088305245824148,0.8087,80.9%,13,ADEQUATE
CDKN1A,13,0.6868,0.009509496050393583,0.7587,75.9%,15,MARGINAL
KLF10,13,0.6813,0.010340409451492895,0.7484,74.8%,15,MARGINAL
JUN,13,0.6319,0.020516042572872466,0.6534,65.3%,18,MARGINAL
CEBPD,13,0.6154,0.02516711655189929,0.6214,62.1%,19,MARGINAL
IRF1,13,0.5989,0.030554114172937866,0.5896,59.0%,20,MARGINAL
FOSL1,13,0.5912,0.03335277382275234,0.5749,57.5%,20,MARGINAL
NFKB1,13,0.3187,0.2885831614447202,0.1799,18.0%,75,UNDERPOWERED
RELA,13,0.2033,0.5053147342962486,0.0954,9.5%,188,UNDERPOWERED
