TF,raw_rho,raw_p,age_adj_rho,age_adj_p,tech_adj_rho,tech_adj_p,both_adj_rho,both_adj_p,delta_tech,delta_both
CEBPB,0.8736,9.53e-05,0.8516,2.20e-04,0.7637,2.38e-03,0.7363,4.11e-03,-0.1099,-0.1374
EGR1,0.8681,1.19e-04,0.8681,1.19e-04,0.6813,1.03e-02,0.6319,2.05e-02,-0.1868,-0.2363
EGR2,0.8626,1.47e-04,0.8626,1.47e-04,0.7198,5.54e-03,0.7143,6.09e-03,-0.1429,-0.1484
ATF3,0.8352,3.80e-04,0.8516,2.20e-04,0.5879,3.46e-02,0.5,8.19e-02,-0.2473,-0.3352
FOS,0.8132,7.24e-04,0.8626,1.47e-04,0.7418,3.70e-03,0.7857,1.45e-03,-0.0714,-0.0275
JUND,0.8022,9.69e-04,0.8187,6.21e-04,0.5714,4.13e-02,0.3681,2.16e-01,-0.2308,-0.4341
FOSB,0.7857,1.45e-03,0.8462,2.66e-04,0.5055,7.80e-02,0.4066,1.68e-01,-0.2802,-0.3791
JUNB,0.7143,6.09e-03,0.7253,5.02e-03,0.4121,1.62e-01,0.1099,7.21e-01,-0.3022,-0.6044
CDKN1A,0.6868,9.51e-03,0.7033,7.32e-03,0.2473,4.15e-01,0.0659,8.31e-01,-0.4396,-0.6209
KLF10,0.6813,1.03e-02,0.6813,1.03e-02,0.2637,3.84e-01,0.0165,9.57e-01,-0.4176,-0.6648
JUN,0.6319,2.05e-02,0.6209,2.35e-02,0.0989,7.48e-01,0.0659,8.31e-01,-0.533,-0.5659
CEBPD,0.6154,2.52e-02,0.6374,1.91e-02,0.4286,1.44e-01,0.4945,8.58e-02,-0.1868,-0.1209
IRF1,0.5989,3.06e-02,0.533,6.07e-02,-0.2253,4.59e-01,-0.1538,6.16e-01,-0.8242,-0.7527
FOSL1,0.5912,3.34e-02,0.6154,2.52e-02,0.5879,3.46e-02,0.3407,2.55e-01,-0.0033,-0.2505
NFKB1,0.3187,2.89e-01,0.3242,2.80e-01,-0.0934,7.62e-01,-0.3571,2.31e-01,-0.4121,-0.6758
RELA,0.2033,5.05e-01,0.2473,4.15e-01,-0.3901,1.88e-01,-0.5879,3.46e-02,-0.5934,-0.7912
