TF,N_snRNA,snRNA_rho,snRNA_p,raw_rho_N13,delta,is_significant_snRNA,snRNA_abs_rho
FOS,12,0.8601,0.0003316683391269209,0.8132,0.0469,True,0.8601
EGR1,12,0.8601,0.0003316683391269209,0.8681,-0.008,True,0.8601
CEBPB,12,0.8462,0.000521133700481005,0.8736,-0.0274,True,0.8462
EGR2,12,0.8462,0.000521133700481005,0.8626,-0.0164,True,0.8462
FOSB,12,0.8182,0.0011431050868040604,0.7857,0.0325,True,0.8182
ATF3,12,0.7972,0.0019003677255282703,0.8352,-0.038,True,0.7972
JUND,12,0.7692,0.0034464502618274493,0.8022,-0.033,True,0.7692
JUNB,12,0.7203,0.008239768712338441,0.7143,0.006,True,0.7203
KLF10,12,0.6923,0.012593030496094107,0.6813,0.011,True,0.6923
CDKN1A,12,0.6783,0.0153173290532817,0.6868,-0.0085,True,0.6783
JUN,12,0.6294,0.02831967129576002,0.6319,-0.0025,True,0.6294
FOSL1,12,0.5564,0.060300025541073846,0.5912,-0.0348,False,0.5564
IRF1,12,0.5455,0.06661188226688902,0.5989,-0.0534,False,0.5455
CEBPD,12,0.5105,0.08991373630263913,0.6154,-0.1049,False,0.5105
NFKB1,12,0.2517,0.42991878503288405,0.3187,-0.067,False,0.2517
RELA,12,0.049,0.8799185788786749,0.2033,-0.1543,False,0.049
