subtype,group,TF,N_donors,N_cells_total,rho,p_value
CD16+ Mono,myeloid,JUNB,5,517,0.9,0.03738607346849874
CD16+ Mono,myeloid,FOS,5,517,0.8,0.10408803866182788
CD16+ Mono,myeloid,EGR1,5,517,0.7,0.1881204043741873
CD16+ Mono,myeloid,CEBPB,5,517,0.9,0.03738607346849874
CD16+ Mono,myeloid,CDKN1A,5,517,1.0,1.4042654220543672e-24
CD4+ naive TC,lymphoid,JUNB,7,1053,0.8929,0.006807187408935392
CD4+ naive TC,lymphoid,FOS,7,1053,0.7143,0.07134356146753759
CD4+ naive TC,lymphoid,EGR1,7,1053,0.8571,0.01369732661532562
CD4+ naive TC,lymphoid,CEBPB,7,1053,0.9643,0.0004541491691941689
CD4+ naive TC,lymphoid,CDKN1A,7,1053,0.8214,0.023448808345691505
CD8+ TC,lymphoid,JUNB,7,1388,0.6071,0.1482311614811614
CD8+ TC,lymphoid,FOS,7,1388,0.8929,0.006807187408935392
CD8+ TC,lymphoid,EGR1,7,1388,0.6429,0.11939237342741094
CD8+ TC,lymphoid,CEBPB,7,1388,0.9286,0.0025194724037946874
CD8+ TC,lymphoid,CDKN1A,7,1388,0.1429,0.7599453002180929
LAM MΦ,myeloid,JUNB,6,842,0.6,0.20799999999999982
LAM MΦ,myeloid,FOS,6,842,0.4857,0.3287230320699709
LAM MΦ,myeloid,EGR1,6,842,0.6571,0.15617492711370237
LAM MΦ,myeloid,CEBPB,6,842,0.9429,0.004804664723032055
LAM MΦ,myeloid,CDKN1A,6,842,0.6,0.20799999999999982
LYVE1+ M2,myeloid,JUNB,11,4585,0.8818,0.0003301688021839005
LYVE1+ M2,myeloid,FOS,11,4585,0.8182,0.0020831448404786904
LYVE1+ M2,myeloid,EGR1,11,4585,0.8818,0.0003301688021839005
LYVE1+ M2,myeloid,CEBPB,11,4585,0.9273,3.973774256558543e-05
LYVE1+ M2,myeloid,CDKN1A,11,4585,0.7455,0.00845472888506156
NK,lymphoid,JUNB,8,1573,0.3333,0.4197530864197531
NK,lymphoid,FOS,8,1573,0.5952,0.11952980613879259
NK,lymphoid,EGR1,8,1573,0.8095,0.014902667686230067
NK,lymphoid,CEBPB,8,1573,0.6905,0.057990318164572716
NK,lymphoid,CDKN1A,8,1573,0.3333,0.4197530864197531
NKT,lymphoid,JUNB,5,408,0.3,0.6238376647810728
NKT,lymphoid,FOS,5,408,0.7,0.1881204043741873
NKT,lymphoid,EGR1,5,408,0.9,0.03738607346849874
NKT,lymphoid,CEBPB,5,408,0.8,0.10408803866182788
NKT,lymphoid,CDKN1A,5,408,0.3,0.6238376647810728
