Gene,rho,pvalue,n
IGFBP5,0.47543859649122805,0.039655042807878405,19
IGFBP3,0.47017543859649114,0.04221316011458759,19
SERPINE1,0.22807017543859648,0.34767800923503955,19
IGFBP2,0.1842105263157895,0.45028518879802637,19
CCL2,0.09649122807017543,0.6943484389585837,19
CCL20,-0.343859649122807,0.1494473084091159,19
MMP3,-0.39649122807017545,0.0928337813785118,19
CXCL8,-0.4421052631578948,0.05805675416762565,19
CXCL6,-0.4456140350877193,0.05586260497614902,19
IL6,-0.4842105263157894,0.03565876603095587,19
MMP1,-0.5070175438596491,0.026719055618913898,19
CCL7,-0.736842105263158,0.00031998843680607883,19
