dataset,metric,column,mean,median,sd,n_cells
HLMA_Vascular,nUMI,nCount_RNA,3830.6016976701076,2986.48144289339,2596.834772481068,17699
HLMA_Vascular,nGene,nFeature_RNA,1696.4099666647833,1506.0,748.4984497846165,17699
HLMA_Vascular,percent_mito,percent.mt,3.272063676570286,2.99760191846523,2.3323479434235654,17699
HLMA_MuSC,nUMI,nCount_RNA,2855.521435017687,2833.5894241333,496.2042539531701,9559
HLMA_MuSC,nGene,nFeature_RNA,1881.0393346584372,1705.0,759.7058538888281,9559
HLMA_MuSC,percent_mito,percent.mt,3.517547016238951,3.3680039623576,2.7033284577743166,9559
HLMA_FAP,nUMI,nCount_RNA,4985.683582172306,3955.12516029596,3242.6403464159985,33001
HLMA_FAP,nGene,nFeature_RNA,2026.7800066664647,1836.0,815.352840908293,33001
HLMA_FAP,percent_mito,percent.mt,3.6272400315405804,3.56904603068713,2.0810235354780358,33001
NA_Endothelium,nUMI,n_counts,5485.87060546875,3799.5,4960.02294921875,8152
NA_Endothelium,nGene,n_genes,1815.1082763671875,1526.5,1075.783935546875,8152
NA_Endothelium,percent_mito,percent_mito,0.020702878013253212,0.018294036388397217,0.013098349794745445,8152
NA_FAP,nUMI,n_counts,6301.60888671875,5511.0,3924.24755859375,18227
NA_FAP,nGene,n_genes,1972.1165771484375,1865.0,851.0933837890625,18227
NA_FAP,percent_mito,percent_mito,0.02972668595612049,0.023211568593978882,0.019001418724656105,18227
