tf,n_datasets,n_positive_0.5,n_positive_0.3,n_null,n_negative,max_rho,min_rho,tier
JUNB,5,4,4,1,0,0.934,-0.014,ROBUST
JUN,5,2,3,0,0,0.869,-0.2,MODERATE
JUND,5,2,2,3,0,0.88,-0.146,MODERATE
FOS,5,3,4,1,0,0.853,-0.091,ROBUST
FOSB,5,4,4,1,0,0.881,-0.037,ROBUST
FOSL1,5,4,4,1,0,0.845,0.014,ROBUST
FOSL2,5,2,3,1,0,0.894,-0.168,MODERATE
KLF2,5,2,2,2,0,0.799,-0.266,MODERATE
KLF4,5,2,3,1,0,0.912,0.043,MODERATE
KLF6,5,2,2,2,0,0.911,-0.14,MODERATE
KLF10,5,5,5,0,0,0.902,0.531,ROBUST
ATF3,5,3,5,0,0,0.892,0.308,ROBUST
EGR1,5,4,4,1,0,0.917,-0.054,ROBUST
EGR2,5,4,5,0,0,0.883,0.406,ROBUST
IRF1,5,4,5,0,0,0.72,0.471,ROBUST
CEBPB,5,3,3,2,0,0.851,-0.14,ROBUST
CEBPD,5,2,2,1,0,0.856,-0.196,MODERATE
RELA,5,2,3,1,0,0.822,0.084,MODERATE
NFKB1,5,1,2,2,1,0.652,-0.398,DIRECTIONAL
STAT3,5,2,4,1,0,0.84,0.014,MODERATE
CDKN1A,5,3,5,0,0,0.929,0.371,ROBUST
