compartment,age_group,n_cells,n_donors,metric,mean,median,sd,min,max
Vascular,young,4280,8,nCount_RNA,3103.8905286120203,2657.206329621975,1818.8750032909338,1001.0,22270.0
Vascular,young,4280,8,nFeature_RNA,1268.561448598131,1159.0,484.4446021229485,510.0,4461.0
Vascular,young,4280,8,percent_mito,2.5543315231839023,1.90514843589732,2.5256933870398157,0.0,17.8117048346056
Vascular,old,23880,15,nCount_RNA,4034.398278204369,3178.172528785055,2714.714996857218,1000.68991998274,22461.0
Vascular,old,23880,15,nFeature_RNA,1771.0519262981575,1590.0,747.8139059339978,502.0,4553.0
Vascular,old,23880,15,percent_mito,3.719259553247567,3.450681017255175,2.5842622556120056,0.0,18.4964068546158
MuSC,young,2431,8,nCount_RNA,2671.9773399812716,2700.80173790455,482.9097458169509,1302.97095060349,3913.37075185776
MuSC,young,2431,8,nFeature_RNA,1731.978198272316,1623.0,701.311610071877,501.0,4526.0
MuSC,young,2431,8,percent_mito,3.297995698558013,3.62634610568495,2.8437098199346336,0.0,18.8260558339298
MuSC,old,7128,15,nCount_RNA,2918.119035331032,2882.649634480475,485.0580882566667,1403.5966270268,4286.24158579111
MuSC,old,7128,15,nFeature_RNA,1931.8765432098764,1736.5,772.1133396793462,571.0,4552.0
MuSC,old,7128,15,percent_mito,3.5924248576085303,3.3089639024769353,2.6498032767538806,0.0,19.6375617792422
FAP,young,3552,8,nCount_RNA,4027.9726434053678,3331.29246576027,2437.052670806663,1004.4226362911099,21038.0
FAP,young,3552,8,nFeature_RNA,1559.1444256756756,1442.0,584.5360246360635,502.0,4468.0
FAP,young,3552,8,percent_mito,2.236417970680384,1.3689685501369149,2.37615022143174,0.0,13.781996948635399
FAP,old,36837,14,nCount_RNA,5589.950964486484,4246.0,3845.3636137955505,1000.3654927773,26290.0
FAP,old,36837,14,nFeature_RNA,2162.678991231642,1939.0,887.5064868954171,532.0,4553.0
FAP,old,36837,14,percent_mito,3.595203624192746,3.43984100290475,1.9094974331986925,0.0,12.3368222980125
