dataset,tf,threshold,n_donors,rho,p,delta_rho
HLMA_Vascular,JUNB,0,23,0.92125096762891,4.530886488666682e-10,
HLMA_Vascular,JUNB,50,21,0.9282234981275013,1.3389331606330511e-09,0.006972530498591256
HLMA_Vascular,JUNB,75,19,0.9263157894736841,1.2668617852904773e-08,0.005064821844774081
HLMA_Vascular,JUNB,100,19,0.9263157894736841,1.2668617852904773e-08,0.005064821844774081
HLMA_Vascular,JUNB,150,17,0.9411764705882353,1.8275574906300595e-08,0.01992550295932527
HLMA_Vascular,CDKN1A,0,23,0.9086507241800525,2.0341782979439135e-09,
HLMA_Vascular,CDKN1A,50,21,0.9459333570428663,9.730476349417962e-11,0.03728263286281375
HLMA_Vascular,CDKN1A,75,19,0.9381308494167316,2.9873737319984213e-09,0.02948012523667909
HLMA_Vascular,CDKN1A,100,19,0.9381308494167316,2.9873737319984213e-09,0.02948012523667909
HLMA_Vascular,CDKN1A,150,17,0.9515636368557631,4.387817072168155e-09,0.04291291267571051
HLMA_MuSC,JUNB,0,23,0.9335730886463062,8.019906330773877e-11,
HLMA_MuSC,JUNB,50,15,0.907142857142857,3.0633105354938657e-06,-0.026430231503449142
HLMA_MuSC,JUNB,75,13,0.8626373626373626,0.00014744785947619764,-0.0709357260089436
HLMA_MuSC,JUNB,100,13,0.8626373626373626,0.00014744785947619764,-0.0709357260089436
HLMA_MuSC,JUNB,150,10,0.6969696969696969,0.02509667588225183,-0.23660339167660926
HLMA_MuSC,CDKN1A,0,23,0.9286561776286423,1.6605727716360202e-10,
HLMA_MuSC,CDKN1A,50,15,0.9068158606568072,3.131576673846367e-06,-0.021840316971835083
HLMA_MuSC,CDKN1A,75,13,0.9050902647638,2.100457282148633e-05,-0.02356591286484233
HLMA_MuSC,CDKN1A,100,13,0.9050902647638,2.100457282148633e-05,-0.02356591286484233
HLMA_MuSC,CDKN1A,150,10,0.8303030303030302,0.0029402270232795065,-0.09835314732561207
HLMA_FAP,JUNB,0,22,-0.014116318464144554,0.9502846499817856,
HLMA_FAP,JUNB,50,16,0.22647058823529412,0.3989829266412891,0.24058690669943866
HLMA_FAP,JUNB,75,14,0.3934065934065934,0.16403157340077784,0.40752291187073797
HLMA_FAP,JUNB,100,14,0.3934065934065934,0.16403157340077784,0.40752291187073797
HLMA_FAP,JUNB,150,14,0.3934065934065934,0.16403157340077784,0.40752291187073797
HLMA_FAP,CDKN1A,0,22,0.48277809147374373,0.02285806342926678,
HLMA_FAP,CDKN1A,50,16,0.4676470588235294,0.06776085019015395,-0.015131032650214316
HLMA_FAP,CDKN1A,75,14,0.5736263736263736,0.03197081397639698,0.09084828215262986
HLMA_FAP,CDKN1A,100,14,0.5736263736263736,0.03197081397639698,0.09084828215262986
HLMA_FAP,CDKN1A,150,14,0.5736263736263736,0.03197081397639698,0.09084828215262986
NA_FAP,JUNB,0,21,0.5649350649350648,0.007621096436507048,
NA_FAP,JUNB,50,21,0.5649350649350648,0.007621096436507048,0.0
NA_FAP,JUNB,75,21,0.5649350649350648,0.007621096436507048,0.0
NA_FAP,JUNB,100,21,0.5649350649350648,0.007621096436507048,0.0
NA_FAP,JUNB,150,21,0.5649350649350648,0.007621096436507048,0.0
NA_FAP,CDKN1A,0,21,0.43766233766233764,0.04723354571412934,
NA_FAP,CDKN1A,50,21,0.43766233766233764,0.04723354571412934,0.0
NA_FAP,CDKN1A,75,21,0.43766233766233764,0.04723354571412934,0.0
NA_FAP,CDKN1A,100,21,0.43766233766233764,0.04723354571412934,0.0
NA_FAP,CDKN1A,150,21,0.43766233766233764,0.04723354571412934,0.0
