compartment,tf,threshold,n_donors,rho,p,ci_lo,ci_hi,n_china,n_spain,frac_china,n_young,n_old
Vascular,JUNB,1,23,0.8286305746468636,1.041511894222086e-06,0.6324453562994808,0.9249166909969372,14,9,0.6086956521739131,8,15
Vascular,CDKN1A,1,23,0.9364564294008628,5.097930280207912e-11,0.8538451480563473,0.973052001224644,14,9,0.6086956521739131,8,15
Vascular,JUNB,10,23,0.8286305746468636,1.041511894222086e-06,0.6324453562994808,0.9249166909969372,14,9,0.6086956521739131,8,15
Vascular,CDKN1A,10,23,0.9364564294008628,5.097930280207912e-11,0.8538451480563473,0.973052001224644,14,9,0.6086956521739131,8,15
Vascular,JUNB,50,21,0.8911984880552357,6.007512451995505e-08,0.746828040900123,0.9553466595540576,13,8,0.6190476190476191,7,14
Vascular,CDKN1A,50,21,0.933555441213793,6.568434279029065e-10,0.840653522324606,0.9730858208206202,13,8,0.6190476190476191,7,14
Vascular,JUNB,100,19,0.9017543859649122,1.3415325024737029e-07,0.7580142813478365,0.961960017776969,13,6,0.6842105263157895,6,13
Vascular,CDKN1A,100,19,0.9337429595691323,5.268217636881724e-09,0.8326868261309914,0.974607499062686,13,6,0.6842105263157895,6,13
Vascular,JUNB,200,15,0.8642857142857141,3.243373143346797e-05,0.6316985062932543,0.9541209864112115,11,4,0.7333333333333333,3,12
Vascular,CDKN1A,200,15,0.9214285714285713,1.0713172981620745e-06,0.7749509280127754,0.9739666684377581,11,4,0.7333333333333333,3,12
MuSC,JUNB,1,23,0.807694706020944,3.1663333558747547e-06,0.592878004255495,0.9151984037143257,14,9,0.6086956521739131,8,15
MuSC,CDKN1A,1,23,0.798743491269497,4.8936811324971075e-06,0.5762715427587117,0.9110048007899254,14,9,0.6086956521739131,8,15
MuSC,JUNB,10,20,0.7743451359764518,6.139606789678362e-05,0.5047950847766819,0.9063087863497171,13,7,0.65,6,14
MuSC,CDKN1A,10,20,0.7909274506443517,3.298315750015471e-05,0.5360055462558341,0.9136655595119164,13,7,0.65,6,14
MuSC,JUNB,50,15,0.8214285714285712,0.00017314771750717042,0.5337615016066554,0.9387000693146738,11,4,0.7333333333333333,5,10
MuSC,CDKN1A,50,15,0.8172095503152255,0.00019935872635827128,0.5245201389749906,0.9371561687271237,11,4,0.7333333333333333,5,10
MuSC,JUNB,100,13,0.8186813186813187,0.0006209883849300375,0.4876701917597891,0.9438949793107514,11,2,0.8461538461538461,4,9
MuSC,CDKN1A,100,13,0.8830819908485709,6.331138703930065e-05,0.6468071233419137,0.9646858879945199,11,2,0.8461538461538461,4,9
FAP,JUNB,1,22,0.36984754376058726,0.09023504043384371,-0.06133129130549743,0.6846958579214143,14,8,0.6363636363636364,8,14
FAP,CDKN1A,1,22,0.8023715415019763,7.050194126781894e-06,0.575414444806901,0.9145886829050343,14,8,0.6363636363636364,8,14
FAP,CEBPB,1,22,0.7165443252399775,0.0001757934507563794,0.42259868692114405,0.8740913249741935,14,8,0.6363636363636364,8,14
FAP,KLF10,1,22,0.6758893280632412,0.000555137220115529,0.355610806956826,0.8541122616400144,14,8,0.6363636363636364,8,14
FAP,JUNB,10,18,0.35397316821465424,0.14955138885906258,-0.1352570325742582,0.7044342616035703,14,4,0.7777777777777778,6,12
FAP,CDKN1A,10,18,0.7585139318885449,0.00026364612959071276,0.4515427682081631,0.9049268452250717,14,4,0.7777777777777778,6,12
FAP,CEBPB,10,18,0.7337461300309597,0.0005283926713947288,0.4059269567437854,0.8942729031385056,14,4,0.7777777777777778,6,12
FAP,KLF10,10,18,0.6491228070175438,0.003558373943300945,0.26149403521302544,0.8564452326581763,14,4,0.7777777777777778,6,12
FAP,JUNB,50,16,0.21764705882352942,0.41808684161130294,-0.3116946841136864,0.6438903097181469,14,2,0.875,6,10
FAP,CDKN1A,50,16,0.7588235294117647,0.0006540302361647908,0.421758894143625,0.9116219650163632,14,2,0.875,6,10
FAP,CEBPB,50,16,0.6911764705882353,0.0030247187950434044,0.2973396107285763,0.8840065355179062,14,2,0.875,6,10
FAP,KLF10,50,16,0.6823529411764706,0.0035879704117567223,0.28204064367395354,0.8803024919560909,14,2,0.875,6,10
FAP,JUNB,100,14,0.12087912087912088,0.6806070200628929,-0.43778646199354887,0.6122016903538169,14,0,1.0,5,9
FAP,CDKN1A,100,14,0.7934065934065934,0.0007075341356182061,0.4538969555658559,0.9317526282657104,14,0,1.0,5,9
FAP,CEBPB,100,14,0.6615384615384616,0.009975179240423711,0.20177495494371914,0.8823999382999053,14,0,1.0,5,9
FAP,KLF10,100,14,0.7054945054945055,0.004819557979048519,0.2795502459801572,0.8994091831612889,14,0,1.0,5,9
FAP,JUNB,200,13,0.1868131868131868,0.5411235235098939,-0.4059674096547799,0.668949567090005,13,0,1.0,4,9
FAP,CDKN1A,200,13,0.7802197802197801,0.001652500657442955,0.40207834736277587,0.9309860169752017,13,0,1.0,4,9
FAP,CEBPB,200,13,0.6648351648351648,0.013165575845550252,0.17965199047505273,0.8898564652321796,13,0,1.0,4,9
FAP,KLF10,200,13,0.7692307692307693,0.0021122295993498776,0.3787800179060706,0.9272271624214198,13,0,1.0,4,9
FAP,JUNB,500,11,0.20909090909090913,0.5372209352113229,-0.44683936983186184,0.7188132449961887,11,0,1.0,3,8
FAP,CDKN1A,500,11,0.8000000000000002,0.0031104283103858483,0.3847709064737449,0.9459267424553179,11,0,1.0,3,8
FAP,CEBPB,500,11,0.8000000000000002,0.0031104283103858483,0.3847709064737449,0.9459267424553179,11,0,1.0,3,8
FAP,KLF10,500,11,0.8000000000000002,0.0031104283103858483,0.3847709064737449,0.9459267424553179,11,0,1.0,3,8
