TF,compartment,N,raw_rho,p_raw,partial_rho,p_partial,delta,raw_sig,partial_sig,abs_delta
EGR1,FAP,22,0.0435,0.8476501356797841,-0.0367,0.8711837997313935,-0.0802,False,False,0.0802
CEBPB,FAP,22,0.8227,2.6062512706429226e-06,0.8882,3.4457772727483276e-08,0.0655,True,True,0.0655
JUNB,FAP,22,0.083,0.7134458318122271,0.0322,0.8869328238311864,-0.0508,False,False,0.0508
FOS,FAP,22,-0.1067,0.6364319056668153,-0.153,0.4965948556350872,-0.0463,False,False,0.0463
CDKN1A,FAP,22,0.5381,0.00978453856522305,0.5099,0.015342627496744856,-0.0282,True,True,0.0282
KLF10,FAP,22,0.904,8.026046409607056e-09,0.9187,1.624556477811128e-09,0.0147,True,True,0.0147
EGR1,Vascular,23,0.9096,1.8217561298117337e-09,0.8913,1.167055298446974e-08,-0.0183,True,True,0.0183
JUNB,Vascular,23,0.9267,2.1870209044049935e-10,0.9121,1.3862822602287868e-09,-0.0146,True,True,0.0146
FOS,Vascular,23,0.8483,3.178091847027819e-07,0.8399,5.367168712483917e-07,-0.0084,True,True,0.0084
CDKN1A,Vascular,23,0.9302,1.3354617813127565e-10,0.9377,4.133520162074528e-11,0.0076,True,True,0.0076
KLF10,Vascular,23,0.8547,2.0726049147358665e-07,0.8508,2.6977559195331056e-07,-0.004,True,True,0.004
CEBPB,Vascular,23,0.8928,1.0195594740516589e-08,0.8893,1.3975049546636897e-08,-0.0034,True,True,0.0034
