TF,pooled_rho,pooled_ci_low,pooled_ci_high,pooled_p,Q_statistic,Q_p,I_squared,n_datasets,individual_rhos,datasets
KLF10,0.813,0.722,0.876,0.0,5.497,0.24,27.2,5,"[np.float64(0.829), np.float64(0.902), np.float64(0.784), np.float64(0.531), np.float64(0.748)]","['HLMA/Vascular', 'HLMA/MuSC', 'HLMA/FAP', 'NA/Endothelium', 'NA/FAP']"
CDKN1A,0.792,0.692,0.862,0.0,23.015,0.0001,82.6,5,"[np.float64(0.913), np.float64(0.929), np.float64(0.483), np.float64(0.538), np.float64(0.371)]","['HLMA/Vascular', 'HLMA/MuSC', 'HLMA/FAP', 'NA/Endothelium', 'NA/FAP']"
JUNB,0.78,0.677,0.854,0.0,38.504,0.0,89.6,5,"[np.float64(0.929), np.float64(0.934), np.float64(-0.014), np.float64(0.72), np.float64(0.573)]","['HLMA/Vascular', 'HLMA/MuSC', 'HLMA/FAP', 'NA/Endothelium', 'NA/FAP']"
EGR2,0.775,0.669,0.85,0.0,7.953,0.0933,49.7,5,"[np.float64(0.883), np.float64(0.8), np.float64(0.799), np.float64(0.51), np.float64(0.406)]","['HLMA/Vascular', 'HLMA/MuSC', 'HLMA/FAP', 'NA/Endothelium', 'NA/FAP']"
EGR1,0.75,0.635,0.832,0.0,33.691,0.0,88.1,5,"[np.float64(0.908), np.float64(0.917), np.float64(-0.054), np.float64(0.643), np.float64(0.671)]","['HLMA/Vascular', 'HLMA/MuSC', 'HLMA/FAP', 'NA/Endothelium', 'NA/FAP']"
ATF3,0.704,0.573,0.8,1.554312234475219e-14,14.685,0.0054,72.8,5,"[np.float64(0.892), np.float64(0.803), np.float64(0.308), np.float64(0.566), np.float64(0.49)]","['HLMA/Vascular', 'HLMA/MuSC', 'HLMA/FAP', 'NA/Endothelium', 'NA/FAP']"
CEBPB,0.691,0.556,0.791,8.304468224196171e-14,23.289,0.0001,82.8,5,"[np.float64(0.797), np.float64(0.851), np.float64(0.802), np.float64(-0.14), np.float64(-0.133)]","['HLMA/Vascular', 'HLMA/MuSC', 'HLMA/FAP', 'NA/Endothelium', 'NA/FAP']"
FOSB,0.69,0.554,0.79,1.0413891970983968e-13,26.811,0.0,85.1,5,"[np.float64(0.877), np.float64(0.881), np.float64(-0.037), np.float64(0.545), np.float64(0.552)]","['HLMA/Vascular', 'HLMA/MuSC', 'HLMA/FAP', 'NA/Endothelium', 'NA/FAP']"
FOSL2,0.656,0.51,0.766,5.275557768413819e-12,33.433,0.0,88.0,5,"[np.float64(0.875), np.float64(0.894), np.float64(0.078), np.float64(0.476), np.float64(-0.168)]","['HLMA/Vascular', 'HLMA/MuSC', 'HLMA/FAP', 'NA/Endothelium', 'NA/FAP']"
KLF4,0.653,0.506,0.763,7.509104449354709e-12,29.813,0.0,86.6,5,"[np.float64(0.828), np.float64(0.912), np.float64(0.043), np.float64(0.308), np.float64(0.217)]","['HLMA/Vascular', 'HLMA/MuSC', 'HLMA/FAP', 'NA/Endothelium', 'NA/FAP']"
IRF1,0.646,0.497,0.758,1.524469439573295e-11,1.8,0.7724,0.0,5,"[np.float64(0.71), np.float64(0.683), np.float64(0.471), np.float64(0.643), np.float64(0.72)]","['HLMA/Vascular', 'HLMA/MuSC', 'HLMA/FAP', 'NA/Endothelium', 'NA/FAP']"
FOS,0.644,0.494,0.756,1.989053366457938e-11,24.539,0.0001,83.7,5,"[np.float64(0.853), np.float64(0.849), np.float64(-0.091), np.float64(0.566), np.float64(0.455)]","['HLMA/Vascular', 'HLMA/MuSC', 'HLMA/FAP', 'NA/Endothelium', 'NA/FAP']"
FOSL1,0.641,0.491,0.755,2.51838550013872e-11,11.613,0.0205,65.6,5,"[np.float64(0.845), np.float64(0.553), np.float64(0.53), np.float64(0.804), np.float64(0.014)]","['HLMA/Vascular', 'HLMA/MuSC', 'HLMA/FAP', 'NA/Endothelium', 'NA/FAP']"
RELA,0.622,0.466,0.741,1.6391732415854676e-10,14.312,0.0064,72.1,5,"[np.float64(0.797), np.float64(0.822), np.float64(0.43), np.float64(0.084), np.float64(0.168)]","['HLMA/Vascular', 'HLMA/MuSC', 'HLMA/FAP', 'NA/Endothelium', 'NA/FAP']"
JUND,0.577,0.41,0.707,7.588223160936991e-09,39.856,0.0,90.0,5,"[np.float64(0.867), np.float64(0.88), np.float64(-0.146), np.float64(0.035), np.float64(-0.084)]","['HLMA/Vascular', 'HLMA/MuSC', 'HLMA/FAP', 'NA/Endothelium', 'NA/FAP']"
KLF6,0.561,0.389,0.695,2.6864900748435616e-08,29.747,0.0,86.6,5,"[np.float64(0.666), np.float64(0.911), np.float64(0.067), np.float64(-0.14), np.float64(0.224)]","['HLMA/Vascular', 'HLMA/MuSC', 'HLMA/FAP', 'NA/Endothelium', 'NA/FAP']"
JUN,0.56,0.388,0.694,2.8924228345772462e-08,27.045,0.0,85.2,5,"[np.float64(0.752), np.float64(0.869), np.float64(-0.2), np.float64(0.217), np.float64(0.455)]","['HLMA/Vascular', 'HLMA/MuSC', 'HLMA/FAP', 'NA/Endothelium', 'NA/FAP']"
STAT3,0.557,0.385,0.692,3.444401963648147e-08,15.362,0.004,74.0,5,"[np.float64(0.653), np.float64(0.84), np.float64(0.014), np.float64(0.49), np.float64(0.35)]","['HLMA/Vascular', 'HLMA/MuSC', 'HLMA/FAP', 'NA/Endothelium', 'NA/FAP']"
CEBPD,0.539,0.363,0.679,1.2003334237675745e-07,27.852,0.0,85.6,5,"[np.float64(0.786), np.float64(0.856), np.float64(-0.014), np.float64(0.189), np.float64(-0.196)]","['HLMA/Vascular', 'HLMA/MuSC', 'HLMA/FAP', 'NA/Endothelium', 'NA/FAP']"
KLF2,0.447,0.252,0.607,2.405183915454856e-05,22.79,0.0001,82.4,5,"[np.float64(0.711), np.float64(0.799), np.float64(-0.053), np.float64(-0.266), np.float64(0.091)]","['HLMA/Vascular', 'HLMA/MuSC', 'HLMA/FAP', 'NA/Endothelium', 'NA/FAP']"
NFKB1,0.211,-0.01,0.411,0.06068291308659868,15.965,0.0031,74.9,5,"[np.float64(0.404), np.float64(0.652), np.float64(-0.398), np.float64(0.147), np.float64(-0.112)]","['HLMA/Vascular', 'HLMA/MuSC', 'HLMA/FAP', 'NA/Endothelium', 'NA/FAP']"
