TF,positive_votes,negative_votes,null_votes,n_datasets,tier,rhos
CDKN1A,5,0,0,5,ROBUST,"[0.913, 0.929, 0.483, 0.538, 0.371]"
EGR2,5,0,0,5,ROBUST,"[0.883, 0.8, 0.799, 0.51, 0.406]"
IRF1,5,0,0,5,ROBUST,"[0.71, 0.683, 0.471, 0.643, 0.72]"
KLF10,5,0,0,5,ROBUST,"[0.829, 0.902, 0.784, 0.531, 0.748]"
ATF3,5,0,0,5,ROBUST,"[0.892, 0.803, 0.308, 0.566, 0.49]"
JUNB,4,0,1,5,ROBUST,"[0.929, 0.934, -0.014, 0.72, 0.573]"
STAT3,4,0,1,5,ROBUST,"[0.653, 0.84, 0.014, 0.49, 0.35]"
FOS,4,0,1,5,ROBUST,"[0.853, 0.849, -0.091, 0.566, 0.455]"
FOSB,4,0,1,5,ROBUST,"[0.877, 0.881, -0.037, 0.545, 0.552]"
FOSL1,4,0,1,5,ROBUST,"[0.845, 0.553, 0.53, 0.804, 0.014]"
EGR1,4,0,1,5,ROBUST,"[0.908, 0.917, -0.054, 0.643, 0.671]"
RELA,3,0,2,5,ROBUST,"[0.797, 0.822, 0.43, 0.084, 0.168]"
JUN,3,0,2,5,ROBUST,"[0.752, 0.869, -0.2, 0.217, 0.455]"
KLF4,3,0,2,5,ROBUST,"[0.828, 0.912, 0.043, 0.308, 0.217]"
CEBPB,3,0,2,5,ROBUST,"[0.797, 0.851, 0.802, -0.14, -0.133]"
FOSL2,3,0,2,5,ROBUST,"[0.875, 0.894, 0.078, 0.476, -0.168]"
JUND,2,0,3,5,HETEROGENEOUS,"[0.867, 0.88, -0.146, 0.035, -0.084]"
KLF6,2,0,3,5,HETEROGENEOUS,"[0.666, 0.911, 0.067, -0.14, 0.224]"
KLF2,2,0,3,5,HETEROGENEOUS,"[0.711, 0.799, -0.053, -0.266, 0.091]"
CEBPD,2,0,3,5,HETEROGENEOUS,"[0.786, 0.856, -0.014, 0.189, -0.196]"
NFKB1,2,1,2,5,HETEROGENEOUS,"[0.404, 0.652, -0.398, 0.147, -0.112]"
