dataset,compartment,stratum,age_group,metric,n_donor,point,ci_lo,ci_hi,n_young,n_old,power_at_d_observed,mannwhitney_p
HLMA,FAP,pooled,young,mean_SASP,6,-0.0451384591241255,-0.07994677867699153,-0.02261042637318159,,,,
HLMA,FAP,pooled,young,SASP_high_fraction,6,0.2300191665751,0.1776922829737709,0.2821552965360164,,,,
HLMA,FAP,pooled,young,senescence_score,6,0.01440508696371022,-0.011382081551501338,0.045734962558445426,,,,
HLMA,FAP,pooled,young,fibrotic_score,6,-0.08874868300288863,-0.31567961380660453,0.07406231871753721,,,,
HLMA,FAP,pooled,young,total_load_caveat,6,-23.15528509885885,-35.73421149443332,-10.576358703284379,,,,
HLMA,FAP,pooled,old,mean_SASP,10,-0.026103147444340336,-0.06731175404013261,0.01502990343692704,,,,
HLMA,FAP,pooled,old,SASP_high_fraction,10,0.3273163250807931,0.24745873356776624,0.4085086375978031,,,,
HLMA,FAP,pooled,old,senescence_score,10,0.003574043452314029,-0.029387162143048012,0.03419597195016637,,,,
HLMA,FAP,pooled,old,fibrotic_score,10,-0.19283661904265634,-0.30331434958445613,-0.0834384690699783,,,,
HLMA,FAP,pooled,old,total_load_caveat,10,-60.26563979697128,-262.6695032465887,118.96837907335136,,,,
HLMA,FAP,pooled,old_vs_young_effect,mean_SASP,16,0.29943130726632816,-0.6212877183071001,1.2670548363216367,6.0,10.0,0.08415629104793702,0.9577922077922078
HLMA,FAP,pooled,old_vs_young_effect,SASP_high_fraction,16,0.8009441328054657,0.06990078272588465,1.889801016310475,6.0,10.0,0.3037566107094733,0.2197802197802198
HLMA,FAP,pooled,old_vs_young_effect,senescence_score,16,-0.2115158180489398,-1.064845806730053,0.9594377218727026,6.0,10.0,0.06690164616890447,0.8748751248751249
HLMA,FAP,pooled,old_vs_young_effect,fibrotic_score,16,-0.4531302784316964,-2.215026606259729,0.6157481061464285,6.0,10.0,0.12957344913132926,0.2197802197802198
HLMA,FAP,within_tech_scRNA,young,mean_SASP,1,-0.0235216682303853,-0.0235216682303853,-0.0235216682303853,,,,
HLMA,FAP,within_tech_scRNA,young,SASP_high_fraction,1,0.3259318001586043,0.3259318001586043,0.3259318001586043,,,,
HLMA,FAP,within_tech_scRNA,young,senescence_score,1,0.001560684614684279,0.001560684614684279,0.001560684614684279,,,,
HLMA,FAP,within_tech_scRNA,young,fibrotic_score,1,0.057466675272383014,0.057466675272383014,0.057466675272383014,,,,
HLMA,FAP,within_tech_scRNA,young,total_load_caveat,1,-29.660823638515865,-29.660823638515865,-29.660823638515865,,,,
HLMA,FAP,within_tech_snRNA,young,mean_SASP,5,-0.04946181730287354,-0.08891481193934918,-0.022447218800322393,,,,
HLMA,FAP,within_tech_snRNA,young,SASP_high_fraction,5,0.21083663985839912,0.16960986850056237,0.2547338315645432,,,,
HLMA,FAP,within_tech_snRNA,young,senescence_score,5,0.016973967433515407,-0.01397063478473846,0.054569818147197656,,,,
HLMA,FAP,within_tech_snRNA,young,fibrotic_score,5,-0.11799175465794295,-0.38497855696183014,0.07680656267281796,,,,
HLMA,FAP,within_tech_snRNA,young,total_load_caveat,5,-21.854177390927447,-36.94888906561681,-6.75946571623808,,,,
HLMA,FAP,within_tech_snRNA,old,mean_SASP,10,-0.026103147444340336,-0.06731175404013261,0.01502990343692704,,,,
HLMA,FAP,within_tech_snRNA,old,SASP_high_fraction,10,0.3273163250807931,0.24745873356776624,0.4085086375978031,,,,
HLMA,FAP,within_tech_snRNA,old,senescence_score,10,0.003574043452314029,-0.029387162143048012,0.03419597195016637,,,,
HLMA,FAP,within_tech_snRNA,old,fibrotic_score,10,-0.19283661904265634,-0.30331434958445613,-0.0834384690699783,,,,
HLMA,FAP,within_tech_snRNA,old,total_load_caveat,10,-60.26563979697128,-262.6695032465887,118.96837907335136,,,,
HLMA,FAP,within_tech_snRNA,old_vs_young_effect,mean_SASP,15,0.3558408690888454,-0.629704193871717,1.3897256047674453,5.0,10.0,0.09257616922282264,0.8591408591408591
HLMA,FAP,within_tech_snRNA,old_vs_young_effect,SASP_high_fraction,15,0.9496951444544236,0.21917615682371067,2.1543691921695896,5.0,10.0,0.3619830228003028,0.1645021645021645
HLMA,FAP,within_tech_snRNA,old_vs_young_effect,senescence_score,15,-0.2528464009958723,-1.1767653014041097,0.8945590726351882,5.0,10.0,0.07128789980410961,1.0
HLMA,FAP,within_tech_snRNA,old_vs_young_effect,fibrotic_score,15,-0.31957116215443265,-2.182160461341021,0.959058400346023,5.0,10.0,0.08421464260638525,0.37096237096237095
HLMA,FAP,within_country_China,young,mean_SASP,5,-0.05200356259878549,-0.08798439154781439,-0.027699497840418502,,,,
HLMA,FAP,within_country_China,young,SASP_high_fraction,5,0.2183958812460522,0.16848132793164874,0.27508883569458026,,,,
HLMA,FAP,within_country_China,young,senescence_score,5,0.0014992599296656272,-0.019829971371556274,0.02352103740359975,,,,
HLMA,FAP,within_country_China,young,fibrotic_score,5,0.023574852129325995,-0.06170606989536739,0.10619383567983509,,,,
HLMA,FAP,within_country_China,young,total_load_caveat,5,-27.658749405970877,-38.78180268798305,-14.456116347711475,,,,
HLMA,FAP,within_country_China,old,mean_SASP,9,-0.02504382265164974,-0.0725219173760382,0.01985762184605014,,,,
HLMA,FAP,within_country_China,old,SASP_high_fraction,9,0.33111775583689657,0.24118167934954868,0.41711641580727915,,,,
HLMA,FAP,within_country_China,old,senescence_score,9,0.0031927941515833107,-0.036388703553364626,0.03762397361180718,,,,
HLMA,FAP,within_country_China,old,fibrotic_score,9,-0.1869078019637253,-0.31213229030268486,-0.06162252080956827,,,,
HLMA,FAP,within_country_China,old,total_load_caveat,9,-66.7321608751285,-315.2714669283445,123.6122139761348,,,,
HLMA,FAP,within_country_China,old_vs_young_effect,mean_SASP,14,0.39799062410848685,-0.5631162376300941,1.5106614779821317,5.0,9.0,0.10088730140976765,0.7972027972027972
HLMA,FAP,within_country_China,old_vs_young_effect,SASP_high_fraction,14,0.8704384372596967,0.01765103622639778,2.227545897116741,5.0,9.0,0.30076770874048464,0.23976023976023977
HLMA,FAP,within_country_China,old_vs_young_effect,senescence_score,14,0.03294997382897935,-0.8399471757188716,1.5993743073315698,5.0,9.0,0.050340426297611096,0.5184815184815185
HLMA,FAP,within_country_China,old_vs_young_effect,fibrotic_score,14,-1.2202082665463574,-2.4917519779529256,-0.3901350732042359,5.0,9.0,0.5205658845399816,0.05994005994005994
HLMA,FAP,within_country_Spain,young,mean_SASP,1,-0.010812941750825554,-0.010812941750825554,-0.010812941750825554,,,,
HLMA,FAP,within_country_Spain,young,SASP_high_fraction,1,0.288135593220339,0.288135593220339,0.288135593220339,,,,
HLMA,FAP,within_country_Spain,young,senescence_score,1,0.07893422213393317,0.07893422213393317,0.07893422213393317,,,,
HLMA,FAP,within_country_Spain,young,fibrotic_score,1,-0.6503663586639618,-0.6503663586639618,-0.6503663586639618,,,,
HLMA,FAP,within_country_Spain,young,total_load_caveat,1,-0.6379635632987077,-0.6379635632987077,-0.6379635632987077,,,,
HLMA,FAP,within_country_Spain,old,mean_SASP,1,-0.035637070578555655,-0.035637070578555655,-0.035637070578555655,,,,
HLMA,FAP,within_country_Spain,old,SASP_high_fraction,1,0.29310344827586204,0.29310344827586204,0.29310344827586204,,,,
HLMA,FAP,within_country_Spain,old,senescence_score,1,0.007005287158890494,0.007005287158890494,0.007005287158890494,,,,
HLMA,FAP,within_country_Spain,old,fibrotic_score,1,-0.24619597275303573,-0.24619597275303573,-0.24619597275303573,,,,
HLMA,FAP,within_country_Spain,old,total_load_caveat,1,-2.066950093556228,-2.066950093556228,-2.066950093556228,,,,
HLMA,Immune,pooled,young,mean_SASP,4,-0.014924576352235312,-0.09397464953568271,0.10974030368618495,,,,
HLMA,Immune,pooled,young,SASP_high_fraction,4,0.3295235353321677,0.17931553153331845,0.6106229497221665,,,,
HLMA,Immune,pooled,young,senescence_score,4,-0.027435111000769986,-0.034310130939561354,-0.01641005089344023,,,,
HLMA,Immune,pooled,young,total_load_caveat,4,-21.299497728065717,-105.1470253288054,46.6040682359093,,,,
HLMA,Immune,pooled,old,mean_SASP,10,0.05622910141325434,-0.034612974500562894,0.17704190589736796,,,,
HLMA,Immune,pooled,old,SASP_high_fraction,10,0.46788635676456086,0.34083921880630863,0.6126451672418017,,,,
HLMA,Immune,pooled,old,senescence_score,10,-0.022193254207676656,-0.035239089433713226,-0.009135038945269482,,,,
HLMA,Immune,pooled,old,total_load_caveat,10,151.54013157558163,-58.774561046884074,504.29143053715717,,,,
HLMA,Immune,pooled,old_vs_young_effect,mean_SASP,14,0.43202938676096453,-0.9852674458852714,1.4162476302856093,4.0,10.0,0.10335193134416552,0.2397602397602398
HLMA,Immune,pooled,old_vs_young_effect,SASP_high_fraction,14,0.5746377799120133,-0.8007600241297314,2.099673460822215,4.0,10.0,0.14567037627347298,0.14185814185814188
HLMA,Immune,pooled,old_vs_young_effect,senescence_score,14,0.26502146246579567,-0.6320313601039943,1.443460309424439,4.0,10.0,0.06978293749023896,0.5394605394605395
HLMA,Immune,within_tech_scRNA,young,mean_SASP,1,0.16631398709677322,0.16631398709677322,0.16631398709677322,,,,
HLMA,Immune,within_tech_scRNA,young,SASP_high_fraction,1,0.741514360313316,0.741514360313316,0.741514360313316,,,,
HLMA,Immune,within_tech_scRNA,young,senescence_score,1,-0.012260010724901845,-0.012260010724901845,-0.012260010724901845,,,,
HLMA,Immune,within_tech_scRNA,young,total_load_caveat,1,63.698257058064144,63.698257058064144,63.698257058064144,,,,
HLMA,Immune,within_tech_snRNA,young,mean_SASP,3,-0.07533743083523815,-0.10530595053238367,-0.05998074654557983,,,,
HLMA,Immune,within_tech_snRNA,young,SASP_high_fraction,3,0.19219326033845163,0.16995181778361804,0.21794871794871795,,,,
HLMA,Immune,within_tech_snRNA,young,senescence_score,3,-0.0324934777593927,-0.03606102493574034,-0.02886017139905538,,,,
