compartment_ontology,compartment_short,TF,n_pseudobulks,mean_cells_per_pb,rho_spearman,p_value_descriptive,CI95_lo_fisher_z,CI95_hi_fisher_z,direction_observed,direction_expected_human,match_with_human
endothelial cell,EC,Junb,16,430.875,0.06470588235294117,0.8118214513105935,-0.44528188658224643,0.5429946318026504,~0,+,False
endothelial cell,EC,Fos,16,430.875,-0.5205882352941177,0.03869090714064999,-0.8078270413402339,-0.03353755096845747,-,+,False
endothelial cell,EC,Fosb,16,430.875,-0.10882352941176471,0.688288293957414,-0.5735870480501877,0.40894192884570085,-,+,False
endothelial cell,EC,Jund,16,430.875,0.09117647058823529,0.7370049501736589,-0.42367767614089247,0.5615037069196928,~0,+,False
endothelial cell,EC,Fosl1,16,430.875,0.4970588235294117,0.05013355780377417,0.0017960246834043308,0.7965086396256442,+,+,True
mesenchymal stem cell,FAP_equivalent,Junb,16,814.8125,0.5323529411764706,0.033768622960234626,0.049785522308536084,0.8134079043412891,+,-,False
mesenchymal stem cell,FAP_equivalent,Fos,16,814.8125,0.1764705882352941,0.5132505967364668,-0.34983763195268186,0.6181056371101086,+,-,False
mesenchymal stem cell,FAP_equivalent,Fosb,16,814.8125,-0.38823529411764707,0.13728162367278124,-0.7412808907765809,0.13308163733747652,-,-,True
mesenchymal stem cell,FAP_equivalent,Jund,16,814.8125,-0.5617647058823529,0.023537016474280824,-0.8271373088151944,-0.09155454932852462,-,-,True
mesenchymal stem cell,FAP_equivalent,Fosl1,16,814.8125,0.2676470588235294,0.3162544185483094,-0.26294414135506533,0.6739382550187892,+,-,False
skeletal muscle satellite cell,MuSC,Junb,15,134.06666666666666,0.8142857142857142,0.000219365827727102,0.518163565887721,0.9360821765062555,+,+,True
skeletal muscle satellite cell,MuSC,Fos,15,134.06666666666666,0.532142857142857,0.041158580386934415,0.027330123159882234,0.8206884741166167,+,+,True
skeletal muscle satellite cell,MuSC,Fosb,15,134.06666666666666,0.42142857142857143,0.11769939585541649,-0.11584263529140537,0.7679127274840206,+,+,True
skeletal muscle satellite cell,MuSC,Jund,15,134.06666666666666,0.6357142857142856,0.0108607461687898,0.18306807418201138,0.8659711824849742,+,+,True
skeletal muscle satellite cell,MuSC,Fosl1,15,134.06666666666666,0.2571428571428571,0.35486036365060913,-0.2938238551579993,0.6798523349338683,+,+,True
smooth muscle cell,SMC,Junb,12,84.0,0.1958041958041958,0.5419358857313175,-0.4259639939139543,0.6919497923147642,+,,
smooth muscle cell,SMC,Fos,12,84.0,-0.02097902097902098,0.9484022252365223,-0.5878035455716601,0.5596608534187257,~0,,
smooth muscle cell,SMC,Fosb,12,84.0,-0.1188811188811189,0.712884219214772,-0.6485356964321006,0.4883378700578442,-,,
smooth muscle cell,SMC,Jund,12,84.0,-0.23076923076923078,0.470531995381542,-0.7105645118548908,0.39551376890110346,-,,
smooth muscle cell,SMC,Fosl1,12,84.0,-0.08391608391608392,0.7954145018538977,-0.62759308394543,0.514776974029081,~0,,
macrophage,Macrophage,Junb,14,172.28571428571428,0.5780219780219781,0.030383014145236965,0.06842861602708358,0.8484065490894386,+,-,False
macrophage,Macrophage,Fos,14,172.28571428571428,0.059340659340659345,0.8403017626906826,-0.48655809436995845,0.5719135010126495,~0,-,True
macrophage,Macrophage,Fosb,14,172.28571428571428,0.9252747252747253,2.1365703496108153e-06,0.7753287779837622,0.9764727162196283,+,-,False
macrophage,Macrophage,Jund,14,172.28571428571428,0.6043956043956044,0.022056861754616085,0.10866173981557722,0.8593869646183597,+,-,False
macrophage,Macrophage,Fosl1,14,172.28571428571428,0.7846153846153847,0.0008900739749078555,0.4352171455765152,0.9286126574112462,+,-,False
