tf,ensg,trait,efo,query_shape,evidence_count,overall_score,overall_score_source,genetic_association_score,rna_expression_score,literature_score,affected_pathway_score,n_coloc_h4_gt_0.8_muscle,muscle_eqtl_credible_set_ids,fetch_seconds
JUNB,ENSG00000171223,sarcopenia,EFO_1000653,full,0,,not_in_top50,,,,,0,,0.16
JUNB,ENSG00000171223,grip_strength,EFO_0006941,full,0,,not_in_top50,,,,,0,,0.16
JUNB,ENSG00000171223,frailty,EFO_0009885,full,0,,not_in_top50,,,,,0,,0.16
JUNB,ENSG00000171223,lean_body_mass,EFO_0004995,full,6,,not_in_top50,0.2599671185016632,,,,0,,0.16
JUNB,ENSG00000171223,appendicular_lean_mass,EFO_0004980,full,0,,not_in_top50,,,,,0,,0.16
JUNB,ENSG00000171223,muscular_dystrophy,MONDO_0020121,full,1,,not_in_top50,,,0.02,,0,,0.16
FOS,ENSG00000170345,sarcopenia,EFO_1000653,full,0,,not_in_top50,,,,,0,,0.2
FOS,ENSG00000170345,grip_strength,EFO_0006941,full,0,,not_in_top50,,,,,0,,0.2
FOS,ENSG00000170345,frailty,EFO_0009885,full,0,,not_in_top50,,,,,0,,0.16
FOS,ENSG00000170345,lean_body_mass,EFO_0004995,full,0,,not_in_top50,,,,,0,,0.16
FOS,ENSG00000170345,appendicular_lean_mass,EFO_0004980,full,0,,not_in_top50,,,,,0,,0.16
FOS,ENSG00000170345,muscular_dystrophy,MONDO_0020121,full,1,,not_in_top50,,,0.02,,0,,0.16
EGR1,ENSG00000120738,sarcopenia,EFO_1000653,full,3,,not_in_top50,,,0.04,,0,,0.16
EGR1,ENSG00000120738,grip_strength,EFO_0006941,full,0,,not_in_top50,,,,,0,,0.2
EGR1,ENSG00000120738,frailty,EFO_0009885,full,0,,not_in_top50,,,,,0,,0.2
EGR1,ENSG00000120738,lean_body_mass,EFO_0004995,full,0,,not_in_top50,,,,,0,,0.19
EGR1,ENSG00000120738,appendicular_lean_mass,EFO_0004980,full,0,,not_in_top50,,,,,0,,0.16
EGR1,ENSG00000120738,muscular_dystrophy,MONDO_0020121,full,1,,not_in_top50,,,0.04,,0,,0.19
EGR2,ENSG00000122877,sarcopenia,EFO_1000653,full,1,,not_in_top50,,,0.06,,0,,0.19
EGR2,ENSG00000122877,grip_strength,EFO_0006941,full,0,,not_in_top50,,,,,0,,0.16
EGR2,ENSG00000122877,frailty,EFO_0009885,full,0,,not_in_top50,,,,,0,,0.16
EGR2,ENSG00000122877,lean_body_mass,EFO_0004995,full,9,,not_in_top50,0.7514780759811401,,,,0,,0.2
EGR2,ENSG00000122877,appendicular_lean_mass,EFO_0004980,full,1,,not_in_top50,0.19276587665081024,,,,0,,0.2
EGR2,ENSG00000122877,muscular_dystrophy,MONDO_0020121,full,0,,not_in_top50,,,,,0,,0.19
ATF3,ENSG00000162772,sarcopenia,EFO_1000653,full,3,,not_in_top50,,,0.19,,0,,0.16
ATF3,ENSG00000162772,grip_strength,EFO_0006941,full,0,,not_in_top50,,,,,0,,0.19
