beta_age,ci_low,ci_high,p_value,n,r2,tertile,compartment,note
-9.558518763389681e-05,-0.0002359542010636027,4.4783825795809075e-05,0.18199087524096424,265,0.03406945383538418,T1_low,Vascular,
-0.00020270048341794594,-0.0007104051336479778,0.00030500416681208584,0.4339129653665901,265,0.0764745440407476,T2_mid,Vascular,
0.0007649937379452762,0.00024457685846641193,0.0012854106174241405,0.003963210471145855,266,0.14200021987337685,T3_high,Vascular,
4.595919907142612e-07,,,0.2944791587806965,796,,interaction_age_x_smtsisch,Vascular,age_midpoint:SMTSISCH term
1.6749979019538065e-05,-0.00022247591054490431,0.00025597586858398043,0.8908477206761268,265,0.09072363775990377,T1_low,MuSC,
-0.00022268361438407847,-0.0007566732851559325,0.00031130605638777565,0.4137333549690331,265,0.1375557662043283,T2_mid,MuSC,
-0.00156295572087087,-0.0018797061052854512,-0.0012462053364562886,3.9990314837893525e-22,266,0.17464247164347613,T3_high,MuSC,
-1.0189503796058892e-06,,,0.0005915793230567869,796,,interaction_age_x_smtsisch,MuSC,age_midpoint:SMTSISCH term
-5.573853077758499e-05,-0.00012145772569209287,9.980664136922882e-06,0.09645112784191716,265,0.05714429116535458,T1_low,FAP,
0.0002856141118301976,0.00015819131137857501,0.0004130369122818202,1.1169619752593176e-05,265,0.16035869608386966,T2_mid,FAP,
0.00013331796318791412,4.846742737162577e-05,0.00021816849900420246,0.0020733867965112163,266,0.2530782222307816,T3_high,FAP,
1.8456159819698604e-07,,,0.011188625926665804,796,,interaction_age_x_smtsisch,FAP,age_midpoint:SMTSISCH term
0.00013457373939151497,-3.000233165693285e-05,0.0002991498104399628,0.10900947552817633,265,0.20230432015313515,T1_low,Immune,
0.00013976998597108476,3.8632206061159555e-05,0.00024090776588100998,0.006756301946800292,265,0.2522128898355861,T2_mid,Immune,
0.0006646440197376074,0.00037612520433411104,0.0009531628351411039,6.330031332939527e-06,266,0.24682867833671807,T3_high,Immune,
3.74796790696432e-07,,,0.08098533098388186,796,,interaction_age_x_smtsisch,Immune,age_midpoint:SMTSISCH term
