TF,compartment,beta_age_before,p_before,beta_age_after,p_after,delta_r2,interaction_beta,interaction_p,n
JUNB,Vascular,0.003415511657139105,0.5706015019997286,0.0001150569045785198,0.98001976231794,0.12702780523014567,0.029433531399516245,0.19243370567364426,796
JUNB,MuSC,0.003415511657139105,0.5706015019997286,0.0001150569045785198,0.98001976231794,0.12702780523014567,-0.006277753689446413,0.663158579742127,796
JUNB,FAP,0.003415511657139105,0.5706015019997286,0.0001150569045785198,0.98001976231794,0.12702780523014567,-0.15299118940497028,2.4784443114656165e-46,796
FOS,Vascular,0.004944274280298999,0.5085526179782898,0.0006060854700428638,0.9203316504586778,0.12693778208898454,0.0760127074548703,0.09370424859445713,796
FOS,MuSC,0.004944274280298999,0.5085526179782898,0.0006060854700428638,0.9203316504586778,0.12693778208898454,-0.03868485509550749,0.0037144634199172805,796
FOS,FAP,0.004944274280298999,0.5085526179782898,0.0006060854700428638,0.9203316504586778,0.12693778208898454,-0.13043450676345372,2.6669780192822136e-07,796
EGR1,Vascular,0.011653473479655998,0.16232213577349086,0.0075159938028047865,0.29050191790743174,0.0884078924920706,0.15832737509229886,0.00022933579910485287,796
EGR1,MuSC,0.011653473479655998,0.16232213577349086,0.0075159938028047865,0.29050191790743174,0.0884078924920706,-0.018967528228269626,0.13543527251476292,796
EGR1,FAP,0.011653473479655998,0.16232213577349086,0.0075159938028047865,0.29050191790743174,0.0884078924920706,-0.544291865122291,4.1170968645208465e-34,796
EGR2,Vascular,0.002421770834747735,0.31812058417871625,0.0003316957435935319,0.8475642649477391,0.13361396895439537,-0.01343298007696396,0.4833239889361378,796
EGR2,MuSC,0.002421770834747735,0.31812058417871625,0.0003316957435935319,0.8475642649477391,0.13361396895439537,-0.01841481621404073,0.3194961031369672,796
EGR2,FAP,0.002421770834747735,0.31812058417871625,0.0003316957435935319,0.8475642649477391,0.13361396895439537,-0.04783419809154429,0.0021831933402413095,796
CEBPB,Vascular,0.00837592917509461,0.02470408230376376,0.008314940529482642,0.00988372296059459,0.08390240928636439,0.07501631342790498,0.12631093358336018,796
CEBPB,MuSC,0.00837592917509461,0.02470408230376376,0.008314940529482642,0.00988372296059459,0.08390240928636439,-0.045771242575823816,1.1918101042342186e-08,796
CEBPB,FAP,0.00837592917509461,0.02470408230376376,0.008314940529482642,0.00988372296059459,0.08390240928636439,0.07741982516718457,1.6392863764154544e-192,796
ATF3,Vascular,-0.001905519581812037,0.6958832836773998,-0.004829400930182377,0.2439611898657693,0.11133144352520197,0.0019979002642936533,0.9786185036736316,796
ATF3,MuSC,-0.001905519581812037,0.6958832836773998,-0.004829400930182377,0.2439611898657693,0.11133144352520197,0.03425915049954316,0.08827528975643513,796
ATF3,FAP,-0.001905519581812037,0.6958832836773998,-0.004829400930182377,0.2439611898657693,0.11133144352520197,-0.07369098814713287,0.46860610221722887,796
KLF10,Vascular,0.007899382637779714,0.0,0.008880054834066968,0.0,0.024530718750620628,0.053064284690937616,0.4748430974057458,796
KLF10,MuSC,0.007899382637779714,0.0,0.008880054834066968,0.0,0.024530718750620628,-0.009335581757181341,0.8474436458196997,796
KLF10,FAP,0.007899382637779714,0.0,0.008880054834066968,0.0,0.024530718750620628,-0.08704351132658754,6.391577738530863e-18,796
CDKN1A,Vascular,0.014697110284976028,0.03568477673790228,0.013641522830620095,0.02581319460879195,0.0454223459605404,0.11229876758331515,0.30511141353134463,796
CDKN1A,MuSC,0.014697110284976028,0.03568477673790228,0.013641522830620095,0.02581319460879195,0.0454223459605404,-0.10626055516353262,0.1746641495871123,796
CDKN1A,FAP,0.014697110284976028,0.03568477673790228,0.013641522830620095,0.02581319460879195,0.0454223459605404,-0.06717554743902818,7.11550828594907e-24,796
SASP12,Vascular,0.004094246399457909,0.2258850136726105,-0.0003194211287993774,0.8634596447562399,0.2077639694978789,0.05966909072339015,0.00042576445565390157,796
SASP12,MuSC,0.004094246399457909,0.2258850136726105,-0.0003194211287993774,0.8634596447562399,0.2077639694978789,-0.028736404776956645,0.14458108481566134,796
SASP12,FAP,0.004094246399457909,0.2258850136726105,-0.0003194211287993774,0.8634596447562399,0.2077639694978789,0.05332671737745165,2.9836120249619775e-05,796
SASP12,Immune,0.004094246399457909,0.2258850136726105,-0.0003194211287993774,0.8634596447562399,0.2077639694978789,-0.05695499061524812,3.128959249949879e-05,796
