TF,compartment,HLMA_age_log2FC,HLMA_wald_t,MoTrPAC_EE_logFC_24hr,effective_n,classification,classification_reason,pearson_r_compartment,pearson_p_compartment,n_usable
JUNB,Vascular,1.0174753860993029,1.2794820803602562,-0.264970118218555,9,SPECULATIVE_ONLY,"N=9 TFs per compartment — correlation is underpowered; reported as exploratory descriptor, not an ESTABLISHED finding (brief v2 rigor clause on n<25 correlations).",-0.19184379126670864,0.6209678845320955,9
FOS,Vascular,1.7942107360502684,1.7315892684176442,0.130071958127742,9,SPECULATIVE_ONLY,"N=9 TFs per compartment — correlation is underpowered; reported as exploratory descriptor, not an ESTABLISHED finding (brief v2 rigor clause on n<25 correlations).",-0.19184379126670864,0.6209678845320955,9
EGR1,Vascular,1.496874384057101,1.561540293273956,-0.249619381675334,9,SPECULATIVE_ONLY,"N=9 TFs per compartment — correlation is underpowered; reported as exploratory descriptor, not an ESTABLISHED finding (brief v2 rigor clause on n<25 correlations).",-0.19184379126670864,0.6209678845320955,9
EGR2,Vascular,1.883280859052738,1.9226665428929648,-0.702927468230006,9,SPECULATIVE_ONLY,"N=9 TFs per compartment — correlation is underpowered; reported as exploratory descriptor, not an ESTABLISHED finding (brief v2 rigor clause on n<25 correlations).",-0.19184379126670864,0.6209678845320955,9
ATF3,Vascular,1.1264084398718457,1.3108175287676191,0.192487750640924,9,SPECULATIVE_ONLY,"N=9 TFs per compartment — correlation is underpowered; reported as exploratory descriptor, not an ESTABLISHED finding (brief v2 rigor clause on n<25 correlations).",-0.19184379126670864,0.6209678845320955,9
CEBPB,Vascular,1.210400335014592,1.6037144926685567,-0.0122845545947872,9,SPECULATIVE_ONLY,"N=9 TFs per compartment — correlation is underpowered; reported as exploratory descriptor, not an ESTABLISHED finding (brief v2 rigor clause on n<25 correlations).",-0.19184379126670864,0.6209678845320955,9
KLF10,Vascular,0.5450088231872983,0.8832133962563803,-0.535750683379993,9,SPECULATIVE_ONLY,"N=9 TFs per compartment — correlation is underpowered; reported as exploratory descriptor, not an ESTABLISHED finding (brief v2 rigor clause on n<25 correlations).",-0.19184379126670864,0.6209678845320955,9
IRF1,Vascular,0.1987749179503258,0.3243234859443699,0.129274768034132,9,SPECULATIVE_ONLY,"N=9 TFs per compartment — correlation is underpowered; reported as exploratory descriptor, not an ESTABLISHED finding (brief v2 rigor clause on n<25 correlations).",-0.19184379126670864,0.6209678845320955,9
CDKN1A,Vascular,1.2428865248203156,1.2325668317639802,0.000754226038072847,9,SPECULATIVE_ONLY,"N=9 TFs per compartment — correlation is underpowered; reported as exploratory descriptor, not an ESTABLISHED finding (brief v2 rigor clause on n<25 correlations).",-0.19184379126670864,0.6209678845320955,9
JUNB,FAP,4.634588926337324,2.6700789464459422,-0.264970118218555,9,SPECULATIVE_ONLY,"N=9 TFs per compartment — correlation is underpowered; reported as exploratory descriptor, not an ESTABLISHED finding (brief v2 rigor clause on n<25 correlations).",0.024277165948682414,0.9505672480618809,9
FOS,FAP,4.413638336412788,2.420144421583313,0.130071958127742,9,SPECULATIVE_ONLY,"N=9 TFs per compartment — correlation is underpowered; reported as exploratory descriptor, not an ESTABLISHED finding (brief v2 rigor clause on n<25 correlations).",0.024277165948682414,0.9505672480618809,9
EGR1,FAP,2.9448245849925545,1.5025551117541631,-0.249619381675334,9,SPECULATIVE_ONLY,"N=9 TFs per compartment — correlation is underpowered; reported as exploratory descriptor, not an ESTABLISHED finding (brief v2 rigor clause on n<25 correlations).",0.024277165948682414,0.9505672480618809,9
EGR2,FAP,1.9418448898716756,1.257021135579884,-0.702927468230006,9,SPECULATIVE_ONLY,"N=9 TFs per compartment — correlation is underpowered; reported as exploratory descriptor, not an ESTABLISHED finding (brief v2 rigor clause on n<25 correlations).",0.024277165948682414,0.9505672480618809,9
ATF3,FAP,0.9697168139039126,0.3680054812274811,0.192487750640924,9,SPECULATIVE_ONLY,"N=9 TFs per compartment — correlation is underpowered; reported as exploratory descriptor, not an ESTABLISHED finding (brief v2 rigor clause on n<25 correlations).",0.024277165948682414,0.9505672480618809,9
