compartment,direction,timepoint,NES,ES,p_gene_perm,p_sig_rand_perm,observed_es_local,observed_nes_local,fdr_q,leading_edge_n,leading_edge_genes,signature_size
FAP,DOWN,post_15_30_45_min,1.2964823368019487,0.3444051162974187,0.08983050847457627,0.06393606393606394,0.34440511629747544,1.3156308291440328,0.44511825348696177,29,ENSG00000132964.12;ENSG00000182752.10;ENSG00000110987.9;ENSG00000151690.15;ENSG00000135426.16;ENSG00000158079.16;ENSG00000198087.7;ENSG00000146122.17;ENSG00000142733.17;ENSG00000165731.21;ENSG00000132256.20;ENSG00000142185.18;ENSG00000143502.16;ENSG00000134853.12;ENSG00000095587.9;ENSG00000133816.18;ENSG00000086967.10;ENSG00000137491.15;ENSG00000187676.8;ENSG00000146376.11;ENSG00000014914.21;ENSG00000180287.17;ENSG00000125414.19;ENSG00000160191.18;ENSG00000185652.12;ENSG00000152784.16;ENSG00000164124.11;ENSG00000196296.14;ENSG00000173621.9,87
FAP,UP,post_15_30_45_min,1.1335465273499217,0.42580939319046374,0.2968127490039841,0.00999000999000999,0.4258093931905587,1.55281454089044,0.5118253486961795,7,ENSG00000137801.11;ENSG00000147256.12;ENSG00000235043.3;ENSG00000237766.2;ENSG00000122420.10;ENSG00000171777.16;ENSG00000047457.14,64
Vascular,DOWN,post_15_30_45_min,0.8620949125058969,0.2241103314077194,0.7170818505338078,0.7032967032967034,0.22411033140771877,0.8520953874911893,0.9189407721851627,4,ENSG00000105722.10;ENSG00000105538.10;ENSG00000125878.7;ENSG00000116584.21,88
Vascular,UP,post_15_30_45_min,-0.8452125699743264,-0.21243605859835607,0.7645739910313901,0.8031968031968032,-0.21243605859833395,-0.8541789865627897,1.0,23,ENSG00000262097.3;ENSG00000103316.12;ENSG00000206149.11;ENSG00000070718.12;ENSG00000205572.10;ENSG00000143294.15;ENSG00000240344.9;ENSG00000196372.13;ENSG00000117305.15;ENSG00000129465.16;ENSG00000168300.14;ENSG00000012061.16;ENSG00000138449.11;ENSG00000184110.15;ENSG00000172845.18;ENSG00000277053.4;ENSG00000111684.11;ENSG00000102897.10;ENSG00000173432.13;ENSG00000171174.15;ENSG00000074935.14;ENSG00000196700.9;ENSG00000173535.15,82
MuSC,DOWN,post_15_30_45_min,0.826353568774313,0.2308400985111041,0.7432675044883303,0.6443556443556444,0.23084009851113396,0.8670062352149515,0.7553062462098241,25,ENSG00000125878.7;ENSG00000100941.9;ENSG00000166012.17;ENSG00000148773.14;ENSG00000174738.13;ENSG00000136546.17;ENSG00000142798.20;ENSG00000109805.10;ENSG00000249353.2;ENSG00000166147.15;ENSG00000187634.13;ENSG00000243742.5;ENSG00000125414.19;ENSG00000134917.10;ENSG00000108515.18;ENSG00000162885.14;ENSG00000144857.15;ENSG00000229659.1;ENSG00000198467.16;ENSG00000071051.14;ENSG00000198865.10;ENSG00000076382.17;ENSG00000159086.15;ENSG00000124181.15;ENSG00000170004.18,81
MuSC,UP,post_15_30_45_min,-0.6230230752882587,-0.15831015995972972,0.9850107066381156,0.991008991008991,-0.15831015995973186,-0.6480729181026841,0.9796447076239823,9,ENSG00000120093.12;ENSG00000106733.21;ENSG00000143382.16;ENSG00000139718.12;ENSG00000104332.12;ENSG00000117305.15;ENSG00000114302.16;ENSG00000144331.20;ENSG00000151150.22,89
Vascular,DOWN,post_3.5_4_hr,-1.4550998715725092,-0.3563457847534656,0.0111731843575419,0.05094905094905095,-0.35634578475348805,-1.4727388363902456,0.12908704883227176,15,ENSG00000100065.15;ENSG00000182575.8;ENSG00000135439.12;ENSG00000160191.18;ENSG00000165795.25;ENSG00000154258.17;ENSG00000125878.7;ENSG00000088367.23;ENSG00000116584.21;ENSG00000163431.13;ENSG00000086289.12;ENSG00000164776.11;ENSG00000095539.15;ENSG00000164078.14;ENSG00000137501.18,88
FAP,DOWN,post_3.5_4_hr,1.4164525816761977,0.3873357911822545,0.032915360501567396,0.016983016983016984,0.3873357911822835,1.4353594176795388,0.09108367626886145,16,ENSG00000008853.18;ENSG00000129993.15;ENSG00000173621.9;ENSG00000136383.7;ENSG00000128052.10;ENSG00000111371.16;ENSG00000182902.14;ENSG00000153162.9;ENSG00000142733.17;ENSG00000146122.17;ENSG00000157978.12;ENSG00000198876.13;ENSG00000168280.18;ENSG00000143816.8;ENSG00000182752.10;ENSG00000133816.18,87
MuSC,UP,post_3.5_4_hr,-1.1520427818765764,-0.291541282708087,0.19839142091152814,0.21978021978021978,-0.2915412827080777,-1.196529671314748,0.42462845010615713,23,ENSG00000131386.20;ENSG00000111335.14;ENSG00000120093.12;ENSG00000089127.15;ENSG00000139718.12;ENSG00000178685.14;ENSG00000079102.16;ENSG00000112893.10;ENSG00000114302.16;ENSG00000168916.16;ENSG00000113721.14;ENSG00000111046.4;ENSG00000106733.21;ENSG00000174943.11;ENSG00000261377.6;ENSG00000182742.6;ENSG00000121361.5;ENSG00000225210.10;ENSG00000196549.13;ENSG00000112874.10;ENSG00000166278.15;ENSG00000228526.7;ENSG00000110719.10,89
Vascular,UP,post_3.5_4_hr,-1.0046026083318265,-0.2606053914633694,0.44,0.44455544455544455,-0.26060539146332945,-1.0568190855161106,0.5831564048124558,13,ENSG00000206149.11;ENSG00000146409.12;ENSG00000126785.13;ENSG00000172845.18;ENSG00000113369.9;ENSG00000277053.4;ENSG00000138594.14;ENSG00000074935.14;ENSG00000111684.11;ENSG00000139508.15;ENSG00000141380.14;ENSG00000205572.10;ENSG00000107960.11,82
MuSC,DOWN,post_3.5_4_hr,-0.8204334452783811,-0.21410072129291308,0.8426395939086294,0.8211788211788211,-0.2141007212928537,-0.8556597597612119,0.8182590233545648,20,ENSG00000144857.15;ENSG00000198865.10;ENSG00000151849.16;ENSG00000125878.7;ENSG00000246859.3;ENSG00000162885.14;ENSG00000132424.17;ENSG00000108848.16;ENSG00000163485.17;ENSG00000229659.1;ENSG00000107551.21;ENSG00000119707.14;ENSG00000183908.7;ENSG00000185482.8;ENSG00000248746.6;ENSG00000170004.18;ENSG00000078018.21;ENSG00000076344.16;ENSG00000109805.10;ENSG00000127481.15,81
FAP,UP,post_3.5_4_hr,0.7800909019407969,0.2937335762747846,0.7650375939849624,0.34165834165834164,0.29373357627479646,1.0469438869465635,0.846639231824417,7,ENSG00000137801.11;ENSG00000169554.23;ENSG00000185504.17;ENSG00000122420.10;ENSG00000235043.3;ENSG00000227039.7;ENSG00000237766.2,64
Vascular,UP,post_24_hr,-1.6444002445499857,-0.39872746127902897,0.0029940119760479044,0.003996003996003996,-0.39872746127899905,-1.7317316951951034,0.024691358024691357,25,ENSG00000110422.12;ENSG00000138814.17;ENSG00000172845.18;ENSG00000148541.13;ENSG00000136960.13;ENSG00000168300.14;ENSG00000138061.12;ENSG00000005889.16;ENSG00000141380.14;ENSG00000196700.9;ENSG00000134574.12;ENSG00000120693.14;ENSG00000135679.27;ENSG00000113369.9;ENSG00000115380.20;ENSG00000225190.11;ENSG00000277053.4;ENSG00000198246.9;ENSG00000115594.12;ENSG00000138594.14;ENSG00000103316.12;ENSG00000062716.13;ENSG00000083312.19;ENSG00000139508.15;ENSG00000163513.19,82
MuSC,UP,post_24_hr,-1.2432051890606108,-0.3041662928225219,0.10263929618768329,0.12887112887112886,-0.30416629282247926,-1.3287067132912638,0.3296296296296296,14,ENSG00000151090.20;ENSG00000151150.22;ENSG00000146477.6;ENSG00000033627.17;ENSG00000138061.12;ENSG00000111885.7;ENSG00000156804.7;ENSG00000143382.16;ENSG00000167549.19;ENSG00000139718.12;ENSG00000131386.20;ENSG00000041982.16;ENSG00000149269.10;ENSG00000112893.10,89
FAP,DOWN,post_24_hr,1.058876542606513,0.27932838530716586,0.35344827586206895,0.23976023976023977,0.2793283853071698,1.0902227234401205,0.3635220125786163,16,ENSG00000182902.14;ENSG00000095587.9;ENSG00000146122.17;ENSG00000165282.14;ENSG00000143502.16;ENSG00000164124.11;ENSG00000111371.16;ENSG00000173638.19;ENSG00000126878.13;ENSG00000151690.15;ENSG00000144677.15;ENSG00000232859.10;ENSG00000142733.17;ENSG00000173621.9;ENSG00000101040.20;ENSG00000142185.18,87
MuSC,DOWN,post_24_hr,-0.9371410337708428,-0.23303649027484585,0.5798045602605864,0.5834165834165834,-0.23303649027478027,-0.9959389038700047,0.9547325102880659,18,ENSG00000185482.8;ENSG00000198865.10;ENSG00000071051.14;ENSG00000162885.14;ENSG00000107863.20;ENSG00000108848.16;ENSG00000166012.17;ENSG00000187634.13;ENSG00000248746.6;ENSG00000141429.14;ENSG00000144426.19;ENSG00000132424.17;ENSG00000127481.15;ENSG00000133247.14;ENSG00000148773.14;ENSG00000159086.15;ENSG00000183908.7;ENSG00000118900.15,81
Vascular,DOWN,post_24_hr,-0.8463927658145841,-0.19430004790667416,0.8390092879256966,0.8811188811188811,-0.19430004790669508,-0.8469416693222864,0.95679012345679,14,ENSG00000104369.5;ENSG00000101306.11;ENSG00000164237.9;ENSG00000250251.6;ENSG00000095539.15;ENSG00000116584.21;ENSG00000163431.13;ENSG00000162614.19;ENSG00000069431.14;ENSG00000248746.6;ENSG00000143632.15;ENSG00000182575.8;ENSG00000018625.15;ENSG00000165795.25,88
FAP,UP,post_24_hr,-0.5138078912033048,-0.17993865209868387,0.9783653846153846,0.962037962037962,-0.17993865209869797,-0.7317410983762223,0.9955555555555555,9,ENSG00000047457.14;ENSG00000140285.12;ENSG00000137801.11;ENSG00000122420.10;ENSG00000164050.13;ENSG00000169554.23;ENSG00000171777.16;ENSG00000180871.8;ENSG00000197253.13,64
