compartment,direction,rank,gene_symbol,log2FC,wald_stat,p_value,ensg_versioned
Vascular,UP,1,EFEMP1,3.705660180405145,6.27589121187972,3.4763719777602673e-10,ENSG00000115380.20
Vascular,UP,2,AP3M2,1.434471847211073,5.875866256684788,4.206378375390828e-09,ENSG00000070718.12
Vascular,UP,3,AC093227.1,2.972187958281732,5.401794221927243,6.597761186446748e-08,
Vascular,UP,4,TGFBR2,1.1540568938829248,5.051066461521958,4.3935015743000825e-07,ENSG00000163513.19
Vascular,UP,5,HSPA4L,2.689328226426885,4.889633743614629,1.0102376560543224e-06,ENSG00000164070.12
Vascular,UP,6,MDM2,0.9722305260362992,4.871899073666572,1.1053063164881092e-06,ENSG00000135679.27
Vascular,UP,7,HSD17B14,3.8854195892531247,4.760739955569245,1.9288444962224115e-06,ENSG00000087076.8
Vascular,UP,8,AC040977.1,3.215202304172541,4.637463839173279,3.527102924707556e-06,
Vascular,UP,9,LPCAT3,1.3401671194885307,4.584523969751926,4.550218890988487e-06,ENSG00000111684.11
Vascular,UP,10,CYP1B1,3.190242450235956,4.554907653559083,5.240859673292562e-06,ENSG00000138061.12
Vascular,UP,11,PCTP,1.1434853319116316,4.488189803821229,7.183091873379458e-06,ENSG00000141179.14
Vascular,UP,12,RHOJ,0.8927891237252037,4.287438047608274,1.807456438651132e-05,ENSG00000126785.13
Vascular,UP,13,LINC02185,1.6914592969522833,4.199845136041974,2.6709760283783454e-05,ENSG00000262097.3
Vascular,UP,14,SLC46A3,2.091817794450657,4.172685074723816,3.0103089671379866e-05,ENSG00000139508.15
Vascular,UP,15,TTC39A,4.785218801578751,4.161747587449198,3.158213319777354e-05,ENSG00000085831.16
Vascular,UP,16,LYRM1,2.3921091024814927,4.154899189904852,3.254309919859285e-05,ENSG00000102897.10
Vascular,UP,17,PCMTD1,0.7090677381814411,4.119797576746152,3.7920539380457375e-05,ENSG00000168300.14
Vascular,UP,18,PRCC,1.0535125353424124,4.085599209901316,4.396321019918232e-05,ENSG00000143294.15
Vascular,UP,19,ZNF140,1.2108194075713032,4.069581956051725,4.709757014474553e-05,ENSG00000196387.10
Vascular,UP,20,AC068234.2,4.628660775471927,4.029105054277059,5.598959499985984e-05,
Vascular,UP,21,VMP1,0.8332292856690491,4.024777225203049,5.702927645969325e-05,ENSG00000062716.13
Vascular,UP,22,DDB2,1.0469036421654807,4.019103930498053,5.841989869531144e-05,ENSG00000134574.12
Vascular,UP,23,AC022916.1,4.072098963118223,4.00138687339079,6.297230037115939e-05,
Vascular,UP,24,SAA1,6.890815648898676,4.000733417916459,6.314646438184212e-05,ENSG00000173432.13
Vascular,UP,25,SLC40A1,2.58602685068404,3.976925556459915,6.981200819757179e-05,ENSG00000138449.11
Vascular,UP,26,PGR,2.377918227027657,3.950328601249422,7.804397027909435e-05,ENSG00000082175.16
Vascular,UP,27,HERC2P9,0.9144693044421996,3.858863865510052,0.0001139153672967,ENSG00000206149.11
Vascular,UP,28,RPGR,0.8759347631749712,3.852846483422834,0.0001167525954709,ENSG00000156313.15
Vascular,UP,29,SLC18B1,1.992596997487552,3.841181039681573,0.0001224437644622,ENSG00000146409.12
Vascular,UP,30,FAM13C,2.5609678196472503,3.840254044264387,0.0001229070564145,ENSG00000148541.13
Vascular,UP,31,GPR19,5.825466290190171,3.83867361420742,0.0001237007332621,ENSG00000183150.7
Vascular,UP,32,SERF1B,6.452086177710478,3.808444479070689,0.0001398437365387,ENSG00000205572.10
Vascular,UP,33,NADK,2.5041446360740824,3.800973920415362,0.000144128472788,ENSG00000008130.15
Vascular,UP,34,AC093157.1,1.5304887155115288,3.796752408167829,0.0001466040823308,
Vascular,UP,35,SP3,0.7382109331644046,3.7706033904965497,0.0001628533147357,ENSG00000172845.18
Vascular,UP,36,NR5A2,0.9320921038363172,3.7692447545144656,0.0001637422618168,ENSG00000116833.14
Vascular,UP,37,PLA2G2A,6.83123199584318,3.7673420452062296,0.0001649948690504,ENSG00000188257.12
Vascular,UP,38,SMAD9,0.8608904443573294,3.7500539986229326,0.0001767964948942,ENSG00000120693.14
Vascular,UP,39,AC011444.2,5.278896043605103,3.749435997369448,0.0001772327210631,
Vascular,UP,40,TNFRSF10C,2.2767940101337145,3.745932532143752,0.0001797248926833,ENSG00000173535.15
Vascular,UP,41,JAK3,2.3259755374130164,3.742068984978232,0.0001825113942741,ENSG00000105639.20
Vascular,UP,42,TUBE1,1.347272395767811,3.728610847090633,0.0001925382142538,ENSG00000074935.14
Vascular,UP,43,MPZL3,2.2135339802502805,3.7206343036287857,0.0001987230259214,ENSG00000160588.9
Vascular,UP,44,SS18,1.1017456152642753,3.7156601274554,0.0002026738633079,ENSG00000141380.14
Vascular,UP,45,LINC01993,2.6391159537148656,3.7139200464281967,0.0002040732926289,ENSG00000204277.1
Vascular,UP,46,DNM1,2.497997911904968,3.7058877160026342,0.0002106516135535,ENSG00000106976.21
Vascular,UP,47,ENPP2,0.9244664966984966,3.693786402473185,0.0002209394083223,ENSG00000136960.13
Vascular,UP,48,HMGB1P31,3.671604355957814,3.670574530247496,0.0002420058898318,ENSG00000233266.1
Vascular,UP,49,CLBA1,2.6645124890065386,3.6614173448432106,0.0002508237845073,
Vascular,UP,50,AP1AR,1.4283495085748434,3.654224457539354,0.0002579605267526,ENSG00000138660.12
Vascular,UP,51,AL035701.1,3.001102630724926,3.647992557542792,0.0002642972923125,
Vascular,UP,52,DUSP18,0.8408638737502552,3.6400484378644986,0.0002725867579793,ENSG00000167065.14
Vascular,UP,53,ZFX,0.6432763774671827,3.6385599541510105,0.0002741668064133,ENSG00000005889.16
Vascular,UP,54,STN1,1.5455578793151026,3.627527706961738,0.0002861480764372,ENSG00000107960.11
Vascular,UP,55,AC112229.3,4.572351920066603,3.62430636879778,0.0002897379925949,
Vascular,UP,56,JPH3,5.2143191514688585,3.615280750293918,0.0003000223015709,ENSG00000154118.12
Vascular,UP,57,ZNF876P,1.4972454886954891,3.612886429923685,0.000302807352415,ENSG00000198155.5
Vascular,UP,58,AC108047.1,2.317837676143776,3.601391004165654,0.0003165191197609,
Vascular,UP,59,NTN4,0.8041199484102248,3.588808203075733,0.0003321931136708,ENSG00000074527.13
Vascular,UP,60,AL596202.1,4.122509789057123,3.5862807694280927,0.0003354278058973,
Vascular,UP,61,HIPK3,0.7656345514812323,3.5836713133761093,0.0003387983779236,ENSG00000110422.12
Vascular,UP,62,PLEKHM1,1.1411149665968507,3.57674082582654,0.0003479048009471,ENSG00000225190.11
Vascular,UP,63,ERCC1,1.4508711295470642,3.574622159854068,0.0003507340284121,ENSG00000012061.16
Vascular,UP,64,ASB13,1.8938325978523456,3.5709865128748963,0.0003556392098072,ENSG00000196372.13
Vascular,UP,65,TMEM159,1.905742869266783,3.5671042428176043,0.000360947919936,ENSG00000011638.11
Vascular,UP,66,LINC02731,3.719465785973583,3.528995329141312,0.0004171404929848,
Vascular,UP,67,SMIM17,2.893068303512911,3.526558804235864,0.0004209976641126,ENSG00000268182.5
Vascular,UP,68,GTF2IP1,4.001574507065311,3.509068244143417,0.0004496795058305,ENSG00000277053.4
Vascular,UP,69,PPP3CA,0.5292814838494395,3.481691224189128,0.0004982578791347,ENSG00000138814.17
Vascular,UP,70,ZNF512B,1.6637064627615994,3.4810058965770225,0.0004995344940218,ENSG00000196700.9
Vascular,UP,71,TNPO1,0.5746766986915535,3.469143759006654,0.0005221199903577,ENSG00000083312.19
Vascular,UP,72,AC097534.2,2.691110356859454,3.4691404176216007,0.0005221264843398,
Vascular,UP,73,LRCOL1,5.124261331297758,3.4648652826480504,0.0005304971516832,ENSG00000204583.9
Vascular,UP,74,AL022328.4,3.6793022637200914,3.464483678743878,0.0005312503755889,
Vascular,UP,75,SNCA,3.06050668338709,3.4628866784133376,0.0005344134189814,ENSG00000145335.15
Vascular,UP,76,FNBP1P1,4.238304442590261,3.4616320136233534,0.0005369107265895,ENSG00000257800.1
Vascular,UP,77,AL136164.3,1.871798015204164,3.4528098520434654,0.0005547799178567,
Vascular,UP,78,EIF3C,2.81808210149146,3.4525372756863577,0.0005553407408721,ENSG00000184110.15
Vascular,UP,79,SMN2,4.0982921192842,3.4488910725097552,0.0005628937210689,ENSG00000205571.14
Vascular,UP,80,QRFPR,3.948810148369427,3.4478493195465947,0.000565069182404,ENSG00000186867.10
Vascular,UP,81,RIPK3,1.9810830603131344,3.446007410320091,0.0005689347578013,ENSG00000129465.16
Vascular,UP,82,EEF1AKMT1,1.5659442423572911,3.4327843703270213,0.0005974170206609,ENSG00000150456.11
Vascular,UP,83,RBKS,1.3623144779676972,3.431783846618622,0.0005996252717651,ENSG00000171174.15
Vascular,UP,84,AL353151.2,5.158731364811629,3.429661596833109,0.0006043344503577,
Vascular,UP,85,HMGCL,1.0626534526758098,3.426016595998765,0.0006125029564254,ENSG00000117305.15
Vascular,UP,86,SPDYE5,4.744091192286684,3.425440137270872,0.0006138041801149,ENSG00000170092.14
Vascular,UP,87,PPIL3,1.043625489050958,3.420236306444027,0.000625667607308,ENSG00000240344.9
Vascular,UP,88,TMOD3,0.5451125930192335,3.412220110100689,0.0006443606040672,ENSG00000138594.14
Vascular,UP,89,ATG4C,0.75758593140605,3.3980584562649327,0.0006786591708308,ENSG00000125703.15
Vascular,UP,90,FBXO39,3.544984774200872,3.3934145102183293,0.0006902710042851,ENSG00000177294.6
Vascular,UP,91,CCL16,3.817973240282394,3.3682047158474475,0.0007565939452982,ENSG00000275152.4
Vascular,UP,92,CRYM,3.557233735092021,3.3666138682595568,0.0007609715832341,ENSG00000103316.12
Vascular,UP,93,CNOT11,1.2800991236563923,3.364925613775301,0.0007656429762791,ENSG00000158435.8
Vascular,UP,94,HIF1A,1.1410894252931516,3.3589123926523614,0.0007824987006036,ENSG00000100644.17
Vascular,UP,95,SLC29A3,2.475222770605268,3.3530363395212874,0.0007993021135623,ENSG00000198246.9
Vascular,UP,96,PARPBP,2.6856676331963296,3.350074645454496,0.0008078978557068,ENSG00000185480.11
Vascular,UP,97,SLX1B-SULT1A4,9.84692623597462,3.344212921788637,0.0008251638079034,
Vascular,UP,98,ARRDC3,1.715965351758664,3.3361622566870044,0.0008494357126668,ENSG00000113369.9
Vascular,UP,99,IL1R1,0.8505326907451103,3.3360676861299687,0.0008497247276611,ENSG00000115594.12
Vascular,UP,100,AC011379.1,3.775611107054774,3.33484359282424,0.0008534738913858,
Vascular,DOWN,1,MYH1,-5.938947546952641,-6.326507347215512,2.5077236544198513e-10,ENSG00000109061.10
Vascular,DOWN,2,ITGA7,-2.3525568731680635,-6.191532384302715,5.958209294140082e-10,ENSG00000135424.19
Vascular,DOWN,3,ENO3,-3.21403413909592,-6.0616039778074295,1.3477071818115675e-09,ENSG00000108515.18
Vascular,DOWN,4,ACTN3,-4.795720736428271,-6.019351682673566,1.7511702973342547e-09,ENSG00000248746.6
Vascular,DOWN,5,PKD1P6,-1.3718417413822142,-5.642438241697056,1.6765868409129798e-08,ENSG00000250251.6
Vascular,DOWN,6,TPM2,-1.7185989950662932,-5.188546102134659,2.119422945164759e-07,ENSG00000198467.16
Vascular,DOWN,7,SNTA1,-1.8486871001449885,-5.129785103097317,2.900731324251822e-07,ENSG00000101400.6
