compartment,direction,gene_set,signature_size,set_size,universe,overlap,jaccard,p_hypergeom,p_bonf_48,overlap_genes
Vascular,UP,HALLMARK_HYPOXIA,100,200,35229,0,0.0,1.0,1.0,
Vascular,UP,HALLMARK_MYOGENESIS,100,200,35229,0,0.0,1.0,1.0,
Vascular,UP,HALLMARK_OXIDATIVE_PHOSPHORYLATION,100,200,35229,0,0.0,1.0,1.0,
Vascular,UP,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,100,200,35229,0,0.0,1.0,1.0,
Vascular,UP,HALLMARK_TNF_ALPHA_SIGNALING_VIA_NF_KB,100,200,35229,0,0.0,1.0,1.0,
Vascular,UP,HALLMARK_APOPTOSIS,100,161,35229,0,0.0,1.0,1.0,
Vascular,UP,HALLMARK_INFLAMMATORY_RESPONSE,100,200,35229,2,0.006711409395973154,0.11079003982189366,1.0,HIF1A;IL1R1
Vascular,UP,HALLMARK_ANGIOGENESIS,100,36,35229,0,0.0,1.0,1.0,
Vascular,DOWN,HALLMARK_HYPOXIA,100,200,35229,3,0.010101010101010102,0.019489788734873063,0.9355098592739071,ENO3;PHKG1;PYGM
Vascular,DOWN,HALLMARK_MYOGENESIS,100,200,35229,18,0.06382978723404255,3.5121833591675484e-22,1.685848012400423e-20,ACTA1;ACTN3;ATP2A1;BIN1;CAV3;ENO3;ITGA7;MYH1;MYH2;MYL1;MYL6B;MYLPF;PYGM;SLN;TNNC2;TNNI2;TNNT3;TPM2
Vascular,DOWN,HALLMARK_OXIDATIVE_PHOSPHORYLATION,100,200,35229,0,0.0,1.0,1.0,
Vascular,DOWN,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,100,200,35229,2,0.006711409395973154,0.11079003982189366,1.0,COL5A3;TPM2
Vascular,DOWN,HALLMARK_TNF_ALPHA_SIGNALING_VIA_NF_KB,100,200,35229,0,0.0,1.0,1.0,
Vascular,DOWN,HALLMARK_APOPTOSIS,100,161,35229,0,0.0,1.0,1.0,
Vascular,DOWN,HALLMARK_INFLAMMATORY_RESPONSE,100,200,35229,0,0.0,1.0,1.0,
Vascular,DOWN,HALLMARK_ANGIOGENESIS,100,36,35229,1,0.007407407407407408,0.09731785687233263,1.0,KCNJ8
MuSC,UP,HALLMARK_HYPOXIA,100,200,35229,0,0.0,1.0,1.0,
MuSC,UP,HALLMARK_MYOGENESIS,100,200,35229,1,0.0033444816053511705,0.43455117587800357,1.0,MYF6
MuSC,UP,HALLMARK_OXIDATIVE_PHOSPHORYLATION,100,200,35229,1,0.0033444816053511705,0.43455117587800357,1.0,TCIRG1
MuSC,UP,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,100,200,35229,4,0.013513513513513514,0.00258465808014821,0.12406358784711409,ANPEP;PDGFRB;SFRP1;TNC
