cohort_id,signature,n_signature_genes,n_probed,coverage,restricted_gsea_flag,blocked_flag
MoTrPAC_24hr,Vascular_UP,100,82,0.82,0,0
MoTrPAC_24hr,MuSC_UP,100,89,0.89,0,0
MoTrPAC_24hr,FAP_DOWN,100,87,0.87,0,0
MoTrPAC_24hr,MuSC_DOWN,100,81,0.81,0,0
MoTrPAC_24hr,Vascular_DOWN,100,88,0.88,0,0
MoTrPAC_24hr,FAP_UP,100,64,0.64,1,0
GSE28422,FAP_DOWN,100,0,0.0,1,1
GSE28422,FAP_UP,100,0,0.0,1,1
GSE28422,MuSC_DOWN,100,0,0.0,1,1
GSE28422,MuSC_UP,100,0,0.0,1,1
GSE28422,Vascular_DOWN,100,0,0.0,1,1
GSE28422,Vascular_UP,100,0,0.0,1,1
GSE8479,FAP_DOWN,100,73,0.73,0,0
GSE8479,FAP_UP,100,34,0.34,1,1
GSE8479,MuSC_DOWN,100,62,0.62,1,0
GSE8479,MuSC_UP,100,78,0.78,0,0
GSE8479,Vascular_DOWN,100,77,0.77,0,0
GSE8479,Vascular_UP,100,68,0.68,1,0
