gene_symbol,logFC,moderated_t,p_value
DNAJB4,-1.196971623676384,-14.353164615635825,1.1090317168779841e-17
STRN3,-1.0037399825052824,-13.340519294980153,1.3582845917850827e-16
ZAK,-1.2128588002850411,-13.221879355587342,1.8361581990761759e-16
RHOQ,-0.9903569062846409,-12.694609508972297,7.157367906928016e-16
CAP2,-1.0536108700465685,-12.410059702655792,1.5128855152559657e-15
CLIC5,-1.0153335144265991,-12.347771787944357,1.7846241454393066e-15
TSNAX,-0.9606988726734562,-12.332688854094831,1.8575928174228768e-15
SDPR,-0.8548560876941436,-12.127619477418166,3.2122585743089757e-15
PRRX1,-0.8862855870188739,-12.039749490958483,4.0685386136776e-15
CCNI,-0.9499731494093726,-11.710512302620074,9.948838946821626e-15
ZRANB1,-0.8501047936976756,-11.680872702461247,1.0790159788358792e-14
NAA50,-0.9305247700911026,-11.4851280856057,1.8496641740272654e-14
TRDN,-1.0749002711843134,-11.441412036451167,2.0876614996191887e-14
CEP350,-0.9544694418114007,-11.271586435011175,3.3487887413529974e-14
CCNG1,-1.0322838186262393,-11.232407897931875,3.736487998795115e-14
ITGB1,-0.9254224074222808,-11.23102562344528,3.750971047909113e-14
CCSER2,-0.8446358558227001,-11.138757650032952,4.858881770364752e-14
SUB1,-0.8298687242013159,-11.113299196416955,5.219536480575098e-14
PER2,-0.9816848688175677,-11.071502009322941,5.871692176616317e-14
PRKAR1A,-0.8130685112390234,-10.906118481007086,9.376614524009334e-14
UBR3,-0.8276958460191093,-10.902793984897226,9.465601432218705e-14
PROSC,-0.7715154107932112,-10.897704431269977,9.603499247486604e-14
KIF5B,-0.7755850483705875,-10.806221674171374,1.2461848784197412e-13
EIF1AX,-0.7641910131369534,-10.772874461293085,1.3707122493609675e-13
ITGB6,-0.8062768560304385,-10.706181225406558,1.6590542562317445e-13
NAP1L1,-0.8828757805763802,-10.683570336587094,1.7702222837252306e-13
SUCLG2,-0.8296542036562636,-10.671435505555682,1.8329747939107434e-13
H2AFV,-0.7512077285489335,-10.670313646780874,1.8388891545429347e-13
CFL2,-0.7628350257158406,-10.660656178368974,1.8906111523974923e-13
CNBP,-0.8196955673340791,-10.643786682643528,1.9845302683680575e-13
HSPH1,-0.8329684157926562,-10.605017101018893,2.2187502442848152e-13
SERBP1,-0.9714196131206515,-10.591066332936606,2.309742346579237e-13
ATP1B4,-0.8818410973662857,-10.560505044506153,2.5225509792461573e-13
DCN,-0.8584636784941659,-10.51269324440741,2.896191171466509e-13
PSMD4,-0.745804393074364,-10.509387640699227,2.9240134791402994e-13
DNAJB6,-0.8075286581364524,-10.480360451435836,3.1802892217885094e-13
KCMF1,-0.7956370134321069,-10.419027221098123,3.799430280597331e-13
EEF1B2,-0.842323820799679,-10.343187133846689,4.737340658164474e-13
DEK,-0.7808226502371093,-10.3420442900379,4.753143766355061e-13
LYPLA1,-0.7486106914876836,-10.336413276179298,4.831793814878614e-13
NAA30,-0.8018551494227987,-10.304773011106848,5.29895290002668e-13
PRKAA2,-0.9034863623819708,-10.273652026675691,5.80321485657418e-13
SRSF10,-0.7275321870726886,-10.228127010122058,6.630056376560443e-13
FAM174A,-0.7509977986392283,-10.226527649277424,6.66118715582208e-13
ALDOA,-0.8822759466735023,-10.222976109277543,6.73084776494991e-13
ANKRD46,-0.7835374783149869,-10.212641146019873,6.937795958790148e-13
MOB4,-0.7742669747016581,-10.203649986246443,7.123084234015626e-13
CEP170,-0.7107467531060484,-10.137688355735255,8.645324772894303e-13
CNST,-0.9069338923874491,-10.121926853744226,9.055576125402718e-13
JAK1,-0.818385180736881,-10.07865927302847,1.028632201091137e-12
EIF2S1,-0.7546672338776398,-10.077344650985964,1.0326265701212333e-12
MURC,-0.7895739961627479,-10.069859714753537,1.0556707466581458e-12
UBA2,-0.8260387816076469,-10.058828466761716,1.0905881187302705e-12
PUM1,-0.7549709409580708,-10.058603952171223,1.0913108194145146e-12
WDR47,-0.6997584753218569,-10.043874645496299,1.1398011917618186e-12
ATF1,-0.824682353480503,-10.011192219191553,1.2553530854157535e-12
VEZT,-0.7918016815586498,-10.006795337812687,1.2717809829122968e-12
ENDOD1,-0.7227832008704739,-9.987279246523407,1.347372430650747e-12
RCN2,-0.7707042680787565,-9.969814750601023,1.4188775103324422e-12
IPO7,-0.8528988253161025,-9.94783368145256,1.5143768487166768e-12
ASAH1,-0.7281554219717497,-9.942861135592082,1.5368702729263219e-12
FBXO3,-0.7528109880733146,-9.903493279291846,1.727349881600392e-12
NEDD1,-0.7964200429999245,-9.896792070418753,1.7620829935919693e-12
NR3C1,-0.7056976317646998,-9.882216138981619,1.8400986722295405e-12
SPOP,-0.7863685244135799,-9.85097057254747,2.0193551904501874e-12
CRBN,-0.7221597505221302,-9.845126084233955,2.054803086834078e-12
SERINC1,-0.7996177757854793,-9.840149253847999,2.0854857274199102e-12
ZFAND6,-0.7551748684599932,-9.826899948150569,2.1694541436555673e-12
EIF2A,-0.7614970247958748,-9.815204451065394,2.2464217321689048e-12
ARL14EP,-0.7627913385427291,-9.784574106837457,2.461390675769622e-12
APPL1,-0.7511640261246235,-9.766167946524686,2.6004896737987118e-12
MARCH6,-0.8013625530716841,-9.71668274635863,3.015327054458842e-12
FNTA,-0.7360956578881112,-9.711572120310876,3.06182642261287e-12
