stratum,compartment,direction,expected_sign,n_cohorts,sign_concordant_n,sign_discordant_n,sign_discordant_with_motrpac_n,cohorts_included,NES_values,fisher_p,stouffer_p,fisher_p_sig_rand,stouffer_p_sig_rand,bonferroni_alpha,pass_bonferroni
ACUTE,Vascular,UP,-1.0,1,1,0,0,MoTrPAC_24hr,-1.644,,,,,0.0020833333333333333,0
CHRONIC,Vascular,UP,-1.0,1,1,0,0,GSE8479,-1.248,,,,,0.0020833333333333333,0
POOLED,Vascular,UP,-1.0,2,2,0,0,MoTrPAC_24hr;GSE8479,-1.644;-1.248,0.0008059709231531228,0.0005720533181828706,0.0009267385860363364,0.0006091658212993524,0.0020833333333333333,1
ACUTE,Vascular,DOWN,1.0,1,0,1,0,MoTrPAC_24hr,-0.846,,,,,0.0020833333333333333,0
CHRONIC,Vascular,DOWN,1.0,1,0,1,0,GSE8479,-1.899,,,,,0.0020833333333333333,0
POOLED,Vascular,DOWN,1.0,2,0,2,0,MoTrPAC_24hr;GSE8479,-0.846;-1.899,0.8962113841789034,1.0,0.8842113297543837,0.9925066669336271,0.0020833333333333333,0
ACUTE,MuSC,UP,-1.0,1,1,0,0,MoTrPAC_24hr,-1.243,,,,,0.0020833333333333333,0
CHRONIC,MuSC,UP,-1.0,1,1,0,0,GSE8479,-0.955,,,,,0.0020833333333333333,0
POOLED,MuSC,UP,-1.0,2,2,0,0,MoTrPAC_24hr;GSE8479,-1.243;-0.955,0.07896260051050587,0.0628224946363293,0.09692868071650444,0.07577566848106447,0.0020833333333333333,0
ACUTE,MuSC,DOWN,1.0,1,0,1,0,MoTrPAC_24hr,-0.937,,,,,0.0020833333333333333,0
CHRONIC,MuSC,DOWN,1.0,1,0,1,0,GSE8479,-1.366,,,,,0.0020833333333333333,0
POOLED,MuSC,DOWN,1.0,2,0,2,0,MoTrPAC_24hr;GSE8479,-0.937;-1.366,0.9486158885479216,0.9691494942830968,0.9467795311018178,0.9639932306134888,0.0020833333333333333,0
ACUTE,FAP,UP,-1.0,1,1,0,0,MoTrPAC_24hr,-0.514,,,,,0.0020833333333333333,0
POOLED,FAP,UP,-1.0,1,1,0,0,MoTrPAC_24hr,-0.514,,,,,0.0020833333333333333,0
ACUTE,FAP,DOWN,1.0,1,1,0,0,MoTrPAC_24hr,1.059,,,,,0.0020833333333333333,0
CHRONIC,FAP,DOWN,1.0,1,0,1,0,GSE8479,-1.070,,,,,0.0020833333333333333,0
POOLED,FAP,DOWN,1.0,2,1,1,1,MoTrPAC_24hr;GSE8479,1.059;-1.070,0.4241168361254808,0.494216628641352,0.3233190414253893,0.4158177711658772,0.0020833333333333333,0
