,SCENIC__FAP__ATF3,SCENIC__FAP__CEBPB,SCENIC__FAP__EGR1,SCENIC__FAP__FOS,SCENIC__FAP__FOSL2,SCENIC__FAP__IRF1,SCENIC__FAP__JUNB,SCENIC__FAP__KLF10,SCENIC__MuSC__ATF3,SCENIC__MuSC__CEBPB,SCENIC__MuSC__EGR1,SCENIC__MuSC__FOS,SCENIC__MuSC__FOSL2,SCENIC__MuSC__IRF1,SCENIC__MuSC__JUNB,SCENIC__MuSC__KLF10,SCENIC__Vascular__ATF3,SCENIC__Vascular__CEBPB,SCENIC__Vascular__EGR1,SCENIC__Vascular__FOS,SCENIC__Vascular__FOSL2,SCENIC__Vascular__IRF1,SCENIC__Vascular__JUNB,SCENIC__Vascular__KLF10,CollecTRI__ATF3,CollecTRI__CEBPB,CollecTRI__EGR1,CollecTRI__FOS,CollecTRI__FOSL2,CollecTRI__IRF1,CollecTRI__JUNB,CollecTRI__KLF10
GTEX-1117F-0426-SM-5EGHI,-3.5446660678550876,4.597590298684042,4.366247731679067,8.991296469506107,0.6439989036503645,2.9985992213498744,0.008964207306479116,4.933416927520524,3.4751990878624035,6.40403201375505,8.07475783864973,5.0894095847008005,2.788508740257954,3.5488624451330786,-3.976185574232522,2.165575139715681,-0.9797992811585919,4.040849997686386,-6.5550119740048975,4.497037110571557,5.101447948862728,2.511288389725379,3.3823402724691642,1.7853387951179491,3.716900099009517,12.361884248117024,8.878034579300426,7.066775074938075,-1.447554643599495,2.6047329185097947,3.3325486976617547,3.0742128451733692
GTEX-111CU-2026-SM-5GZZC,-3.4475792149576443,5.011475329565321,4.458866876848779,8.834175567035008,0.7754286412797264,3.1555061613017967,-0.38800364253048536,5.3491537161126335,3.031832578231059,7.216012598194178,8.076376553300852,4.420048653848603,3.1556317797362574,3.495178210204578,-3.48044866583103,2.7689986939602287,-0.5533253193603803,4.752207959837636,-6.067009072890693,3.452591782793752,4.599729140130118,3.0013399177583,2.8487829692373206,2.4796887061800885,2.8517565504368303,12.05874487738313,8.647692113572809,5.964890886700196,-1.5291671192251426,1.9022207153985935,3.5451708659915764,2.544318641553446
GTEX-111FC-0326-SM-5GZZ1,-3.4500695615630086,3.524618177635578,4.98537686024168,10.801958780927084,0.9117506143310594,2.595090261565659,0.8676532689718336,4.110998625114156,2.4590075371612095,5.488827855338191,9.381047159179847,3.3185450966957863,2.633979076923912,2.7402053926310006,-5.44350098570224,2.736617457959208,-0.8142358305147267,4.0774875233331835,-7.106666473847695,4.446851166780897,3.4424562168134827,2.4283637249979746,2.1592411866914203,1.4645629087136518,3.7164040746240325,10.437902447159496,8.56400730251847,5.470487945388009,-1.474480249249435,2.4129450060477953,3.338589399999997,2.4238577695687176
GTEX-111VG-2626-SM-5GZY2,-3.494578832227199,3.908606020951256,4.886453896444707,10.59768609175428,0.7243834333173228,2.5371991916277397,1.2106483959395795,4.410435369647583,2.710183762423216,5.246689867288314,8.581380812781859,3.568011433161076,2.6487780799155356,3.163513105378456,-4.898998819317462,3.222087545490639,-0.6215024025993394,4.546132638273339,-6.640801345866825,4.52916611643436,4.15611486580259,3.199399791624215,2.839555402747977,1.4987478576050983,3.986754486623931,11.240664519378024,8.757860926324451,6.404401869462471,-1.5100090346593171,3.179647592100561,3.489949015878061,2.990412749009642
GTEX-111YS-2326-SM-5987L,-3.534232742984178,5.204345814043972,4.667845250418859,10.70888221232492,0.7890599396017615,3.0513069711191867,-0.22273336775469033,4.879422682720738,3.0215451964789763,7.068306214957771,8.406606739445964,4.345718317847695,3.056416204169185,3.8024242780855952,-3.3832934455603887,2.8554979767302013,-0.6767738940247803,4.8769250878482895,-6.817867181648838,4.740198575244147,4.6202931135172935,3.006356193316544,2.613146089348616,2.3583187773747505,3.6585782902028803,12.71793106701224,9.771123901643843,6.20865524299093,-1.4211964608919232,2.234069084390024,3.9306255125411425,3.1480014271625967
GTEX-1122O-2426-SM-5GIDN,-3.3146554523033447,5.500681339750393,3.9261251486886843,10.145841880853768,0.7585926003471488,2.946052670413003,-0.15260407386520483,4.883491097881299,3.2499065926250603,6.862344563379626,8.346466523214957,4.972853751245875,2.584763793197937,3.6682580696477487,-3.297730271013097,2.339076131376428,-0.608839370854545,4.729972479726493,-6.691593348477754,3.684537451523584,4.67972698234859,2.4726319805738046,2.693497976972429,2.2079226852225635,3.4652234457351034,12.092833705238194,9.473293976102857,6.01940436340981,-1.04149671696347,2.0679047869143807,3.4911107353177306,2.605390306702626
GTEX-1128S-2426-SM-5H11B,-3.426863232391662,5.271469031006216,4.190879687243269,9.486877208596566,0.5219985372166123,2.276701887796236,0.7482667959968382,4.794435209745571,2.3242324280705366,6.824770048256316,9.109784184011605,4.941200735288782,2.4998349018883013,3.4372278410275565,-4.0159907679741105,2.3712159687346173,-1.0077727299369366,4.197245637679219,-5.508331766540418,3.5512237810345564,4.7828441738628475,2.754482027514177,3.1577117823460084,1.5599220316356812,3.79351551222892,11.938324084691471,8.391282848942412,5.7335762480546535,-1.5347867646683793,2.3241440647030407,3.9883568389099926,3.118668971249711
GTEX-113JC-2726-SM-5EGIS,-3.741823970816797,3.7757762345320796,5.123447685436471,11.719446317303802,0.781928054785729,2.1602857213672975,-0.15797352425235703,4.765738460745051,2.3661178540460703,5.774460016499248,9.26419524213209,3.8560262887272794,2.525166919271884,3.196399365000633,-4.7500876952374345,2.8359925902668794,-0.8226363736812686,4.205295092124109,-6.6719503206712645,4.722408529385545,4.157979428338115,3.504487535980966,2.4258997879568907,1.7812067216791991,4.590495120900722,11.54991606746397,9.142217440410757,6.537119016211697,-1.6793661769427366,3.2144662598630434,3.8674801470820244,3.115263719862044
GTEX-117XS-2526-SM-5H11G,-3.3756117197279503,3.6946400770988146,5.032794483360597,10.923933897923877,0.7424229183426403,2.3824858630242587,1.208331591547111,4.56079311255654,2.502606880198079,5.239683861497377,9.030751053355532,4.191113894091825,2.914545395621442,2.937808985261382,-5.406159804038991,3.2272742492610393,-0.9188755804938972,4.414557847161093,-7.253408075378131,4.279259206002555,3.5491923675991304,2.994005912520367,2.6620405357652563,1.5773155493606614,3.9391317678290383,11.266309466714183,8.588070134285486,5.784252603874358,-1.5492427924592038,2.6037906380175078,3.820440738580815,2.575026194910885
GTEX-117YW-2426-SM-5Q5AE,-3.0627224174089096,3.708401133049281,5.008235144513675,10.538828970792483,0.7331309723565249,2.5133326770209607,1.3606746464567299,4.6133116844918085,2.692821368845416,5.3542319893127965,8.569836669573291,4.204007857191554,3.0685344165070085,3.4068330744914257,-5.08565131146692,3.4590780105978474,-0.778163224453847,4.586513465599861,-6.4180288264512395,4.820590314899961,4.284031819350998,3.207622107606973,3.093463742986899,1.3886997024597014,3.6476607828770335,10.756918429102532,8.902570030910537,5.717775974471621,-1.6655646818440748,2.6904737671586036,3.7011583093417193,2.8464487430657246
