ligand,receptor,pathway,function,ligand_mean_vasc,ligand_std_vasc,receptor_mean_fap,receptor_std_fap,interaction_score,rho_age,p_age,n_age,rho_junb,p_junb,n_junb,rho_sasp,p_sasp,n_sasp,fdr_age
ANGPT2,TIE1,ANGPT,TIE1 signaling,0.10148275643587112,0.06492430716753006,-0.04308510199189186,0.04650023952126503,-0.004372395109385252,0.46534744701088754,0.025246461991716092,23,0.44180422748655257,0.03480199675912506,23,0.4031620553359684,0.05645077604087721,23,0.17672523394201264
ANGPT2,TEK,ANGPT,vessel destabilization,0.10148275643587112,0.06492430716753006,-0.08222328871488571,0.037776730954647064,-0.008344246074557304,0.46534744701088754,0.025246461991716092,23,0.44180422748655257,0.03480199675912506,23,0.4031620553359684,0.05645077604087721,23,0.17672523394201264
SEMA3A,NRP1,SEMA,"axon guidance, anti-angiogenesis",0.04929807037115097,0.04362928494811058,-0.442857950925827,0.40564852952957153,-0.021832043305039406,0.34092648378637114,0.11139235967928972,23,-0.7758255593877881,1.3614288598201796e-05,23,-0.7427724466934221,4.919256286660221e-05,23,0.509890658100479
SEMA3A,NRP2,SEMA,axon guidance,0.04929807037115097,0.04362928494811058,-0.08355693519115448,0.041360098868608475,-0.004119195509701967,0.34092648378637114,0.11139235967928972,23,-0.7758255593877881,1.3614288598201796e-05,23,-0.7427724466934221,4.919256286660221e-05,23,0.509890658100479
CXCL1,CXCR2,CXCL,neutrophil chemotaxis,0.014894465915858746,0.025232208892703056,-0.0201179888099432,0.007214998360723257,-0.00029964669374749064,0.24949518693862738,0.250935129985306,23,0.836714741828559,6.511691650493435e-07,23,0.6454452066640951,0.0008809651774563755,23,0.6736690659409049
FGF2,FGFR1,FGF,fibroblast proliferation,0.07239930331707001,0.02588687092065811,-0.263175368309021,1.0222316980361938,-0.019053712487220764,0.2435648339674007,0.2627455664113215,23,0.4893526645254641,0.017793783605555884,23,0.475296442687747,0.02190174042331358,23,0.6736690659409049
FGF2,FGFR3,FGF,fibroblast differentiation,0.07239930331707001,0.02588687092065811,-0.04233932867646217,0.0314362533390522,-0.0030653378926217556,0.2435648339674007,0.2627455664113215,23,0.4893526645254641,0.017793783605555884,23,0.475296442687747,0.02190174042331358,23,0.6736690659409049
FGF2,FGFR2,FGF,fibroblast proliferation,0.07239930331707001,0.02588687092065811,-0.07515596598386765,0.02470541186630726,-0.005441239569336176,0.2435648339674007,0.2627455664113215,23,0.4893526645254641,0.017793783605555884,23,0.475296442687747,0.02190174042331358,23,0.6736690659409049
FGF7,FGFR2,FGF,epithelial/fibroblast migration,0.02429298684000969,0.030958956107497215,-0.07515596598386765,0.02470541186630726,-0.0018257629126310349,0.22456578447817527,0.30293809402844873,23,0.6437437934458788,0.0009183890264183314,23,0.5581988389880547,0.00563946576575935,23,0.6736690659409049
CXCL2,CXCR2,CXCL,neutrophil chemotaxis,0.21994151175022125,0.257354736328125,-0.0201179888099432,0.007214998360723257,-0.004424781072884798,0.2017369975477972,0.3559638904821988,23,0.9242800397219462,3.042400045837139e-10,23,0.7374960703222834,5.9338305192033856e-05,23,0.6736690659409049
PDGFB,PDGFRB,PDGF,pericyte recruitment,0.13307294249534607,0.08445347845554352,-0.3715958893299103,0.6160265207290649,-0.04944935813546181,0.19603998831522496,0.36999224269348074,23,0.3893028282560878,0.06633975286325888,23,0.3043478260869565,0.15796155978532392,23,0.6736690659409049
PDGFB,PDGFRA,PDGF,fibroblast proliferation,0.13307294249534607,0.08445347845554352,0.6671016216278076,0.3006100058555603,0.08877317607402802,0.19603998831522496,0.36999224269348074,23,0.3893028282560878,0.06633975286325888,23,0.3043478260869565,0.15796155978532392,23,0.6736690659409049
IL6,IL6R,IL6,"inflammation, acute phase",0.056252770125865936,0.08770205825567245,-0.35241901874542236,0.16714228689670563,-0.019824545830488205,0.1927634316697883,0.3782024275687176,23,0.855125345303799,2.019609328218543e-07,23,0.706231695354151,0.00016587844465592474,23,0.6736690659409049
FGF6,FGFR2,FGF,muscle precursor,0.002429773798212409,0.00449046166613698,-0.07515596598386765,0.02470541186630726,-0.00018261199875269085,0.15049371610090098,0.4930832542752821,23,0.17837373957902034,0.41546950689223705,23,0.1046662043314782,0.6345888903253254,23,0.7902464439205128
FGF6,FGFR1,FGF,muscle precursor,0.002429773798212409,0.00449046166613698,-0.263175368309021,1.0222316980361938,-0.0006394566153176129,0.15049371610090098,0.4930832542752821,23,0.17837373957902034,0.41546950689223705,23,0.1046662043314782,0.6345888903253254,23,0.7902464439205128
VEGFC,KDR,VEGF,lymphangiogenesis,0.10968124121427536,0.05040330812335014,-0.07345076650381088,0.05288539454340935,-0.008056171238422394,0.13663393125000525,0.534167098966991,23,0.07627561774992052,0.7294104570133372,23,-0.05731225296442688,0.7950603500142361,23,0.7902464439205128
EFNA1,EPHA4,Ephrin,vascular patterning,0.1435500681400299,0.08629490435123444,-0.14824439585208893,0.04707939922809601,-0.021280493587255478,0.12673292173913533,0.5644617456575092,23,0.7404678476372153,5.341994919541587e-05,23,0.7104743083003953,0.00014539755630507575,23,0.7902464439205128
EFNA1,EPHA2,Ephrin,vascular patterning,0.1435500681400299,0.08629490435123444,-0.06258213520050049,0.04114855080842972,-0.008983669802546501,0.12673292173913533,0.5644617456575092,23,0.7404678476372153,5.341994919541587e-05,23,0.7104743083003953,0.00014539755630507575,23,0.7902464439205128
FGF10,FGFR2,FGF,progenitor expansion,0.007367153652012348,0.009059972129762173,-0.07515596598386765,0.02470541186630726,-0.0005536855314858258,0.08308494728654804,0.706252856513853,23,-0.2463920025155097,0.25707162654207705,23,-0.033764070625269704,0.8784457374022145,23,0.8997449994169325
TNF,TNFRSF1A,TNF,"pro-inflammatory, NF-κB",0.010237256065011024,0.020409369841217995,-0.3873051404953003,0.2777835726737976,-0.0039649419486522675,0.07479247169175467,0.7344857138097408,23,0.8241945806133353,1.3340921243249268e-06,23,0.693127631253596,0.00024578769599917824,23,0.8997449994169325
TNF,TNFRSF1B,TNF,anti-inflammatory decoy,0.010237256065011024,0.020409369841217995,-0.11782503873109818,0.07593982666730881,-0.001206205110065639,0.07479247169175467,0.7344857138097408,23,0.8241945806133353,1.3340921243249268e-06,23,0.693127631253596,0.00024578769599917824,23,0.8997449994169325
HGF,MET,HGF,"fibroblast motility, FAP→MuSC",0.03781503438949585,0.029738470911979675,-0.15383800864219666,0.1024477481842041,-0.005817389581352472,0.03689037478879397,0.8672833482883309,23,0.6777326725686426,0.00038052316457174985,23,0.4250061903901152,0.04321759156644185,23,0.9180465225391573
VEGFA,KDR,VEGF,"angiogenesis, EC survival",0.06815601140260696,0.04830564185976982,-0.07345076650381088,0.05288539454340935,-0.005006111226975918,0.0,1.0,23,0.7662232510332925,2.0194726447025103e-05,23,0.8270750988142292,1.1368640281993547e-06,23,1.0
VEGFA,FLT1,VEGF,VEGF sequestration,0.06815601140260696,0.04830564185976982,-0.060543861240148544,0.1494436264038086,-0.004126428160816431,0.0,1.0,23,0.7662232510332925,2.0194726447025103e-05,23,0.8270750988142292,1.1368640281993547e-06,23,1.0
ANGPT1,TEK,ANGPT,vessel stabilization,0.10663346946239471,0.05615909397602081,-0.08222328871488571,0.037776730954647064,-0.008767754770815372,-0.033168381861414326,0.8805752359049059,23,0.3660239059557874,0.08585354922333588,23,0.5207509881422925,0.01084303263686013,23,0.9180465225391573
ANGPT1,TIE1,ANGPT,TIE1 trans-activation,0.10663346946239471,0.05615909397602081,-0.04308510199189186,0.04650023952126503,-0.004594313912093639,-0.033168381861414326,0.8805752359049059,23,0.3660239059557874,0.08585354922333588,23,0.5207509881422925,0.01084303263686013,23,0.9180465225391573
TGFB1,TGFBR1,TGF-beta,"fibrosis, SMAD",0.08092379570007324,0.032819394022226334,-0.2309523969888687,0.15726913511753082,-0.01868954487144947,-0.03465353328804482,0.8752675614948702,23,-0.19167963681311193,0.38094082286752673,23,-0.3112648221343874,0.1482533703130439,23,0.9180465225391573
JAG2,NOTCH1,Notch,EC arterial spec,0.15144987404346466,0.07481912523508072,-0.06382719427347183,0.05713315308094025,-0.009666620753705502,-0.03465353328804482,0.8752675614948702,23,0.5864307234799083,0.003271451989722213,23,0.7233201581027668,9.617521754027485e-05,23,0.9180465225391573
