gene,log2FC,lfcSE,stat,pvalue,padj
7SK,-7.00777337177434,2.1932330631830257,-3.1951795226012147,0.0013974388644214621,0.001530187107697097
A1BG,-11.451652459766551,2.7967191077964157,-4.094673801113159,4.227631798082049e-05,7.111396855167786e-05
A1BG-AS1,-11.884116896637906,2.587211437278091,-4.593407684197912,4.360659715718867e-06,1.5286208714375595e-05
A2M-AS1,-11.65900489683594,2.841305978501716,-4.103396461011917,4.071286981572591e-05,7.058211006108699e-05
A2ML1,-7.684307834731726,3.153462422616349,-2.4367843357258874,0.014818514263650244,0.015071492179108581
A2ML1-AS1,-7.69572505476853,3.145556928437391,-2.4465381583767782,0.01442355286039617,0.014677700957725037
A2MP1,-8.533889664791113,2.311851843324551,-3.69136529636734,0.00022305351704250247,0.00028111721718672905
A3GALT2,-12.36009756961482,3.2772789375387297,-3.7714511963078072,0.00016230090363774334,0.00021680022170491336
A4GALT,-10.018004604327778,2.24143241262467,-4.469465395388347,7.84153439064859e-06,2.1775040962799407e-05
AAAS,-11.177153419045105,2.2348836063650492,-5.001223950639786,5.696749153179778e-07,5.074844341072023e-06
AACS,-10.385767535053514,2.0409253979484334,-5.088754123738883,3.6042355902009076e-07,3.972575690399562e-06
AADAC,-12.322413382150426,2.6383119763382896,-4.670567200795067,3.00369197826021e-06,1.245431917506097e-05
AADACL2-AS1,-12.214036523851092,3.2278503186827576,-3.7839538138297186,0.00015435647981958781,0.0002076831300746255
AADAT,-11.984387384726478,2.408253035301763,-4.9763821363666585,6.478369265575001e-07,5.429981555103756e-06
AAGAB,-11.058721017033157,2.5583060416373873,-4.322673220892395,1.5414996853498468e-05,3.4402613738796506e-05
AAK1,-10.056545965930175,2.5908286751164242,-3.881594357248753,0.00010377387233714537,0.00014769200325898246
AAMDC,-11.82765218716386,3.1605619977561275,-3.742262355733259,0.00018237096958129408,0.00023955835609482354
AAMP,-9.76061088453429,3.0516509176803224,-3.198469008360139,0.0013815938224938779,0.0015140818350004308
AAR2,-12.196187812995412,3.0562857965540338,-3.990525960218324,6.592693218341435e-05,0.00010090047442538654
AARD,-12.980503350703575,2.900857138467369,-4.4747130696555635,7.651399278575809e-06,2.144077587172642e-05
AARS,-11.25884203866913,2.4203415644969493,-4.651757505560667,3.2911796351702327e-06,1.3097032125262594e-05
AARS2,-10.73262488136007,2.1302017198325367,-5.038313874896225,4.696508189847378e-07,4.607841288931274e-06
AARSD1,-8.687555189328648,1.6981325380818286,-5.115946485038153,3.1217156648656334e-07,3.6930870431041765e-06
AASDH,-11.947983212818198,2.1994797567221136,-5.432186032311699,5.566784267201834e-08,1.425863761703707e-06
AASDHPPT,-11.594572310292888,3.210839830599445,-3.6110715333091683,0.00030493453420895456,0.00036889029175785624
AASS,-13.02133160170684,2.853087951293722,-4.5639432867123375,5.020164551362246e-06,1.6491401574016365e-05
AATF,-22.608811043146485,2.96158731570502,-7.634018056214003,2.2754802402677057e-14,1.7403580121425876e-12
ABALON,-12.558717994156531,2.519063536291874,-4.985470915371704,6.181107743955383e-07,5.2992247236867625e-06
ABAT,-10.613441086520123,2.4814638236229816,-4.277088783436024,1.8935329810710386e-05,3.996615062322137e-05
ABBA01000935.2,-13.03272006964327,3.1703270932441256,-4.110843987491265,3.942155066692195e-05,6.880460146083154e-05
ABCA1,-8.089965556544984,2.756750300331635,-2.9346022218884924,0.0033397552588735027,0.0035347694860045453
ABCA10,-17.40296510535462,2.95703589707631,-5.885273534406983,3.973961932758911e-09,1.6722402266864123e-07
ABCA11P,-8.966914184111298,2.565939344537597,-3.494593199640582,0.00047478481002996434,0.000553512194977515
ABCA12,-12.99564000210123,3.183452241835975,-4.082247514605818,4.4602257072483185e-05,7.372594172487929e-05
ABCA13,-11.722227587732643,2.648264882917924,-4.426380330511654,9.582750472182632e-06,2.4858930668012214e-05
ABCA17P,-11.57984735191897,3.0463496274688944,-3.8012207290665647,0.00014398496247950226,0.0001953689655331663
ABCA2,-11.106126165939772,2.2941342043770883,-4.841096978873277,1.291243337074509e-06,7.692752081060476e-06
ABCA3,-9.003068493655762,1.984600612124893,-4.536463628324825,5.720534968309712e-06,1.7755054211125872e-05
ABCA4,-12.142022570246775,3.2444177319980696,-3.7424350294032975,0.00018224566084444122,0.00023943010189515464
ABCA5,-9.828152783548202,1.879439899714938,-5.229298784727767,1.7015418113127663e-07,2.7243159132937573e-06
ABCA6,-10.00480939823466,2.0493275554416277,-4.8819962292844075,1.0501726488707353e-06,6.937513451352371e-06
ABCA8,-9.12414246170573,1.9144320672731523,-4.765978703387386,1.8793911136039652e-06,9.396540508144914e-06
ABCA9,-10.828861928699078,2.16676098179521,-4.99771872379164,5.801252071346273e-07,5.114273584237083e-06
ABCA9-AS1,-10.319973350391205,2.7657083317727063,-3.731403355818262,0.00019041605940429743,0.00024846277630281784
ABCB1,-9.977852962557069,1.9278377992657638,-5.1756703631172885,2.2709410104471066e-07,3.1463790413410067e-06
ABCB10,-9.324358755911256,1.8104579487862158,-5.150276349783534,2.601029262947478e-07,3.35610078527697e-06
ABCB11,-9.846614087474054,3.2317010297267825,-3.0468827397398557,0.0023122789349465803,0.002476472836041992
ABCB4,-10.964470091781191,2.567311196544402,-4.270799000346882,1.9477389463975982e-05,4.077948951030725e-05
ABCB5,-11.507659714599612,2.848758323018256,-4.039535267564312,5.3557214746578724e-05,8.51940545705309e-05
ABCB6,-10.288397238664047,2.2211939620403762,-4.631922026842348,3.622866050638086e-06,1.3817059386859102e-05
ABCB7,-10.044533932821258,2.088441437933416,-4.809583716534885,1.5124494297760725e-06,8.282822806367104e-06
ABCB8,-10.64557167262438,2.3196020306424474,-4.589395737714514,4.445309653017192e-06,1.543542640331223e-05
ABCB9,-10.187074444785749,1.7611190106204548,-5.784432729050359,7.275743095610142e-09,2.8999216186886974e-07
ABCC1,-9.793822548626888,2.438854984157707,-4.015746164591793,5.925800936447873e-05,9.236725929512765e-05
ABCC10,-11.489316443311008,2.5351915177811684,-4.531932346226293,5.844656994991524e-06,1.7999889771407034e-05
ABCC11,-12.960289581895308,3.013625035628117,-4.3005647446760245,1.7036338655356204e-05,3.696930811811607e-05
ABCC13,-11.842775549377144,3.206219402425653,-3.6936884420378524,0.00022102458090104296,0.00027902612429703407
ABCC2,-10.902367840493358,2.3326076576784867,-4.673896960170264,2.955376471369641e-06,1.2360385726092241e-05
ABCC3,-11.383670113462516,2.947863829133842,-3.861667557692898,0.00011261573681046119,0.0001583053502422869
ABCC4,-10.298831226528488,2.8847643573025312,-3.5700771192828586,0.00035687614700509435,0.00042623682891312746
ABCC5,-7.7380489785067486,2.1640899621997396,-3.575659567609301,0.0003493460151519784,0.0004179045937662161
