gene,log2FC,lfcSE,stat,pvalue,padj
WASH7P,0.39672137942298774,1.1811629290414722,0.33587354434238115,0.736966227845905,0.9959332481407847
CICP27,0.47352736207701135,1.9323960583483295,0.24504674392771625,0.8064202380314113,
AL732372.2,-0.9652360975922512,0.6565874896684969,-1.470079940267499,0.1415401045433227,
AL669831.3,-0.21465263334720597,0.6678835900087825,-0.32139228535976355,0.7479131286695732,0.9961507761638594
MTND2P28,0.26701549491040477,0.6493386565773009,0.41121145677335436,0.6809174881693318,0.990355199561875
MTATP6P1,0.022611582683279386,0.5009782544158998,0.04513485861705248,0.9639998165652698,0.9996307528164792
LINC01409,-0.06853193426830656,0.5493557698440656,-0.12474963954189344,0.9007217576484206,0.9966799907951228
LINC01128,-0.6554023105277687,0.2994697749535242,-2.1885424351405174,0.028630113728780937,0.5843641447335399
NOC2L,0.22942975631555476,0.39460430119536255,0.5814172719875336,0.560959259453306,0.9902214277001209
PERM1,-4.156932245891218,0.9316447791755623,-4.4619283430856544,8.122538963090267e-06,0.005831692884821558
HES4,-0.41432346631540995,0.38879117973193655,-1.065670951180213,0.28657241349178697,0.95826724523925
ISG15,0.4583238952740796,0.7985836615873478,0.5739209519551995,0.5660212941860239,0.9902214277001209
C1orf159,-0.4290659290701006,0.2842655508555592,-1.5093841929798846,0.13120063020026274,0.898832652562713
SDF4,0.43355189298762403,0.536413713168567,0.8082416283257493,0.4189514979118536,0.9849493495464282
B3GALT6,0.22373784007744604,0.7288345515915606,0.3069802873489852,0.7588583766849555,0.9961507761638594
UBE2J2,0.15318859238074672,0.3346739400905557,0.457724889901189,0.647150103764188,0.990355199561875
SCNN1D,-0.6275031188856414,0.6580193811981458,-0.9536240676422943,0.3402739685299302,0.9765388686573797
ACAP3,-0.8121577890672369,0.2276078461900926,-3.568232829675574,0.000359397072617894,0.0680981553848701
INTS11,-0.037191131774411065,0.23719843805473767,-0.1567933249452029,0.8754077337059962,0.9964138064944252
CPTP,0.22444499558649925,0.8937175066430066,0.25113639815512,0.8017086557781608,0.9964138064944252
DVL1,-0.679647423896379,0.3272143387742215,-2.0770710306962954,0.03779500386413319,0.6352979311298192
MXRA8,0.13197655342957845,0.6118827628739397,0.2156892814069487,0.8292299567722975,0.9964138064944252
AURKAIP1,4.0225129383602785e-05,0.6333603120418628,6.351065676016663e-05,0.9999493258275587,0.9999493258275587
CCNL2,0.0010057497245200603,0.15984939152888492,0.006291858323016015,0.994979856507801,0.9996307528164792
MRPL20,0.3398619841716582,0.47677501714566334,0.7128351359648197,0.4759477807223724,0.9882462398351648
ATAD3C,1.5558406922958545,0.6809899155110787,2.2846750838126666,0.022331886668700382,0.5350869102513514
ATAD3B,-0.1258109261330719,0.3109765786002119,-0.4045672079208675,0.6857956667401998,0.990355199561875
ATAD3A,0.19399830384402864,0.3570096397523612,0.5433979429199588,0.5868558417349689,0.9902214277001209
SSU72,0.13269693721081613,0.4470715511664294,0.29681364619288336,0.7666087865642909,0.9961507761638594
MIB2,-0.061934155699379996,0.291495259639939,-0.21247054163378973,0.8317399574906912,0.9964138064944252
CDK11B,-0.4919478212311193,0.30402326820037734,-1.6181255603991587,0.10563554103813902,0.8628916534472458
SLC35E2B,0.0855711592334674,0.2726222919639875,0.313881739519566,0.7536108597710739,0.9961507761638594
AL691432.1,0.5570354919398413,1.2003790264390637,0.4640496707046711,0.6426121591994628,
AL031282.2,-0.9119123799864848,0.4474625972758091,-2.0379633639510564,0.04155359687632942,0.6637217803296673
AL031282.1,0.16714023010965856,0.5713377333804792,0.29254190707959493,0.7698723232747817,0.9961507761638594
NADK,1.7856232920980477,0.5675469492576091,3.1462124753445817,0.0016539979900012417,0.17768428414517773
GNB1,-0.3968884346856815,0.13910324521679254,-2.853193209598601,0.004328229734768779,0.29100469016072494
TMEM52,-2.1871516983787944,0.8686911288381348,-2.5177553053915567,0.011810534005234826,0.42868813758262503
FAAP20,0.7165697588209964,0.4596234437688744,1.5590365733853422,0.1189877240947533,0.8837522397108499
SKI,-0.3189312543696913,0.2782492819172449,-1.1462069270121091,0.251709542393021,0.9506824151944266
MORN1,0.14341947821989431,0.33089806114304543,0.4334249578993298,0.6647060722063711,0.990355199561875
RER1,0.2936498743285034,0.41952184707777507,0.6999632471442273,0.48395025718894713,0.9882462398351648
PEX10,0.5162182843084032,0.647178968210379,0.797643788913418,0.42507723223884963,0.9852075250955057
PANK4,0.8358438404693603,0.5447559578466673,1.5343454778784187,0.12494468312022554,0.8903803490839752
TNFRSF14,0.1126748422676206,0.22540822095640436,0.499870154644505,0.6171665085146818,0.990355199561875
TTC34,0.12952557972119394,0.9139634502126084,0.14171855525629978,0.8873023178980959,0.9964138064944252
PRDM16,-0.2279782617936431,0.38651061121477603,-0.5898370062263576,0.5552999300896362,0.9902214277001209
MEGF6,0.1381799069602961,0.2936314661811337,0.4705895752843343,0.6379338534991869,0.990355199561875
TPRG1L,-0.07139850967558983,0.7278029899542405,-0.0981014239582595,0.9218517568271953,0.9972772155044003
WRAP73,0.47223489945205926,0.5406835294306016,0.8734035230356912,0.3824431714165867,0.9841533258370131
TP73-AS1,0.3795171477616646,0.4359577236836869,0.8705365844992501,0.3840072352043866,0.9841533258370131
LRRC47,0.2703845314608083,0.46274307680110394,0.5843081074922811,0.5590130384949052,0.9902214277001209
CEP104,0.25045525072337405,0.2516162418015677,0.9953858659127846,0.31954863019403634,0.9704632319300046
DFFB,0.3285409538567747,0.3539212471704769,0.9282883027887924,0.35325804005272554,0.9772948296034504
C1orf174,0.12678201659936603,0.44106213366196284,0.2874470668038209,0.773770026926613,0.9961507761638594
NPHP4,0.16811563806120414,0.34012346815754163,0.4942782659835009,0.6211096722335812,0.990355199561875
KCNAB2,-0.6161838250617055,0.3108237240214018,-1.9824221172360645,0.047432016215118264,0.681198286050982
RNF207,-0.04177187598887472,0.30021063515357077,-0.13914189271644753,0.889338024584369,0.9964138064944252
ICMT,0.04459208996397477,0.5033085794773661,0.08859791345158281,0.9294014663898674,0.9974201800402079
GPR153,-0.3566837233756574,0.8343886269151883,-0.4274791288734963,0.669030383702679,0.990355199561875
ACOT7,1.2445624476991657,0.36205885085317224,3.4374589787445355,0.00058719965591799,0.09222245846030745
PLEKHG5,-0.16271060277656207,0.33434864738835013,-0.48664950209166447,0.6265067368749941,0.990355199561875
NOL9,0.13753261105192446,0.23418439694183185,0.5872834093472319,0.5570133816916032,0.9902214277001209
ZBTB48,0.19421903151900724,0.2871384873544548,0.676394980374943,0.4987899033883285,0.9902214277001209
KLHL21,-0.3154663739398607,0.4000798318133536,-0.788508564678244,0.4303992908338815,0.9861037953512967
PHF13,-0.05270738271305593,0.61626510410371,-0.08552712519673338,0.9318423316847056,0.9974963348834537
DNAJC11,-0.07073460443067114,0.21714597824609116,-0.3257467856508387,0.74461594332761,0.9961507761638594
CAMTA1,0.11910299894433542,0.18575758845707996,0.6411743387369322,0.5214094199738033,0.9902214277001209
VAMP3,0.6605353470237815,0.712553007719043,0.9269981880200386,0.35392747507327416,0.9772948296034504
PER3,-0.9627894943583365,0.2703627802267239,-3.5611022107072197,0.0003693012785217735,0.068741329649289
PARK7,0.32471371066712235,0.6195106330328704,0.5241455002595468,0.6001773437455251,0.9902214277001209
AL034417.4,-0.10433811332597928,0.8227378186788824,-0.12681818066115036,0.8990843058346786,
AL034417.3,0.19940564753705803,1.0413283627649548,0.19149161270090867,0.848140451051445,
ERRFI1,0.8642158602745497,0.6890440655537701,1.2542243718186552,0.20976046373387502,0.938026401907328
AL034417.2,0.029897212879993546,0.5647043436873369,0.052943125396865916,0.9577772234605022,0.9996307528164792
SLC45A1,-0.4815741911273002,0.3120855842255672,-1.5430837419880026,0.12281045887681094,0.8879229220183252
RERE,-0.1364937646286535,0.25261821318980326,-0.5403164043682777,0.5889788472311178,0.9902214277001209
RERE-AS1,1.1735756447350683,0.734374081564408,1.5980624509991512,0.11002907917534012,0.8704568182654855
ENO1,0.5463139298543841,0.7170780616879527,0.7618611683202223,0.4461428682506373,0.9880199420865312
SLC2A5,0.13833469591397968,0.7023167697053428,0.1969690912720453,0.8438517255199242,0.9964138064944252
GPR157,-0.4378221927732178,0.3828988592087713,-1.1434408388626203,0.25285560470077806,0.9509551981353603
MIR34AHG,1.6976189730961238,0.5892847628265282,2.8808126056974994,0.0039665139317429324,0.2758362659632917
H6PD,0.5044104242278259,0.37863670429290847,1.3321751919687652,0.182802626534866,0.9319438035563508
SPSB1,0.18598866634691097,0.3261345238699057,0.5702820545950585,0.5684864103306999,0.9902214277001209
LINC02606,1.4244510899007239,0.9596613722371556,1.4843267960031086,0.13772224482849635,
SLC25A33,-0.03978795977525397,0.2591436455194242,-0.1535363126327234,0.877975356433571,0.9964138064944252
TMEM201,-0.27266078523701226,0.4871449677833449,-0.5597117968347293,0.5756760345112275,0.9902214277001209
PIK3CD,-0.007171873744317964,0.44593317787331516,-0.01608284402277737,0.9871683002328355,0.9996307528164792
CLSTN1,-0.14184921415633983,0.2377940035170478,-0.5965214095323916,0.5508269556846961,0.9902214277001209
CTNNBIP1,-0.34172723608633754,0.26934162900970626,-1.2687501644018895,0.20453018458892624,0.9374009290682475
LZIC,0.2668265582007115,0.3691945351851801,0.7227261857136563,0.46984812448487645,0.9882462398351648
NMNAT1,0.15310337259753787,0.21773649940427575,0.7031589697475008,0.4819566858639235,0.9882462398351648
TMEM274P,0.4434954551372044,0.9647895679927481,0.4596810225258757,0.6457451931319808,0.990355199561875
UBE4B,-0.07724117561553702,0.3030077418982769,-0.2549148583849311,0.7987888599664859,0.9964138064944252
KIF1B,-0.44019952476149077,0.15634966558763597,-2.815481076387422,0.004870426521829891,0.3043613051738991
AL139424.2,0.3167584213617022,0.8647856401195194,0.36628547777218406,0.714152064836973,
PGD,0.5392778101949552,0.44972022090763863,1.1991406770782262,0.23047324959048576,0.9444235170986732
DFFA,0.10706158916767432,0.35414669196774995,0.30230859583300523,0.76241682619669,0.9961507761638594
PEX14,0.21839555752016693,0.3339339932050052,0.6540081631823922,0.5131065463978535,0.9902214277001209
CASZ1,-0.3942742096363114,0.24521330439333233,-1.6078826171840952,0.10786088959038433,0.8687209388764007
C1orf127,0.21689900377334667,1.4983907747935719,0.1447546310495859,0.884904604015613,
AL109811.3,-0.42990859365775436,0.545832190978888,-0.7876204459226966,0.4309187515922712,0.9861037953512967
MASP2,-0.950177078780224,0.7987238202138183,-1.1896190582194752,0.2341961517221054,0.9444235170986732
SRM,0.1738455468529371,0.5264232175616003,0.33023913279925626,0.7412192801829804,0.9961507761638594
EXOSC10,-0.20481659507639063,0.18497262983510968,-1.1072805487977897,0.2681726514096745,0.9563225615895302
AL109811.1,-1.278176489344069,0.804168328943082,-1.5894389810451448,0.11196131984315316,
MTOR,-0.08569268275421459,0.2150917332083683,-0.39840063342276627,0.6903348910749483,0.9909632976407323
UBIAD1,0.19412252847576586,0.4667346985845817,0.4159162133530275,0.6774713149791708,0.990355199561875
DISP3,-0.018368475840109227,1.0499725033696456,-0.017494244640845185,0.9860423242563023,
FBXO44,0.31489995372668234,0.7020546488277003,0.44854051497630026,0.653763153263177,0.990355199561875
FBXO6,0.683924360210626,0.6847461366762929,0.9987998815595283,0.3178916434265584,0.9691780472498485
AGTRAP,0.7060016532763572,0.6519994761020083,1.0828254916663462,0.27888588842146667,0.9571847823343556
C1orf167,0.5336394546417412,0.5123473385807467,1.0415579714339416,0.2976166628453385,0.9623540568593023
MTHFR,0.10212052708266253,0.2730110987764829,0.3740526577136328,0.70836513982015,0.9933405910444283
CLCN6,-0.10157015181321347,0.24804615373856131,-0.40948085782562704,0.6821868117187606,0.990355199561875
AL021155.5,0.1312500700672776,1.1298094778028558,0.11617009119318068,0.907517740002959,0.9966799907951228
KIAA2013,-0.19262442057410128,0.39709617414629705,-0.485082539483584,0.6276177971644308,0.990355199561875
PLOD1,-0.34038960195011825,0.3731550587914068,-0.9121934539828807,0.3616668892561813,0.9784303035411945
MFN2,-0.4060203703849502,0.3145901504046576,-1.29063281181145,0.19683103266465474,0.9344941372904791
MIIP,0.7578112960921894,0.48162903465356033,1.5734335797203116,0.1156184566991632,0.8795674421947395
TNFRSF1B,0.38685526268803017,0.21966092448576718,1.7611473847415962,0.07821346070759305,0.7940464617278744
VPS13D,-0.14035584149923663,0.21621870204220706,-0.6491383038264582,0.5162489855436921,0.9902214277001209
DHRS3,-0.03251759500950678,0.3441241853180441,-0.09449377985291442,0.9247169232964536,0.9972772155044003
LRRC38,-1.3642185912465403,0.8855992237741968,-1.5404469139353925,0.12345145336721976,0.8879229220183252
PDPN,-0.1350417731968741,0.48129921919753854,-0.28057758627164786,0.7790344092875088,0.9964138064944252
PRDM2,0.22342187131064184,0.17062153747654357,1.3094587858895426,0.19037898972861322,0.9329823484767057
KAZN,0.2762379037088602,0.3602803170862098,0.7667304890340721,0.4432417721735138,0.9880199420865312
KAZN-AS1,-0.5630965214072844,1.1089221148868817,-0.5077872592203866,0.6116025458115383,0.990355199561875
FHAD1,0.34098567709334193,0.6441137094909656,0.5293873924261266,0.5965367422671906,0.9902214277001209
EFHD2,0.033893544814887544,0.6397034596129164,0.052983213246019456,0.9577452828143298,0.9996307528164792
CASP9,-0.3693188341007484,0.34776548158451115,-1.061976687329733,0.28824626869199066,0.95826724523925
DNAJC16,0.47178946959079404,0.2874867627082638,1.6410824107040964,0.10078030942471078,0.8497458113930787
AGMAT,-1.2671852895310405,0.6859638023904222,-1.8473063521940931,0.0647027528452707,0.757752934997895
AL121992.1,0.895336807892114,1.5374067329166254,0.5823682105213394,0.5603186894126142,
DDI2,0.16759532391005633,0.21945932091803955,0.7636737560700253,0.4450616839557586,0.9880199420865312
PLEKHM2,-0.0398126288350378,0.22044342160328384,-0.18060248087913333,0.8566796084466284,0.9964138064944252
AL450998.3,-1.1109951455962477,0.8551349979289228,-1.2992043926245567,0.19387379443979658,0.9344941372904791
SLC25A34,-0.134238508446545,0.5589489625862711,-0.2401623715793657,0.8102043832135962,0.9964138064944252
FBLIM1,0.33290626770162685,0.4144953851873827,0.8031603718606626,0.42188204693618947,0.9852075250955057
UQCRHL,-0.6979374450934935,0.7191388729364078,-0.9705183120523801,0.33178820168132916,0.9747836918219414
AL450998.1,-1.064098512159051,0.7920874972061412,-1.3434103125126324,0.17913914947935816,0.9319438035563508
AL450998.2,0.7151768948542391,0.48303617806832577,1.4805866047430445,0.13871676704694216,0.9053989384176573
SPEN,0.05975453667093174,0.21758092119857836,0.27463132494229997,0.7835994975332905,0.9964138064944252
ZBTB17,0.3936905264997727,0.3876444582005866,1.015596942433413,0.30982136147680284,0.9673192017069536
HSPB7,-1.5224640828400524,0.8547976159245048,-1.781081339579351,0.07489916370839407,0.7824980762432662
MT1XP1,1.7803021837332,0.7571455378820574,2.351334181686114,0.018706225095327024,0.5137312064089606
FBXO42,-0.13926320546944804,0.31788606183427615,-0.43809157490538314,0.6613199015662348,0.990355199561875
SZRD1,0.05739559802550288,0.49777856189410197,0.1153034751177438,0.9082045839905509,0.9966799907951228
SPATA21,0.03363816710253384,0.45040531143343465,0.07468421496957683,0.9404659672237674,0.9986362622396362
NECAP2,-0.11358012091325038,0.5159927445254998,-0.22011960849894738,0.8257780039312197,0.9964138064944252
LINC01772,-0.12429855635806285,0.6078549242856542,-0.20448720803592638,0.8379727873139253,0.9964138064944252
CROCCP3,-0.5045224603987508,0.5508615421578243,-0.9158788947626387,0.35973041752246526,0.9783551886693496
NBPF1,-0.1236993522618824,0.30014522545290384,-0.4121316675127062,0.680242918750813,0.990355199561875
CROCCP2,-0.07398756297308857,0.24454686129979297,-0.30254963232746757,0.7622331039089012,0.9961507761638594
AL021920.2,0.19153539032656408,0.9834962177366476,0.19474949356424653,0.8455890633962275,0.9964138064944252
CROCC,-0.25434937555465403,0.32717104579722867,-0.7774201868471349,0.43691090629148355,0.9880199420865312
ATP13A2,-0.2400214303871398,0.24012331089591432,-0.9995757158753376,0.3175158800958542,0.9691780472498485
SDHB,0.22937860273479901,0.39360713944759146,0.5827602696859635,0.5600546942301428,0.9902214277001209
