Term,NES,pval,fdr,leading_edge
Interferon Alpha Response,1.7629082285559425,0.0,0.004185742315238719,IFIH1;TMEM140;PROCR;IL4R;IRF2;CD74;TRIM21;TRIM25;CASP8;PSMB9;STAT2;EPSTI1;IRF9;TENT5A;C1S;ADAR;OGFR;ELF1;EIF2AK2;SAMD9;ISG20;MX1;CD47;DDX60;PARP9;OAS1;PARP12;IFI35;TXNIP;RTP4;HLA-C;PSMB8;IFI44;GBP2;DHX58;GBP4;UBA7;SLC25A28;IRF1;PLSCR1
Interferon Gamma Response,1.721139952199085,0.0,0.0057553956834532375,IFIH1;APOL6;ST3GAL5;XAF1;CASP7;SERPING1;PML;MT2A;IL4R;IRF2;IL15RA;CD74;TRIM21;PSMB2;TRIM25;SOCS3;CASP8;PSMB9;STAT2;EPSTI1;IRF9;C1S;ADAR;OGFR;STAT3;EIF2AK2;HIF1A;RNF213;TNFSF10;ISG20;MX1;DDX60;PARP12;BTG1;SPPL2A;IFI35;CDKN1A;PELI1;OAS3;TXNIP;RTP4;NAMPT;PSMB8;EIF4E3;CFB;NLRC5;IFI44;PTPN1;FAS;C1R;DHX58;SRI;OAS2;METTL7B;GBP4;SOD2;SLC25A28;RIPK1;IRF1;PLSCR1
TNF-alpha Signaling via NF-kB,1.6522653116245016,0.0,0.012557226945716154,JAG1;IFIH1;GFPT2;TGIF1;BCL6;FOS;BTG2;JUNB;ABCA1;FOSB;NR4A1;IL15RA;SAT1;CEBPB;KLF2;SOCS3;ZFP36;TNC;TRIP10;DUSP1;BTG1;CCN1;EGR1;CDKN1A;B4GALT1;NR4A2;RNF19B;ETS2;LITAF;NAMPT;GADD45A;NFIL3;SLC2A3;KLF4;JUN;IL6ST;IER2;SERPINB8;SQSTM1;FOSL2;B4GALT5;ATF3;SPSB1;KLF10;TNFAIP8;CCNL1;DNAJB4;TIPARP;SOD2;TANK;MAP3K8;IRF1;CD44;SERPINE1;BHLHE40;MCL1;ICOSLG;HES1;PHLDA1;SGK1
Protein Secretion,1.6062152756683257,0.0011123470522803114,0.016219751471550036,ADAM10;SNAP23;ABCA1;AP2S1;SNX2;CLTA;EGFR;ATP7A;ANP32E;NAPG;ARFGEF2;CAV2;TSG101;CTSC;DOP1A;TOM1L1;RAB2A;PAM;SEC22B;RER1;MAPK1;GBF1;COPE;CLCN3;AP3S1;LAMP2;GOLGA4;YIPF6;SCAMP3;SEC31A;TMED2;OCRL;CLN5;TMX1;COPB1;STX16;GNAS;M6PR;ARF1;NAPA;GOSR2;ATP6V1H;SCRN1;LMAN1
p53 Pathway,1.575525270706563,0.0,0.01946370176586004,KIF13B;MDM2;RHBDF2;DDB2;FOS;BTG2;PROCR;FDXR;SAT1;SLC19A2;DGKA;CSRNP2;ANKRA2;APAF1;SP1;STEAP3;SLC35D1;BTG1;ZFP36L1;RPS27L;CCND3;CDKN1A;RNF19B;TXNIP;MAPKAPK3;RPL18;GADD45A;KLF4;TOB1;JUN;RRAD;F2R;CTSD;JAG2;PDGFA;PRMT2;TSPYL2;FAS;STOM;CDKN2A;ATF3;HDAC3;HSPA4L;S100A10;NUPR1;BAIAP2;CCNK;CDKN2AIP;CDKN2B;SERTAD3;S100A4;VWA5A;WRAP73;UPP1;PRKAB1;FOXO3;IRAK1;NOTCH1;VAMP8
Estrogen Response Late,1.5564992482558226,0.0,0.02145192936559843,MYOF;CXCL12;PRKAR2B;CPE;OPN3;FOS;SORD;ABHD2;IGFBP4;BCL2;ZFP36;BLVRB;RPS6KA2;TPBG;ISG20;LLGL2;SLC9A3R1;JAK1;UGDH;CCN5;HPRT1;KLF4;UNC13B;FABP5;MDK;TOB1;CALCR;IL6ST;PAPSS2;RABEP1;HSPA4L;NBL1;SERPINA5;NAB2;SNX10;BAG1;PDLIM3;CYP26B1;OLFM1;CD44;PPIF;EMP2;SERPINA3;PLAAT3;ATP2B4;FKBP5
heme Metabolism,1.5387491883203586,0.001040582726326743,0.02347005512473138,EPOR;MFHAS1;BTG2;HBB;ATP6V0A1;FN3K;ELL2;SYNJ1;USP15;CTSB;BACH1;PC;NR3C1;ALDH6A1;BLVRB;NUDT4;TNRC6B;CCDC28A;MINPP1;RIOK3;PGLS;SDCBP;EPB41;CCND3;EZH1;SLC25A38;MPP1;KHNYN;C3;BNIP3L;SNCA;DCAF10;TCEA1;CLCN3;LAMP2;SLC10A3;SELENBP1;ADIPOR1;SLC25A37;KLF3;LRP10;MGST3;TOP1;GCLC;FBXO7;VEZF1;FOXO3;CLIC2;CAST;PRDX2;PIGQ;SMOX;SLC30A1;ARHGEF12;SEC14L1;TMEM9B;CDC27
IL-6/JAK/STAT3 Signaling,1.5269995340909166,0.007936507936507936,0.02393721386527142,HAX1;PLA2G2A;IL4R;IL15RA;SOCS3;STAT2;IRF9;STAT3;IL1R1;STAM2;IL13RA1;JUN;IL6ST;PTPN1;FAS;PDGFC;OSMR;ACVRL1;MAP3K8;IRF1;CD44;A2M;IL17RA;STAT1;GRB2;LTBR;IL18R1;IL7;IL6
Complement,1.51318672768751,0.002109704641350211,0.026160889470241987,C2;GCA;SPOCK2;CASP7;SERPING1;ANG;PRDM4;IRF2;USP15;CTSB;CEBPB;PSMB9;RNF4;C1S;KIF2A;RABIF;CD46;APOC1;GNB4;CTSC;PFN1;C3;USP14;CFB;CTSD;TIMP1;CTSS;C1R;LAMP2;PREP;COL4A2;CTSL;AKAP10;IRF1;LRP1;FDX1;PLSCR1;PRCP;C1QA;SERPINE1;STX4;DPP4;CD55;CTSH;ANXA5;IRF7;DYRK2
Epithelial Mesenchymal Transition,1.4904003271013664,0.0,0.03223021582733813,COL16A1;CXCL12;COL5A3;SFRP1;COL6A3;SNTB1;EMP3;VCAN;PCOLCE;IGFBP4;SAT1;SNAI2;LOX;SLIT3;MMP2;PRRX1;ECM1;TNC;ITGA5;MATN2;ENO2;NNMT;COL12A1;COL6A2;CCN1;PDGFRB;GADD45A;MXRA5;MFAP5;IGFBP3;JUN;GAS1;WIPF1;CADM1;TIMP1;PCOLCE2;PFN2;FAS;BASP1;COMP;NID2;SERPINH1;COL4A2;PLOD2;COL5A2;CAPG;LAMC1;TPM4;LRP1;DAB2;LAMA3;EDIL3;CD44;SERPINE1;TGM2;DCN;CDH11;FERMT2;COL4A1
KRAS Signaling Up,1.474808317208165,0.0031914893617021275,0.03776681134431298,CPE;GFPT2;TOR1AIP2;IL33;PECAM1;DNMBP;PTCD2;BTC;ZNF277;PRRX1;SLPI;ADGRL4;GPNMB;ALDH1A3;NRP1;PRDM1;TFPI;AKAP12;CAB39L;LCP1;EVI5;ETV1;ANKH;TSPAN7;KLF4;IGFBP3;APOD;PSMB8;CFB;CTSS;LY96;MMP11;EPB41L3;JUP;GUCY1A1;RABGAP1L;TMEM176B;CROT;BTBD3;VWA5A;SERPINA3;ADAM17;EMP1
Estrogen Response Early,1.4730854356321943,0.0020898641588296763,0.03540440374972749,MYOF;CXCL12;OPN3;FOS;ABHD2;NADSYN1;RETREG1;SVIL;STC2;IGFBP4;RHOBTB3;SLC19A2;BCL2;INPP5F;BLVRB;RPS6KA2;MLPH;ELF1;TPBG;DLC1;SLC9A3R1;B4GALT1;CCN5;MAST4;KAZN;KLF4;TOB1;PODXL;ABLIM1;CALCR;IL6ST;PAPSS2;IGF1R;GFRA1;ASB13;KLF10;NBL1;UNC119;SYNGR1;BAG1;TIPARP;PDLIM3;CYP26B1;OLFM1;SLC37A1;UGCG;CD44;PPIF;PLAAT3;TGM2;FKBP5;BHLHE40
Apoptosis,1.466691522179114,0.007415254237288136,0.0363032650802435,PAK1;BTG2;GPX3;CASP7;FDXR;SAT1;MMP2;CASP8;RNASEL;ENO2;ANXA1;RHOT2;SPTAN1;TNFSF10;ISG20;BCL2L11;PDGFRB;CDKN1A;ANKH;TXNIP;GADD45A;ETF1;JUN;BNIP3L;F2R;TIMP1;CREBBP;ERBB2;BCL10;SQSTM1;FAS;DFFA;ATF3;CDKN1B;MGMT;BMF;CYLD;GPX1;SOD2;IRF1;CASP6;CD44;EMP1;DCN;MCL1;DNAJA1;DNAJC3;CTH;BGN;APP;GPX4
DNA Repair,1.4533355223299,0.011530398322851153,0.04073624217509109,RRM2B;DDB2;ELOA;NME3;BRF2;SNAPC5;ERCC4;NT5C3A;GSDME;RFC2;RBX1;RALA;DGUOK;SDCBP;TSG101;ERCC1;POLR2A;STX3;HPRT1;POLE4;EIF1B;NELFCD;NUDT21;NELFE;SUPT5H;ZNF707;USP11;SURF1;GTF2B;ADRM1;GTF2H3;TMED2;POLR2I;AK3;APRT;SF3A3;POLR1C;MPG;VPS28;GTF2F1;RNMT;POLB;DCTN4;GPX4;RFC3;GUK1;POLD3;POLH;SMAD5
PI3K/AKT/mTOR  Signaling,1.4480497761029865,0.015267175572519083,0.04164813603662525,ITPR2;RALB;PRKAR2A;EGFR;STAT2;MAP3K7;PPP1CA;IRAK4;CAB39L;PIN1;EIF4E;ATF1;CDKN1A;CALR;PFN1;ECSIT;ARHGDIA;MAPK1;SQSTM1;CDKN1B;PLCB1;RIPK1;GRK2;ACTR3;PIKFYVE;ARF1;THEM4;NCK1;GRB2
Oxidative Phosphorylation,1.4232745823582618,0.007223942208462332,0.05277959450621321,TCIRG1;POR;MTRR;ATP6V0E1;CASP7;MRPS11;ALDH6A1;SUCLA2;PDK4;RHOT2;SDHD;IDH3A;NDUFS7;CS;MRPL34;NDUFC1;NDUFA5;ATP6V1G1;ATP6V1D;OAT;MTX2;NDUFB2;OGDH;MRPL35;ACADSB;NDUFA3;TIMM50;SURF1;DLD;MTRF1;MGST3;GRPEL1;FDX1;TOMM70;COX7B;UQCRFS1;IDH3B;NDUFS1;NDUFS4;MRPL11;SUCLG1;ALAS1;COX5B;IMMT;ECI1;ATP6V1H;GPX4;ATP5F1D;NDUFA9;NDUFB7;HSD17B10;MDH1;BAX;ATP6V1C1;CYB5R3;UQCR11;HTRA2;NDUFS8;ATP5MC1;ATP5PD;SLC25A20;ATP5PF;COX8A;PMPCA;ATP6V0B
Inflammatory Response,1.4208902640080399,0.011739594450373533,0.051521563497864804,BTG2;ABCA1;GPC3;P2RX4;EMP3;IL4R;IL15RA;P2RX7;ACVR2A;PCDH7;ITGA5;EIF2AK2;IRAK2;IL1R1;HIF1A;TPBG;TNFSF10;GABBR1;CDKN1A;RTP4;NAMPT;ATP2C1;TLR1;TIMP1;SLC31A2;SRI;ADRM1;LPAR1;OSMR;IRF1;AXL;SERPINE1;CD55;IRF7;ICOSLG;PDPN;BST2;TACR1
Pperoxisome,1.4089163302645202,0.02547065337763012,0.056856333115325924,HMGCL;CRAT;PEX5;EPHX2;ECI2;PEX13;ERCC1;IDE;LONP2;ACSL1;CADM1;BCL10;SOD2;PABPC1;ALDH9A1;PRDX1;ACSL4;GSTK1
Glycolysis,1.407655888732518,0.005208333333333333,0.054524801211662255,RRAGD;PYGL;HAX1;SRD5A3;GPC3;LHPP;ANG;VCAN;ALG1;STC2;PC;EGFR;ENO2;KIF2A;TPBG;HDLBP;ISG20;PGLS;PMM2;GALK1;ALDH7A1;NOL3;B4GALT1;IL13RA1;IGFBP3;CHPF2;GALK2;PAM;MERTK;GMPPA;PDK3;UGP2;B3GAT3;SLC25A10;PHKA2;DLD;AK3;PLOD2;ZNF292;PGM2;ALDH9A1;GCLC;CASP6;CD44;G6PD;SLC35A3;DCN;FUT8;CTH;NANP;SDC2;QSOX1;ECD;NASP;ANGPTL4;MDH1;MED24;PGK1;HS2ST1;ME1
