Term,NES,pval,fdr,leading_edge
DNA Repair,1.5683432866255613,0.006060606060606061,0.08447535283289016,DDB2;ERCC1;NT5C3A;CSTF3;PDE4B;DGUOK;GTF2B;GTF2A2;REV3L;RALA;ERCC4;TSG101;SDCBP;BRF2;GTF2H1;UMPS;POLR1D;TYMS;POLA1;TMED2;VPS28;RRM2B;HPRT1;MPG;CDA;POLD3;TAF9;POLD1;IMPDH2;VPS37B;RFC2;POLR2I;DAD1;SEC61A1;HCLS1;POLR2H
Interferon Gamma Response,1.5636471008789672,0.002183406113537118,0.04438535487829823,TRIM14;PTGS2;IRF2;HIF1A;CASP1;PLA2G4A;PDE4B;SAMD9L;PLSCR1;FAS;IL15;PELI1;LCP2;STAT3;CASP8;CFH;PML;VAMP8;CASP7;CD274;OASL;CCL2;LYSMD2;NAMPT;DDX60;PTPN2;NMI;SOCS3;PIM1;CASP3;C1S;EPSTI1;TNFSF10;HLA-G;TRIM25;NUP93;CASP4;IL4R;SOCS1;ISG20;CMPK2;ARID5B;TDRD7;MT2A;LATS2;RSAD2;VCAM1;SRI;CSF2RB;LAP3;TRIM21;CDKN1A;LY6E;C1R;IL7;OAS2;IL6;PSMB2;STAT1;IRF9
p53 Pathway,1.5596112038173393,0.0022675736961451248,0.030544760346355764,HSPA4L;DDB2;MDM2;AEN;ZMAT3;CASP1;PVT1;FAS;PPM1D;VWA5A;NUPR1;RPS27L;FDXR;RNF19B;TCN2
KRAS Signaling Up,1.5317977033727637,0.0021321961620469083,0.04008999795459194,TFPI;FBXO4;EPB41L3;ALDH1A3;MPZL2;PTGS2;LY96;IL33;ETV1;MALL;SATB1;ITGA2;TSPAN7;AMMECR1;SLPI;NAP1L2;PLVAP;VWA5A;ST6GAL1;TNFRSF1B;ADGRL4;PDCD1LG2
UV Response Dn,1.513390871500497,0.006276150627615063,0.04753528328901616,TFPI;TGFBR2;EFEMP1;PTGFR;NEK7;ARHGEF9;SLC7A1;TGFBR3;ANXA4;NFIB;MMP16;SERPINE1;LAMC1;ADGRL2;ITGB3;ACVR2A;MYC
Androgen Response,1.4879849866462411,0.020366598778004074,0.0591804731710643,NGLY1;ALDH1A3;HSD17B14;SORD;KRT8;BMPR1B;RPS6KA3
IL-6/JAK/STAT3 Signaling,1.474958383555541,0.032818532818532815,0.062180404990795655,PLA2G2A;OSMR;LEPR;MAP3K8;IL1R1;IL18R1;FAS;TNFRSF1B;ITGB3;STAT3;IFNGR1;LTBR;IL2RG;PDGFC;CSF1;IFNAR1;IL6ST;PTPN2;SOCS3;HMOX1;PIM1;GRB2;CD14;IL4R;SOCS1;TNFRSF1A
Inflammatory Response,1.3809219201833378,0.030737704918032786,0.17467784823072205,HRH1;C5AR1;PTGIR;P2RX7;OSMR;HIF1A;SGMS2;CALCRL;IL1R1;IL18R1;ICOSLG;SLC7A1;PDE4B;STAB1;KCNJ2;SERPINE1;IL15;SCARF1;TNFRSF1B;ITGB3;LCP2;ACVR2A;EDN1;MYC;CYBB;AHR
Interferon Alpha Response,1.345518409412217,0.07869481765834933,0.2211313379241381,TRIM14;IRF2;CASP1;SAMD9L;PLSCR1;IL15;SAMD9;CASP8;OASL;DDX60;CSF1;NMI;TMEM140;C1S;EPSTI1;TRIM25;GBP2;IL4R;CD47;ISG20;CMPK2;TDRD7;OAS1;RSAD2;PARP9;LAP3;TRIM21;LY6E;IL7;CCRL2;TRIM5
Unfolded Protein Response,1.2975568758749407,0.07867494824016563,0.3023931274289221,PDIA5;ALDH18A1;EIF4EBP1;DCP2;NABP1;SHC1;FKBP14;EIF2AK3;CCL2
TNF-alpha Signaling via NF-kB,1.2343903007772723,0.11422413793103449,0.43773591922497634,PTGS2;TNC;MAP3K8;ICOSLG;SERPINB8;PDE4B;RELB;SERPINE1;RNF19B;RCAN1;EDN1;MYC;TGIF1;TANK;CCL2;GEM;NAMPT;CSF1;PHLDA2;IL6ST;SOCS3;BIRC2;FOSL2;CCN1;NINJ1;ETS2;KYNU;EGR2;CXCL2;CCNL1;ZFP36;ABCA1;DUSP1;EGR1;SLC2A6;PLAUR;DNAJB4;MAP2K3;CDKN1A;JUNB;TNIP2;CCRL2;IL6;BCL6;BTG2;PPP1R15A;IL18;INHBA;HBEGF;PLK2;B4GALT5
E2F Targets,1.233134640823067,0.09896907216494845,0.4047180745892139,TIPIN;BRMS1L;CHEK2;UBE2T;LMNB1;GINS4;GINS3;PPM1D;MSH2;PLK4;XPO1;MELK;GINS1;MYC;ASF1B;ATAD2;RAD51C;BARD1;BUB1B;TIMELESS;CTPS1;POLD3;POLD1;RFC2;CSE1L;RANBP1;CDKN2C;TP53;NBN;UBR7;HELLS;CKS2
