target,importance_Vascular,in_vascular,importance_MuSC,in_musc,importance_FAP,in_fap,in_sasp12
ABCA9,,False,,False,0.0746354790218804,True,False
ABCA9-AS1,,False,,False,0.000166730560768,True,False
ABCC11,,False,0.010852815567113,True,,False,False
ABLIM3,,False,,False,0.3658168964167226,True,False
AC002074.1,,False,0.1366063014334516,True,,False,False
AC002480.2,0.2239095092912592,True,,False,,False,False
AC003666.1,,False,,False,0.2704042921699829,True,False
AC003684.1,,False,,False,0.0134200810931425,True,False
AC004862.1,,False,,False,0.2932264197777902,True,False
AC005042.2,,False,,False,0.4416020283865159,True,False
AC005100.1,,False,,False,0.3333107272005098,True,False
AC005154.5,,False,,False,0.0941949005163759,True,False
AC005162.3,,False,,False,0.1466216854389231,True,False
AC005209.1,,False,,False,0.4599811017304315,True,False
AC005329.1,0.0056161622380101,True,,False,,False,False
AC005524.1,,False,,False,0.9089325064399304,True,False
AC005616.1,,False,,False,0.5312581179011086,True,False
AC005632.5,0.7687448289873728,True,,False,,False,False
AC006398.1,0.1122667753742498,True,,False,,False,False
AC006453.5,,False,,False,0.3309920048546448,True,False
AC006974.2,,False,,False,0.3254828401990444,True,False
AC007491.1,,False,,False,0.9356594035872204,True,False
AC008014.1,,False,,False,0.3752425843450262,True,False
AC008278.1,,False,,False,0.515632768672009,True,False
AC008555.2,,False,,False,0.2488360852923877,True,False
AC008571.2,,False,,False,0.2001336216795582,True,False
AC008572.1,,False,,False,0.401428597397207,True,False
AC008676.3,,False,,False,0.1269077379958805,True,False
AC008700.1,,False,0.4324702595164177,True,,False,False
AC008735.1,0.1187406516125979,True,,False,,False,False
AC008764.4,,False,,False,0.0467993824896344,True,False
AC008969.2,,False,,False,0.5093791148774776,True,False
AC009054.1,1.4777689637467015,True,,False,,False,False
AC009121.4,,False,,False,0.3505429757949301,True,False
AC009312.1,,False,,False,0.1444461059139705,True,False
AC009403.2,,False,,False,0.083141457637679,True,False
AC009948.3,,False,4.145439743325397e-05,True,,False,False
AC011383.1,,False,,False,0.4711165614812186,True,False
AC011752.1,,False,,False,0.283859581660085,True,False
AC011990.1,,False,0.1450738865690084,True,,False,False
AC012464.1,0.0132850125598843,True,,False,,False,False
AC013437.1,,False,,False,2.065584723761957,True,False
AC013448.2,,False,,False,0.3749603552568511,True,False
AC015468.1,,False,,False,0.4803333904720197,True,False
AC015468.2,,False,,False,0.4877062425555987,True,False
AC016629.3,,False,0.1308977349275289,True,,False,False
AC016687.3,,False,,False,0.1299958194601256,True,False
AC016825.1,,False,,False,0.6625336007537934,True,False
AC018653.1,,False,,False,0.5281375516325038,True,False
AC018685.3,5.850441352408488e-05,True,,False,,False,False
AC019163.1,,False,0.0528757158779164,True,,False,False
AC020907.6,,False,,False,0.385748038504915,True,False
AC020908.2,,False,,False,0.4403123677748553,True,False
AC020909.2,,False,,False,0.0003627886876052,True,False
AC021237.1,,False,,False,1.4184162071441373,True,False
AC022145.1,,False,,False,0.6188552143984426,True,False
AC022400.3,,False,,False,0.4080676832274016,True,False
AC023385.1,,False,,False,0.2809446038484452,True,False
AC023424.2,,False,,False,1.0047618135470244,True,False
AC023469.1,,False,,False,1.0871992518634568,True,False
AC023538.1,,False,,False,0.9619728844134868,True,False
AC023825.2,,False,,False,0.3928107232843757,True,False
AC024028.1,,False,1.8175537881052573,True,,False,False
AC024132.1,,False,,False,0.3347328488516805,True,False
AC025165.1,0.8985223287372633,True,,False,,False,False
AC025283.2,0.22494829084644,True,,False,,False,False
AC025300.1,1.9092955118130568,True,,False,,False,False
AC025524.1,3.402774460196532e-12,True,,False,,False,False
AC026787.1,,False,,False,0.363405543252672,True,False
AC026991.2,,False,,False,0.7014387035306906,True,False
AC027117.1,,False,,False,0.1553090156395758,True,False
AC027288.1,,False,,False,0.6474250191004937,True,False
AC027544.2,,False,,False,0.9194958477959017,True,False
AC037487.4,,False,,False,0.4789913917661099,True,False
AC048337.1,,False,,False,0.657297004346127,True,False
AC063924.1,,False,,False,0.5174174819123201,True,False
AC068205.2,,False,,False,0.0689309310364299,True,False
AC068787.5,,False,,False,0.4344068366166139,True,False
AC073050.1,,False,,False,0.2639218669175434,True,False
AC073114.1,,False,0.1349364035736277,True,,False,False
AC073349.4,,False,,False,0.4042517620661378,True,False
AC073475.1,,False,0.3943510771845529,True,,False,False
AC078864.1,,False,,False,0.3144968846070148,True,False
AC078874.1,,False,,False,0.0704489456688922,True,False
AC079148.3,,False,,False,0.100693264772657,True,False
AC079304.1,,False,,False,0.1464073526471251,True,False
AC079841.2,,False,,False,0.3992151790455611,True,False
AC080038.1,0.0455125585560806,True,,False,,False,False
AC080068.1,,False,,False,0.41335747516548,True,False
AC083864.3,,False,0.5907448112095546,True,,False,False
