donor_left_out,rho_jackknife,N_remaining
OM1,0.819369082459178,22
OM2,0.819369082459178,22
OM3,0.8216340971999083,22
OM4,0.818236575088813,22
OM5,0.8425854835516633,22
OM6,0.8448504982923937,22
OM7,0.8148390529777174,22
OM8,0.818236575088813,22
OM9,0.8357904393294725,22
P13,0.840320468810933,22
P17,0.8258908613554815,22
P21,0.8414529761812983,22
P23,0.8437179909220286,22
P26,0.8224991124382105,22
P27,0.830413193245176,22
P29,0.8414529761812983,22
P3,0.8380554540702029,22
P5,0.8363566930146552,22
YM1,0.8357904393294725,22
YM2,0.9118151672596794,22
YM3,0.8629706162182359,22
YM4,0.8261641266813688,22
YM5,0.8159715603480827,22
