compartment,gene,cohens_d,p_value,n_cells
HLMA_Vascular,CCL2,0.56430715,0.0,25082
HLMA_Vascular,CXCL1,-0.10846191,8.247973415365095e-10,25082
HLMA_Vascular,CXCL2,0.1602511,0.0,25082
HLMA_Vascular,CXCL3,-0.1811985,0.0,25082
HLMA_Vascular,CXCL6,-0.0074913357,0.6712700019255151,25082
HLMA_Vascular,IL6,0.2030671,0.0,25082
HLMA_Vascular,CXCL8,0.12615675,9.339196083146817e-13,25082
HLMA_Vascular,SERPINE1,0.19955574,0.0,25082
HLMA_Vascular,MMP1,0.064374164,0.0002663254570118845,25082
HLMA_Vascular,MMP3,0.029647913,0.09304476821079022,25082
HLMA_Vascular,PLAU,0.05772216,0.0010776034111723565,25082
HLMA_Vascular,PLAUR,0.17067145,0.0,25082
HLMA_Vascular,JUNB,0.90140295,0.0,25082
HLMA_Vascular,FOS,0.9074301,0.0,25082
HLMA_Vascular,CDKN1A,0.7443608,0.0,25082
HLMA_Vascular,IGF1R,0.07676662,1.3774481938844119e-05,25082
HLMA_Vascular,HGF,0.1976147,0.0,25082
HLMA_Vascular,MET,0.03430736,0.05195928661808025,25082
HLMA_Vascular,FGF7,0.2562221,0.0,25082
HLMA_Vascular,FGFR1,-0.0976533,3.2208608891082235e-08,25082
NA_FAP,CCL2,0.44868624,0.0,20611
NA_FAP,CXCL1,0.20579152,0.0,20611
NA_FAP,CXCL2,0.29538277,0.0,20611
NA_FAP,CXCL3,0.18132424,0.0,20611
NA_FAP,CXCL6,0.093242675,2.3627544365467656e-11,20611
NA_FAP,IL6,0.194224,0.0,20611
NA_FAP,CXCL8,0.099923134,8.115730310009894e-13,20611
NA_FAP,SERPINE1,-0.15594564,0.0,20611
NA_FAP,MMP1,-0.064767994,3.420743665216719e-06,20611
NA_FAP,MMP3,-0.37756464,0.0,20611
NA_FAP,PLAU,0.56064224,0.0,20611
NA_FAP,PLAUR,0.18313512,0.0,20611
NA_FAP,JUNB,0.7229038,0.0,20611
NA_FAP,FOS,0.4622551,0.0,20611
NA_FAP,CDKN1A,0.3296674,0.0,20611
NA_FAP,IGF1R,-0.22109634,0.0,20611
NA_FAP,HGF,0.07902376,1.4748418930565776e-08,20611
NA_FAP,MET,-0.02622999,0.05990623931350059,20611
NA_FAP,FGF7,0.2597717,0.0,20611
NA_FAP,FGFR1,-0.14447305,0.0,20611
NA_MuSC,CCL2,0.26269534,0.0,17528
NA_MuSC,CXCL1,-0.103843,3.474154297578025e-11,17528
NA_MuSC,CXCL2,-0.22659792,0.0,17528
NA_MuSC,CXCL3,-0.15650472,0.0,17528
NA_MuSC,CXCL6,-0.020481484,0.19079074719487354,17528
NA_MuSC,IL6,-0.0008361055,0.9574065282635165,17528
NA_MuSC,CXCL8,0.0053572715,0.7321941418586864,17528
NA_MuSC,SERPINE1,-0.10525789,1.8810952795433877e-11,17528
NA_MuSC,MMP3,0.027024463,0.08432760668865136,17528
NA_MuSC,PLAU,0.28502843,0.0,17528
NA_MuSC,PLAUR,0.033556014,0.032097398188512205,17528
NA_MuSC,JUNB,-0.32774872,0.0,17528
NA_MuSC,FOS,-0.2331888,0.0,17528
NA_MuSC,CDKN1A,-0.20930998,0.0,17528
NA_MuSC,IGF1R,-0.072605565,3.5689705208952205e-06,17528
NA_MuSC,HGF,0.04236671,0.006815714060217193,17528
NA_MuSC,MET,0.006714882,0.6679755898824347,17528
NA_MuSC,FGF7,-0.24150927,0.0,17528
NA_MuSC,FGFR1,0.0018708399,0.9048755543563101,17528
