pathway,gene,cohens_d,rho_JUNB,p_val,n,finding
MAP3K,MAP3K1,0.02,0.05,0.81,23,F069
MAP3K,MAP3K5,-0.01,0.02,0.93,23,F069
MAP3K,MAP3K7,0.03,0.08,0.72,23,F069
MAP3K,MAP2K4,0.04,0.11,0.64,23,F069
MAP3K,MAP2K7,0.01,0.06,0.78,23,F069
MAP3K,MAPK8 (JNK1),0.02,0.09,0.69,23,F069
MAP3K,MAPK9 (JNK2),-0.01,0.04,0.87,23,F069
MAP3K,MAPK10 (JNK3),,,,23,F069 (not expressed)
p38,MAPK14 (p38α),0.03,0.12,0.61,23,F070
p38,MAPK11 (p38β),0.01,0.07,0.75,23,F070
p38,MAP2K3,0.05,0.14,0.55,23,F070
p38,MAP2K6,-0.02,0.03,0.89,23,F070
SMAD3,SMAD3,0.04,0.08,0.72,23,F071
SMAD3,SMAD4,0.01,0.05,0.82,23,F071
SMAD3,SMAD2,-0.03,0.02,0.91,23,F071
SMAD3,TGFBR1,0.02,0.06,0.79,23,F071
SMAD3,TGFBR2,-0.01,0.04,0.85,23,F071
