cluster,gene,score,pval,log2fc
0,NEAT1,22.937,1.9867300613477773e-116,
0,MIR4307HG,22.585,6.092574384755802e-113,
0,AC007546.3,22.526,2.288828187751557e-112,-4.025
0,TMEM212,22.515,2.974009279565495e-112,
0,AC003984.1,22.514,3.0471339552840554e-112,-3.747
0,AL357513.1,22.508,3.4732137344984224e-112,-1.993
0,AC073862.4,22.507,3.5298987080888697e-112,-1.862
0,OPALIN,22.498,4.32726227624142e-112,-3.132
0,AP001960.1,22.498,4.356537472882207e-112,
0,SLC22A9,22.494,4.730018097290041e-112,-2.518
1,NEAT1,29.602,1.4228457040971573e-192,
1,SCARNA5,28.606,5.632493714081493e-180,
1,RPS12P5,28.49,1.5493251126691267e-178,
1,MS4A8,28.459,3.754326779040655e-178,-3.502
1,GSTT4,28.451,4.7104538512619233e-178,-2.135
1,TLR7,28.427,9.500849661648217e-178,-1.279
1,AL355581.1,28.418,1.2035355800096828e-177,-1.76
1,AP002008.1,28.418,1.2234592877445365e-177,-1.281
1,AC018802.2,28.417,1.253964188908003e-177,
1,MISP,28.412,1.441741707338938e-177,-2.249
2,FOS,19.098,2.6320130206944377e-81,
2,NEAT1,15.687,1.8492682406790636e-55,
2,LINC00603,14.602,2.7129269899170695e-48,-1.7
2,SLC27A4,14.42,3.892559627803335e-47,
2,ADAM12,14.314,1.778348286479421e-46,-2.796
2,RUNX1,14.304,2.0710051801247645e-46,
2,AP000662.1,14.293,2.4366243024518817e-46,
2,MARCH3,14.243,4.9604915835710315e-46,
2,DDX11,14.166,1.4965186817993032e-45,-2.941
2,SMG1P2,14.137,2.2541351336413552e-45,-3.068
3,NEAT1,14.325,1.5319050091026586e-46,
3,MLXIPL,14.32,1.6428950055561458e-46,
3,POU2AF1,14.281,2.8725395070646367e-46,
3,RAB3B,14.268,3.4521455643858047e-46,
3,RNF157,14.263,3.724762494811161e-46,
3,ZNF725P,14.251,4.391141709024156e-46,
3,SLCO1B1,14.25,4.5036967321471014e-46,-5.161
3,SLC7A13,14.249,4.532281217650059e-46,-4.451
3,RN7SL452P,14.248,4.619122438629726e-46,
3,LINC02428,14.24,5.143435981353221e-46,
4,FGF14,10.26,1.0618385437642008e-24,
4,HMGN1P18,10.227,1.5013738228196711e-24,
4,AC117382.1,10.218,1.653951562209017e-24,
4,DNM3OS,10.206,1.872883632043905e-24,
4,AC074281.2,10.2,1.979180360276483e-24,
4,AC082651.4,10.2,1.979180360276483e-24,
4,AL357141.1,10.197,2.0345483990588892e-24,
4,LINC01968,10.196,2.062805082975561e-24,
4,AC073573.1,10.193,2.1204899052761216e-24,
4,AL358394.3,10.187,2.271787615274748e-24,
5,AC008083.2,7.906,2.647716279496523e-15,
5,AC020687.1,7.874,3.445070351367621e-15,
5,AC084880.2,7.866,3.652088558032835e-15,
5,AC084361.1,7.848,4.224735676446887e-15,
5,LINC00603,7.844,4.349447446564943e-15,
5,AC000113.1,7.837,4.609842382533374e-15,
5,TDRG1,7.833,4.745735394377932e-15,
5,CLCNKA,7.83,4.885570251906614e-15,
5,TSPEAR,7.782,7.11785603414302e-15,
5,DIP2A-IT1,7.779,7.326240009625053e-15,
