cluster,gene,score,pval,log2fc
0,APOC1,21.507,1.3268048360680748e-102,1.779
0,FTL,18.492,2.3915573441789838e-76,0.954
0,MTND1P23,18.278,1.2483295060811813e-74,4.086
0,FTH1,18.036,1.0146838577839708e-72,0.508
0,MT2A,16.674,2.035997704457535e-62,1.416
0,GPX3,16.234,2.9032582935943673e-59,3.65
0,SERPING1,15.56,1.3612196779013508e-54,1.912
0,RASD1,14.856,6.386510469623839e-50,1.929
0,APOD,14.013,1.2929501322440482e-44,4.001
0,HSPA1B,13.564,6.516324616132024e-42,1.299
1,NEAT1,19.351,2.0051491497918814e-83,1.631
1,WSB1,17.238,1.381930004352975e-66,1.736
1,ZFP36L1,14.929,2.1211113748996674e-50,2.731
1,KCNQ5,14.463,2.064108866614034e-47,1.675
1,PTGDS,13.35,1.1904981107683507e-40,2.914
1,MT-CYB,12.988,1.4248746929658372e-38,1.563
1,PAX8-AS1,12.665,9.296813904157822e-37,3.323
1,MT-CO3,12.518,5.9464532868525776e-36,1.635
1,CALCR,11.882,1.4682317170781393e-32,1.421
1,DLK1,11.436,2.7524238624024814e-30,1.796
2,"Insufficient donors (young=2, old=2)",,,
3,"Insufficient donors (young=1, old=2)",,,
4,"Insufficient donors (young=0, old=3)",,,
5,"Insufficient donors (young=0, old=8)",,,
