tf	n_motifs	k_scz	n_scz	k_bg	n_bg	pct_scz	pct_bg
EGR1	13	17	443	212	26647	3.837471783295711	0.795586745224603
MEF2C	6	18	443	291	26647	4.063205417607223	1.0920553908507524
CTCF	172	21	443	415	26647	4.740406320541761	1.5573985814538223
TCF4	6	13	443	303	26647	2.9345372460496613	1.137088602844598
NFKB1	5	9	443	205	26647	2.0316027088036117	0.7693173715615266
STAT1	21	3	443	31	26647	0.6772009029345373	0.11633579765076744
NR3C1	18	5	443	93	26647	1.1286681715575622	0.3490073929523023
STAT3	21	6	443	147	26647	1.3544018058690745	0.5516568469246068
CEBPA	3	12	443	395	26647	2.708803611738149	1.4823432281307465
JUN	55	4	443	112	26647	0.9029345372460496	0.42030997860922437
SPI1	7	9	443	347	26647	2.0316027088036117	1.3022103801553646
RELA	22	5	443	178	26647	1.1286681715575622	0.6679926445753743
CEBPB	28	3	443	99	26647	0.6772009029345373	0.37152399894922505
FOS	39	3	443	110	26647	0.6772009029345373	0.4128044432769167
CREB1	12	3	443	172	26647	0.6772009029345373	0.6454760385784516
ELF1	39	1	443	73	26647	0.2257336343115124	0.27395203962922654
ETS1	18	0	443	11	26647	0.0	0.04128044432769167
