Name	Term	ES	NES	NOM p-val	FDR q-val	FWER p-val	Tag %	Gene %	Lead_genes
prerank	Anchored Component Of Postsynaptic Density Membrane (GO:0099031) CC	0.7410617142145801	1.4644984443644624	0.03982300884955752	1.0	0.916	2/7	6.62%	MPP2;RGS7BP
prerank	Structural Constituent Of Postsynaptic Density (GO:0098919) BP	0.6687635382581056	1.3895339565646536	0.06569343065693431	1.0	0.991	1/10	0.10%	MPP2
prerank	Regulation Of Postsynaptic Membrane Potential (GO:0060078) BP	0.7014441381431565	1.3782512000824805	0.08116883116883117	1.0	0.994	3/7	7.31%	HCN1;RGS7BP;ANO6
prerank	Synaptic Vesicle Clustering (GO:0097091) BP	0.6546104687551937	1.3514237006376144	0.08184679958027283	1.0	0.999	5/10	26.91%	SYN2;ABI2;ABI3;DOCK1;PCLO
prerank	Presynaptic Endocytic Zone Membrane (GO:0098835) CC	-0.534003676073089	-1.3401983071074357	0.09183673469387756	0.4740636263908478	0.4568273092369478	6/6	46.62%	DNM1;CLTC;DNM1L;CLTB;PIP5K1C;CLTA
prerank	Presynaptic Active Zone (GO:0048786) CC	0.6248283411883815	1.3365783794887887	0.08664627930682976	1.0	0.999	10/13	29.84%	FLOT1;ARHGAP44;ARFGAP3;C1QBP;CACNA1B;PHB2;TRIO;VPS11;CNTNAP1;UNC13A
prerank	Retrograde Trans-Synaptic Signaling By Trans-Synaptic Protein Complex (GO:0098942) BP	-0.5259487512163478	-1.3364474977243812	0.0989010989010989	0.24094969440526562	0.463855421686747	6/6	47.43%	TENM4;TENM2;FARP1;DAG1;TENM3;CADM1
prerank	Anchored Component Of Presynaptic Active Zone Membrane (GO:0099029) CC	0.735751794690046	1.333268569576718	0.0859106529209622	1.0	1.0	3/5	17.78%	CPLX3;CACNA2D1;FLOT2
prerank	Integral Component Of Presynaptic Active Zone Membrane (GO:0099059) CC	0.5468146803754695	1.321298069136615	0.03403403403403404	1.0	1.0	14/42	17.84%	LPAR2;HCN1;P2RX1;CDH10;P2RY2;GRIA1;NRXN1;GABRB1;GRIA4;NPTN;P2RY1;GRM8;GABRA2;GRIN3B
prerank	Ligand-Gated Ion Channel Activity Involved In Regulation Of Presynaptic Membrane Potential (GO:0099507) BP	0.5700912822846449	1.310675424111461	0.08224674022066199	1.0	1.0	9/22	20.25%	GRIN2A;GLRA1;GRIA1;GABRB1;GRIA4;GRIK2;GABRA2;GRIN3B;GRIK3
prerank	Regulation Of Neurotransmitter Receptor Localization To Postsynaptic Specialization Membrane (GO:0098696) BP	0.5759184496877408	1.3003462556712768	0.09667673716012085	1.0	1.0	10/18	28.57%	HRAS;PRKCZ;RAPGEF4;GHSR;GSK3B;RAP1A;NETO2;MAGI2;CAMK2A;GPC6
prerank	Postsynaptic Specialization, Intracellular Component (GO:0099091) CC	0.6378589904566334	1.293129690399851	0.1325556733828208	1.0	1.0	6/9	29.02%	SRC;GPHN;AKAP1;LYN;NOS1;YES1
prerank	Synaptic Cleft (GO:0043083) CC	0.5897390896223502	1.2878343911652046	0.11178861788617886	1.0	1.0	4/14	9.97%	C1QL3;LAMC1;LAMA4;LAMA2
prerank	Regulation Of Neurotransmitter Uptake (GO:0051580) BP	0.6940195487184659	1.284414702276377	0.14541120381406436	1.0	1.0	2/5	9.00%	FLOT1;SYNGR3
prerank	Maintenance Of Synapse Structure (GO:0099558) BP	0.7017771733221999	1.2773883068063503	0.16372202591283863	0.9842023672016583	1.0	1/5	1.27%	GRN
prerank	Anchored Component Of Presynaptic Membrane (GO:0099026) CC	0.6367039377478407	1.2700968722510286	0.16685082872928178	0.9612827537407952	1.0	3/7	24.01%	RGS7BP;CNTN6;SNAP25
prerank	Extrinsic Component Of Postsynaptic Density Membrane (GO:0099147) CC	0.66374290263173	1.2587673920881275	0.17573696145124718	0.9694375140015405	1.0	2/6	10.81%	DGKB;AKAP9
prerank	Modification Of Postsynaptic Structure (GO:0099010) BP	0.6800977760670235	1.2457011447114443	0.18053927315357562	0.9868266601607454	1.0	1/5	3.25%	ARHGAP44
prerank	Regulation Of Presynaptic Cytosolic Calcium Levels (GO:0099509) BP	0.5568193930978492	1.2284456507236596	0.17545638945233266	1.0	1.0	4/15	13.43%	NCS1;P2RX1;P2RY2;P2RY1
prerank	Calcium-Dependent Activation Of Synaptic Vesicle Fusion (GO:0099502) BP	0.6500842207496176	1.22752088844353	0.18314606741573033	0.980532360309379	1.0	1/6	0.44%	DOC2A
prerank	Regulation Of Calcium-Dependent Activation Of Synaptic Vesicle Fusion (GO:0150037) BP	0.6225469948505749	1.2192521928571023	0.2021978021978022	0.9779087791658047	1.0	5/7	29.42%	PRRT2;RIMS1;CACNA1B;RIMS2;ERC2
prerank	Regulation Of Postsynaptic Specialization Assembly (GO:0099150) BP	0.6351497459184776	1.2166220499246372	0.21177802944507362	0.9435457884900432	1.0	6/6	36.51%	NRXN1;NPTXR;WNT5A;SPTBN2;ABL1;GAP43
prerank	Postsynaptic Membrane (GO:0045211) CC	0.6254136578828993	1.2136300134533027	0.19579646017699115	0.9129859329179889	1.0	3/7	23.38%	NTRK2;SNAP91;NRGN
prerank	Postsynaptic Endocytic Zone (GO:0098843) CC	0.6314363750371231	1.209038344914615	0.21627647714604237	0.8947789981494949	1.0	1/6	4.46%	RNF216
prerank	Regulation Of Synapse Assembly (GO:0051963) BP	0.5734767437879645	1.2056431308515465	0.21101871101871103	0.8733118595233359	1.0	1/11	1.43%	LRRTM4
prerank	Regulation Of Postsynaptic Neurotransmitter Receptor Activity (GO:0098962) BP	0.5407560721194562	1.1952803731368302	0.1933534743202417	0.8909774839883753	1.0	5/18	12.47%	SRC;CNIH2;NRXN2;AKAP9;NPTXR
