list	metric	OR_HA_full_bg	OR_HA_bgMinusDisease	attenuation_pct	attenuation_gt_50pct	fisher_p_full	fisher_p_bgMinusDisease
SCHEMA	pLI	89.7213795305764	97.03324675324676	-8.149526078317294	False	1.5370459776625544e-07	8.565230154373444e-08
SCHEMA	LOEUF	24.362542189390563	25.215902342461234	-3.5027549524051467	False	0.0005971958201052926	0.0005011985335753406
SCHEMA	missense_z	20.238781526367507	22.834776603091964	-12.826834823738473	False	2.3910686230950218e-05	1.2600001721615197e-05
ASD_FDR10	pLI	25.35225722604999	26.773128689492324	-5.604516595005037	False	3.179539839597837e-49	7.905360236225409e-51
ASD_FDR10	LOEUF	22.97683800066746	23.52679883626766	-2.3935444711070484	False	6.559522959195658e-29	1.8982779650935708e-29
ASD_FDR10	missense_z	14.212001146938457	15.53845745180814	-9.333353488755018	False	1.0538688352305786e-34	1.4627696552180326e-36
ASD_FDR05	pLI	25.566973491624655	27.169309090909092	-6.267208748072342	False	3.08111039285562e-38	1.2881989141600518e-39
ASD_FDR05	LOEUF	17.26762002042901	17.735586815032544	-2.7100827679199027	False	7.604687645284683e-21	2.679913941430454e-21
ASD_FDR05	missense_z	15.983901265233253	17.592236175873214	-10.062217502170553	False	1.1233106616401086e-29	2.625020259195125e-31
DDD	pLI	31.344022760531573	31.752298136645962	-1.3025621479208787	False	4.751338448928805e-126	5.561184030697937e-127
DDD	LOEUF	29.97034156397882	30.14532686053636	-0.5838615358586854	False	5.724929988454018e-72	2.7119310564032456e-72
DDD	missense_z	23.272595384454316	23.656540943284206	-1.6497754224969619	False	2.9997134881687417e-115	3.267233478905516e-116
