pair	metric	lower_is_more_constrained	n_a	n_b	median_a	median_b	U	p_two_sided	rbc	p_holm
SCHEMA_vs_ASD_FDR10	pLI	False	9	102	1.0	1.0	616.5	0.03956112627007973	0.3431372549019607	0.19780563135039866
SCHEMA_vs_ASD_FDR05	pLI	False	9	78	1.0	1.0	445.5	0.08092572402613782	0.26923076923076916	0.3237028961045513
SCHEMA_vs_DDD	pLI	False	9	248	1.0	1.0	1521.0	0.030181298455986914	0.3629032258064515	0.1810877907359215
ASD_FDR10_vs_ASD_FDR05	pLI	False	102	78	1.0	1.0	3734.5	0.3925330605983952	-0.06121166415284063	0.795861158281173
ASD_FDR10_vs_DDD	pLI	False	102	248	1.0	1.0	12735.0	0.9065822427293311	0.00687855787476277	0.9065822427293311
ASD_FDR05_vs_DDD	pLI	False	78	248	1.0	1.0	10355.5	0.265287052760391	0.07066790736145578	0.795861158281173
SCHEMA_vs_ASD_FDR10	LOEUF	True	9	102	0.20445	0.164965	540.0	0.3844789515836946	0.17647058823529416	0.8940407735356529
SCHEMA_vs_ASD_FDR05	LOEUF	True	9	78	0.20445	0.137285	461.0	0.12697458680670878	0.3133903133903133	0.634872934033544
SCHEMA_vs_DDD	LOEUF	True	9	248	0.20445	0.145275	1487.0	0.09077722998551357	0.3324372759856631	0.5446633799130814
ASD_FDR10_vs_ASD_FDR05	LOEUF	True	102	78	0.164965	0.137285	4339.0	0.298013591178551	0.09074912016088477	0.8940407735356529
ASD_FDR10_vs_DDD	LOEUF	True	102	248	0.164965	0.145275	13824.5	0.1715736030519186	0.09301865907653384	0.6862944122076744
ASD_FDR05_vs_DDD	LOEUF	True	78	248	0.137285	0.145275	9722.0	0.9456430237070016	0.005169561621174434	0.9456430237070016
