finding	spec	n_num	n_denom	OR	OR_low	OR_high	raw_p	emp_p	descriptive_only	source	BH_q
F013	all_coding	17	19976	10.192	5.97199	17.3941	2.13131e-11	9.999e-05	False		3.55219e-11
F013	protein_only	17	17513	9.80891	5.71997	16.8209	4.35243e-11	9.999e-05	False		5.44054e-11
F013	brain_expressed	17	20354	10.7657	6.3125	18.3604	9.15516e-12	9.999e-05	False		2.28879e-11
F013	gtex_any	17	31778	16.1452	9.47146	27.5215	1.70912e-14	9.999e-05	False		8.5456e-14
F013	constrained_pLI09	17	3338	4.07511	2.21165	7.50864	2.89872e-05	0.00019998	False		2.89872e-05
F098	linear_10pct	17	443	3.99352				9.999e-05	False		1
F098	log_0.1	17	443	4.94116				9.999e-05	False		1
F098	quantile_5	17	443	6.79103				9.999e-05	False		1
F098	quantile_10	17	443	5.09642				9.999e-05	False		1
F098	quantile_20	17	443	5.00085				9.999e-05	False		1
F120	pLI_ge_0.5	9	17485	68.8822	4.00804	1183.81	1.04095e-06	9.999e-05	False		1.04095e-06
F120	pLI_ge_0.7	9	17485	76.9027	4.47466	1321.67	4.74774e-07	9.999e-05	False		5.69729e-07
F120	pLI_ge_0.8	9	17485	81.7931	4.75917	1405.73	3.03629e-07	9.999e-05	False		4.55443e-07
F120	pLI_ge_0.9	9	17485	89.6416	5.21576	1540.64	1.54765e-07	9.999e-05	False		3.0953e-07
F120	pLI_ge_0.95	9	17485	97.8208	5.69157	1681.24	8.061e-08	9.999e-05	False		2.4183e-07
F120	LOEUF_lt_0.35	8	17485	95.9465	11.991	767.723	1.05735e-08	9.999e-05	False		6.34408e-08
F121	all__prioritised_n106	10		23.5974	5.16768	107.754	1.26392e-06	9.999e-05	False		1.5167e-06
F121	all__broader_n470	32		9.49819	5.20542	17.3311	6.52473e-14	9.999e-05	False		3.91484e-13
F121	BP_only__prioritised_n106	7		16.502	3.42636	79.4764	0.000130645	0.00039996	False		0.000130645
F121	BP_only__broader_n470	26		10.2722	5.17741	20.3806	5.99204e-12	9.999e-05	False		1.19841e-11
F121	CC_only__prioritised_n106	10		47.198	6.03947	368.849	2.50385e-07	9.999e-05	False		3.75578e-07
F121	CC_only__broader_n470	29		10.5859	5.49672	20.3868	2.45702e-13	9.999e-05	False		7.37106e-13
F124	F124_curated__synaptic	3	3	32.9611	1.70205	638.312	0.005382	0.00449955	True	F124_curated	0.00782837
F124	F124_curated__ion_channel	3	10	2.01731	0.521354	7.80571	0.249167	0.255374	False	F124_curated	0.265778
F124	F124_curated__transcriptional	7	11	8.24984	2.4135	28.1996	0.000861213	0.00129987	False	F124_curated	0.00196849
F124	F124_curated__other	131	396	2.38493	1.92724	2.9513	2.82434e-14	9.999e-05	False	F124_curated	4.51895e-13
F124	HGNC_family__synaptic	0	1	1.56793	0.0638547	38.5002	1	1	True	HGNC_family	1
F124	HGNC_family__ion_channel	4	11	2.69062	0.787146	9.19709	0.110819	0.109189	False	HGNC_family	0.136393
F124	HGNC_family__transcriptional	28	46	7.37672	4.07514	13.3532	6.25728e-11	9.999e-05	False	HGNC_family	2.50291e-10
F124	HGNC_family__other	112	362	2.14973	1.71426	2.69582	2.25003e-10	9.999e-05	False	HGNC_family	7.20011e-10
F124	KEGG_path__synaptic	8	21	2.90018	1.20101	7.00329	0.0207467	0.019698	False	KEGG_path	0.0276623
F124	KEGG_path__ion_channel	5	7	11.7794	2.28425	60.7442	0.00253087	0.00319968	False	KEGG_path	0.00506173
F124	KEGG_path__transcriptional	3	3	32.9611	1.70205	638.312	0.005382	0.0049995	True	KEGG_path	0.00782837
F124	KEGG_path__other	128	389	2.36428	1.90651	2.93196	8.71304e-14	9.999e-05	False	KEGG_path	6.97044e-13
F124	Reactome_path__synaptic	9	20	3.85772	1.59721	9.3175	0.00403393	0.00409959	False	Reactome_path	0.00717143
F124	Reactome_path__ion_channel	3	8	2.82462	0.674666	11.8259	0.151391	0.153185	False	Reactome_path	0.173019
F124	Reactome_path__transcriptional	28	44	8.29997	4.48509	15.3597	1.33429e-11	9.999e-05	False	Reactome_path	7.11619e-11
F124	Reactome_path__other	104	348	2.0406	1.6166	2.57581	7.95034e-09	9.999e-05	False	Reactome_path	2.12009e-08
