gene	ensgid	group	in_B3	in_F144	lof_pLI	lof_LOEUF	mis_z	pli_ge_09	loeuf_lt_035	mis_z_top_decile	mis_z_ge_309	biological_category	biological_source
A1BG	ENSG00000121410	bg	False	False	1.7706e-16	1.34	-0.86092	False	False	False	False		
A1CF	ENSG00000148584	bg	False	False	7.656e-10	0.825	1.2373	False	False	False	False		
A2M	ENSG00000175899	bg	False	False	9.7568e-20	0.765	2.7587	False	False	False	False		
A2ML1	ENSG00000166535	bg	False	False	1.7126999999999998e-40	0.953	1.6571	False	False	False	False		
A3GALT2	ENSG00000184389	bg	False	False	1.0169e-06	1.529	-4.0799	False	False	False	False		
A4GALT	ENSG00000128274	bg	False	False	0.075507	1.393	-0.27835	False	False	False	False		
A4GNT	ENSG00000118017	bg	False	False	0.019136	1.375	1.064	False	False	False	False		
AAAS	ENSG00000094914	bg	False	False	8.9231e-16	0.921	0.88677	False	False	False	False		
AACS	ENSG00000081760	bg	False	False	8.8541e-18	0.967	0.48387	False	False	False	False		
AADAC	ENSG00000114771	bg	False	False	6.3501e-05	1.126	0.35127	False	False	False	False		
AADACL2	ENSG00000197953	bg	False	False	6.9637e-08	1.529	0.46695	False	False	False	False		
AADACL3	ENSG00000188984	bg	False	False	0.0017704	1.25	0.13335	False	False	False	False		
AADACL4	ENSG00000204518	bg	False	False	0.011751	1.063	0.18346	False	False	False	False		
AADAT	ENSG00000109576	bg	False	False	0.46289	0.625	2.025	False	False	False	False		
AAGAB	ENSG00000103591	bg	False	False	1.5706e-08	1.156	-1.0037	False	False	False	False		
AAK1	ENSG00000115977	bg	False	False	0.99999	0.406	2.6964	True	False	False	False		
AAMDC	ENSG00000087884	bg	False	False	1.0899e-05	1.571	0.17107	False	False	False	False		
AAMP	ENSG00000127837	bg	False	False	0.99998	0.372	2.395	True	False	False	False		
AANAT	ENSG00000129673	bg	False	False	0.00068842	1.283	-0.46577	False	False	False	False		
AAR2	ENSG00000131043	bg	False	False	5.4204e-12	1.472	1.4072	False	False	False	False		
AARD	ENSG00000205002	bg	False	False	0.00042882	1.719	-0.86864	False	False	False	False		
AARS1	ENSG00000090861	bg	False	False	4.04e-14	0.772	1.0453	False	False	False	False		
AARS2	ENSG00000124608	bg	False	False	1.8233e-15	0.752	1.8985	False	False	False	False		
AARSD1	ENSG00000266967	bg	False	False	2.3928e-14	1.122	0.646	False	False	False	False		
AASDH	ENSG00000157426	bg	False	False	3.2904e-18	0.946	0.90632	False	False	False	False		
AASDHPPT	ENSG00000149313	bg	False	False	0.021762	0.754	0.43306	False	False	False	False		
AASS	ENSG00000008311	bg	False	False	4.5130999999999994e-21	0.948	1.5093	False	False	False	False		
AATF	ENSG00000275700	bg	False	False	2.9704e-13	1.033	0.88384	False	False	False	False		
AATK	ENSG00000181409	bg	False	False	5.3635e-39	1.574	-5.6829	False	False	False	False		
ABAT	ENSG00000183044	bg	False	False	1.1757e-10	0.871	0.75346	False	False	False	False		
ABCA1	ENSG00000165029	bg	False	False	2.3118e-12	0.563	3.076	False	False	True	False		
ABCA10	ENSG00000154263	bg	False	False	8.7244e-43	1.044	0.9632	False	False	False	False		
ABCA12	ENSG00000144452	bg	False	False	4.8142e-17	0.582	2.9254	False	False	True	False		
ABCA13	ENSG00000179869	bg	False	False	3.0027e-140	1.063	-0.097771	False	False	False	False		
ABCA2	ENSG00000107331	bg	False	False	0.99999	0.436	3.7441	True	False	True	True		
ABCA3	ENSG00000167972	bg	False	False	1.0831e-10	0.612	1.3112	False	False	False	False		
ABCA4	ENSG00000198691	bg	False	False	3.4822e-43	0.786	1.3815	False	False	False	False		
ABCA5	ENSG00000154265	bg	False	False	1.7677000000000002e-24	0.97	0.33724	False	False	False	False		
ABCA6	ENSG00000154262	bg	False	False	2.9592e-33	1.041	-0.3291	False	False	False	False		
ABCA7	ENSG00000064687	bg	False	False	7.922e-103	1.368	-3.5932	False	False	False	False		
ABCA8	ENSG00000141338	bg	False	False	9.1537e-44	1.086	0.53784	False	False	False	False		
ABCA9	ENSG00000154258	bg	False	False	1.1383e-40	1.006	1.6275	False	False	False	False		
ABCB1	ENSG00000085563	bg	False	False	1.891e-05	0.575	2.7727	False	False	False	False		
ABCB10	ENSG00000135776	bg	False	False	3.0297e-17	1.142	0.35076	False	False	False	False		
ABCB11	ENSG00000073734	bg	False	False	9.5597e-15	0.739	1.2052	False	False	False	False		
ABCB4	ENSG00000005471	bg	False	False	1.7893e-08	0.623	3.5556	False	False	True	True		
ABCB5	ENSG00000004846	bg	False	False	2.1065e-45	1.178	-2.0603	False	False	False	False		
ABCB6	ENSG00000115657	bg	False	False	2.0017000000000002e-25	0.984	0.90031	False	False	False	False		
ABCB8	ENSG00000197150	bg	False	False	7.4398e-13	0.894	0.94868	False	False	False	False		
ABCB9	ENSG00000150967	bg	False	False	2.9429e-07	0.796	1.0889	False	False	False	False		
ABCC1	ENSG00000103222	bg	False	False	1.2436e-06	0.564	2.0321	False	False	False	False		
ABCC10	ENSG00000124574	bg	False	False	1.7526000000000002e-29	0.894	2.2209	False	False	False	False		
ABCC11	ENSG00000121270	bg	False	False	4.0979e-38	1.004	1.0742	False	False	False	False		
ABCC12	ENSG00000140798	bg	False	False	9.7791e-42	1.022	1.2083	False	False	False	False		
ABCC2	ENSG00000023839	bg	False	False	1.5473000000000002e-45	0.985	1.0363	False	False	False	False		
ABCC3	ENSG00000108846	bg	False	False	2.7121999999999997e-28	0.831	1.2504	False	False	False	False		
ABCC4	ENSG00000125257	bg	False	False	7.0811e-11	0.647	2.2737	False	False	False	False		
ABCC5	ENSG00000114770	bg	False	False	0.99932	0.455	4.8355	True	False	True	True		
ABCC6	ENSG00000091262	bg	False	False	1.2351e-33	0.917	1.031	False	False	False	False		
ABCC8	ENSG00000006071	bg	False	False	9.534400000000001e-33	0.829	2.8451	False	False	False	False		
ABCC9	ENSG00000069431	bg	False	False	7.2745e-06	0.557	7.0369	False	False	True	True		
ABCD2	ENSG00000173208	bg	False	False	7.7494e-05	0.714	2.3144	False	False	False	False		
ABCD3	ENSG00000117528	bg	False	False	0.99014	0.484	2.4773	True	False	False	False		
ABCD4	ENSG00000119688	bg	False	False	4.0217e-10	0.772	0.53147	False	False	False	False		
ABCE1	ENSG00000164163	bg	False	False	0.99654	0.466	4.7629	True	False	True	True		
ABCF2	ENSG00000033050	bg	False	False	0.0033779	0.61	3.7095	False	False	True	True		
ABCF3	ENSG00000161204	bg	False	False	1.1095e-12	0.776	1.3928	False	False	False	False		
ABCG1	ENSG00000160179	bg	False	False	0.19578	0.573	2.327	False	False	False	False		
ABCG2	ENSG00000118777	bg	False	False	5.0723e-29	1.308	0.50878	False	False	False	False		
ABCG4	ENSG00000172350	bg	False	False	3.483e-05	0.694	3.3781	False	False	True	True		
ABCG5	ENSG00000138075	bg	False	False	8.1322e-20	1.219	-1.0834	False	False	False	False		
ABCG8	ENSG00000143921	bg	False	False	5.1931e-31	1.329	-2.6097	False	False	False	False		
ABHD1	ENSG00000143994	bg	False	False	1.8338e-17	1.359	-0.31823	False	False	False	False		
ABHD10	ENSG00000144827	bg	False	False	1.2175e-05	1.037	0.72923	False	False	False	False		
ABHD11	ENSG00000106077	bg	False	False	1.8944e-08	1.194	0.96297	False	False	False	False		
ABHD12	ENSG00000100997	bg	False	False	7.5081e-10	0.967	-0.50211	False	False	False	False		
ABHD12B	ENSG00000131969	bg	False	False	5.0333e-12	1.148	-0.86724	False	False	False	False		
ABHD13	ENSG00000139826	bg	False	False	0.97685	0.504	2.1696	True	False	False	False		
ABHD14A	ENSG00000248487	bg	False	False	1.3328e-05	1.081	0.45437	False	False	False	False		
ABHD14B	ENSG00000114779	bg	False	False	7.686e-09	1.789	0.72101	False	False	False	False		
ABHD15	ENSG00000168792	bg	False	False	2.9886e-13	1.479	-0.4131	False	False	False	False		
ABHD16B	ENSG00000183260	bg	False	False	3.4725e-09	1.955	-2.7289	False	False	False	False		
ABHD17A	ENSG00000129968	bg	False	False	0.21099	0.783	1.5027	False	False	False	False		
ABHD17B	ENSG00000107362	bg	False	False	0.85835	0.579	2.777	False	False	False	False		
ABHD17C	ENSG00000136379	bg	False	False	0.012876	0.919	2.0635	False	False	False	False		
ABHD18	ENSG00000164074	bg	False	False	1.0028e-06	1.028	0.33876	False	False	False	False		
ABHD2	ENSG00000140526	bg	False	False	0.5507	0.57	2.6532	False	False	False	False		
ABHD3	ENSG00000158201	bg	False	False	2.0979e-15	1.211	0.059178	False	False	False	False		
ABHD4	ENSG00000100439	bg	False	False	9.7984e-10	1.038	1.427	False	False	False	False		
ABHD5	ENSG00000011198	bg	False	False	3.4236e-07	0.922	0.70878	False	False	False	False		
ABHD6	ENSG00000163686	bg	False	False	1.7139e-08	1.067	1.0868	False	False	False	False		
ABHD8	ENSG00000127220	bg	False	False	0.25012	0.664	0.98917	False	False	False	False		
ABI1	ENSG00000136754	bg	False	False	0.9998	0.41	2.6994	True	False	False	False		
ABI2	ENSG00000138443	bg	False	False	0.44932	0.585	1.8219	False	False	False	False		
ABI3	ENSG00000108798	bg	False	False	2.651e-07	1.113	-0.38629	False	False	False	False		
ABI3BP	ENSG00000154175	bg	False	False	9.7143e-43	0.945	0.56225	False	False	False	False		
ABITRAM	ENSG00000119328	bg	False	False	8.0601e-05	1.175	0.19145	False	False	False	False		
ABL1	ENSG00000097007	bg	False	False	1.0	0.19	4.2885	True	True	True	True		
ABL2	ENSG00000143322	bg	False	False	0.0010035	0.578	2.4001	False	False	False	False		
ABLIM1	ENSG00000099204	bg	False	False	0.69623	0.515	2.0405	False	False	False	False		
ABLIM2	ENSG00000163995	bg	False	False	7.759e-10	0.743	0.27325	False	False	False	False		
ABLIM3	ENSG00000173210	bg	False	False	7.7214e-10	0.691	1.5617	False	False	False	False		
ABR	ENSG00000159842	bg	False	False	0.99996	0.431	3.3628	True	False	True	True		
ABRA	ENSG00000174429	bg	False	False	9.4717e-07	0.993	0.27635	False	False	False	False		
ABRACL	ENSG00000146386	bg	False	False	0.11384	1.243	-0.091913	False	False	False	False		
ABRAXAS1	ENSG00000163322	bg	False	False	4.4645e-05	1.347	0.29466	False	False	False	False		
ABRAXAS2	ENSG00000165660	bg	False	False	0.43358	0.641	1.0646	False	False	False	False		
ABTB1	ENSG00000114626	bg	False	False	1.4524e-12	1.003	0.52501	False	False	False	False		
ABTB2	ENSG00000166016	bg	False	False	3.5697e-10	0.733	0.66179	False	False	False	False		
ACAA1	ENSG00000060971	bg	False	False	1.4146e-14	1.199	0.62215	False	False	False	False		
ACAA2	ENSG00000167315	bg	False	False	1.964e-09	1.148	0.4051	False	False	False	False		
ACACA	ENSG00000278540	bg	False	False	1.0	0.374	10.233	True	False	True	True		
ACACB	ENSG00000076555	bg	False	False	2.7387e-49	0.843	3.1108	False	False	True	True		
ACAD10	ENSG00000111271	bg	False	False	6.9671e-34	1.05	1.4698	False	False	False	False		
ACAD11	ENSG00000240303	bg	False	False	1.1192e-17	1.01	0.77624	False	False	False	False		
ACAD8	ENSG00000151498	bg	False	False	6.951e-14	1.11	0.88893	False	False	False	False		
ACAD9	ENSG00000177646	bg	False	False	1.1413e-12	0.884	0.86095	False	False	False	False		
ACADL	ENSG00000115361	bg	False	False	3.5387e-14	1.262	0.7051	False	False	False	False		
ACADM	ENSG00000117054	bg	False	False	6.8458e-12	1.072	0.42409	False	False	False	False		
ACADS	ENSG00000122971	bg	False	False	3.5192e-06	0.852	0.79366	False	False	False	False		
ACADSB	ENSG00000196177	bg	False	False	7.245e-07	0.891	-0.10091	False	False	False	False		
ACADVL	ENSG00000072778	bg	False	False	2.4249999999999997e-22	1.077	0.10097	False	False	False	False		
ACAN	ENSG00000157766	bg	False	False	1.0	0.377	0.32052	True	False	False	False		
ACAP1	ENSG00000072818	bg	False	False	0.0020255	0.579	2.9491	False	False	True	False		
ACAP2	ENSG00000114331	bg	False	False	0.99673	0.47	3.0871	True	False	True	False		
ACAP3	ENSG00000131584	bg	False	False	1.638e-12	0.816	-1.9452	False	False	False	False		
ACAT1	ENSG00000075239	bg	False	False	0.00031856	0.798	1.0654	False	False	False	False		
ACAT2	ENSG00000120437	bg	False	False	1.9103e-06	0.99	0.84893	False	False	False	False		
ACBD3	ENSG00000182827	bg	False	False	0.0059197	0.634	1.1158	False	False	False	False		
ACBD4	ENSG00000181513	bg	False	False	2.1826e-12	1.09	0.49605	False	False	False	False		
ACBD5	ENSG00000107897	bg	False	False	2.2882e-06	0.734	1.6734	False	False	False	False		
ACBD6	ENSG00000230124	bg	False	False	1.2278e-05	1.037	0.15707	False	False	False	False		
ACBD7	ENSG00000176244	bg	False	False	0.00019634	1.515	-0.17382	False	False	False	False		
ACCS	ENSG00000110455	bg	False	False	7.8032e-11	0.899	0.79116	False	False	False	False		
ACCSL	ENSG00000205126	bg	False	False	4.2141e-15	1.037	1.3813	False	False	False	False		
ACD	ENSG00000102977	bg	False	False	4.3134e-10	0.921	1.066	False	False	False	False		
ACE	ENSG00000159640	bg	False	False	6.2381e-32	0.88	-0.50314	False	False	False	False		
ACER1	ENSG00000167769	bg	False	False	1.3147e-11	1.411	0.10975	False	False	False	False		
ACER2	ENSG00000177076	bg	False	False	1.4586e-07	1.155	-0.39921	False	False	False	False		
ACER3	ENSG00000078124	bg	False	False	0.30464	0.815	0.87127	False	False	False	False		
ACHE	ENSG00000087085	bg	False	False	0.81412	0.546	2.7525	False	False	False	False		
ACIN1	ENSG00000100813	bg	False	False	1.0	0.15	2.7821	True	True	False	False		
